	sample_ID	filename	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	ccs_algorithm	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	notes
HG02717	HG02717	"['m64043_200403_163826.ccs.bam' 'm64043_200405_180950.ccs.bam'
 'm64043_200407_002219.ccs.bam' 'm64043_200408_064651.ccs.bam']"	HG02717_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG02886	HG02886	"['m64043_200410_214826.ccs.bam' 'm64043_200412_040054.ccs.bam'
 'm64043_200413_102554.ccs.bam' 'm64043_200414_165107.ccs.bam']"	HG02886_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG02630	HG02630	"['m64043_200501_162248.ccs.bam' 'm64043_200502_223511.ccs.bam'
 'm64043_200504_050026.ccs.bam' 'm64043_200505_112554.ccs.bam']"	HG02630_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG03453	HG03453	"['m64043_200508_172634.ccs.bam' 'm64043_200509_233929.ccs.bam'
 'm64043_200511_060458.ccs.bam' 'm64043_200512_123035.ccs.bam']"	HG03453_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG03579	HG03579	"['m64043_200515_165406.ccs.bam' 'm64043_200516_230634.ccs.bam'
 'm64043_200518_053124.ccs.bam' 'm64043_200519_115622.ccs.bam']"	HG03579_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG03540	HG03540	"['m64043_200521_171703.ccs.bam' 'm64043_200522_232930.ccs.bam'
 'm64043_200524_055430.ccs.bam' 'm64043_200525_121851.ccs.bam']"	HG03540_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG02622	HG02622	"['m64043_200530_164723.ccs.bam' 'm64043_200601_191521.ccs.bam'
 'm64043_200603_012738.ccs.bam' 'm64043_200604_075218.ccs.bam']"	HG02622_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG03471	HG03471	"['m64043_200606_175618.ccs.bam' 'm64043_200608_185843.ccs.bam'
 'm64043_200610_011156.ccs.bam' 'm64043_200611_073649.ccs.bam']"	HG03471_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG01928	HG01928	"['m64043_200612_200936.ccs.bam' 'm64043_200614_191756.ccs.bam'
 'm64043_200616_013031.ccs.bam' 'm64043_200617_075530.ccs.bam']"	HG01928_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG01175	HG01175	"['m64043_200618_201934.ccs.bam' 'm64043_200620_173220.ccs.bam'
 'm64043_200621_234442.ccs.bam' 'm64043_200623_060946.ccs.bam']"	HG01175_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG01106	HG01106	"['m64043_200625_174853.ccs.bam' 'm64043_200627_000137.ccs.bam'
 'm64043_200628_062711.ccs.bam' 'm64043_200629_125238.ccs.bam']"	HG01106_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG00735	HG00735	"['m64043_200702_173033.ccs.bam' 'm64043_200703_234328.ccs.bam'
 'm64043_200705_060840.ccs.bam' 'm64043_200706_123423.ccs.bam']"	HG00735_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG00438	HG00438	"['m64043_200710_174426.ccs.bam' 'm64043_200711_235708.ccs.bam'
 'm64043_200713_062240.ccs.bam' 'm64043_200714_124814.ccs.bam']"	HG00438_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG00673	HG00673	"['m64043_200716_182902.ccs.bam' 'm64043_200718_004213.ccs.bam'
 'm64043_200719_070806.ccs.bam' 'm64043_200720_133355.ccs.bam']"	HG00673_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG01978	HG01978	"['m64136_200530_164818.ccs.bam' 'm64136_200602_153012.ccs.bam'
 'm64136_200603_214308.ccs.bam' 'm64136_200605_040848.ccs.bam']"	HG01978_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG01952	HG01952	"['m64136_200612_201033.ccs.bam' 'm64136_200614_192134.ccs.bam'
 'm64136_200616_013426.ccs.bam' 'm64136_200617_080019.ccs.bam']"	HG01952_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG02148	HG02148	"['m64136_200618_202033.ccs.bam' 'm64136_200620_173618.ccs.bam'
 'm64136_200621_234916.ccs.bam' 'm64136_200623_061529.ccs.bam']"	HG02148_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG00741	HG00741	"['m64136_200625_174949.ccs.bam' 'm64136_200627_000247.ccs.bam'
 'm64136_200628_062837.ccs.bam' 'm64136_200629_125431.ccs.bam']"	HG00741_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG01071	HG01071	"['m64136_200702_173125.ccs.bam' 'm64136_200703_234438.ccs.bam'
 'm64136_200705_061033.ccs.bam' 'm64136_200706_123635.ccs.bam']"	HG01071_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
HG00621	HG00621	"['m64136_200710_174522.ccs.bam' 'm64136_200711_235843.ccs.bam'
 'm64136_200713_062514.ccs.bam' 'm64136_200714_125149.ccs.bam']"	HG00621_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]
