tissue	geo_loc_name	sex	Sample	familyID	Subpopulation	Superpopulation	Production Year	collection_date	Accession	biomaterial_provider	organism
B-Lymphocyte	USA	female	NA19909		ASW	AFR	YR4	2022-10-04		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	female	NA20282		ASW	AFR	YR4	2022-10-04		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	male	NA20346		ASW	AFR	YR4	2022-10-04		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	female	NA19776		MXL	AMR	YR4	2022-10-04		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	male	NA19682		MXL	AMR	YR4	2022-09-27		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	male	NA19700		ASW	AFR	YR4	2022-09-27		Coriell Institute	Homo sapiens
B-Lymphocyte	KENYA	female	NA19390		LWK	AFR	YR4	2022-09-27		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	male	NA19175	Y044	YRI	AFR	YR4	2022-09-27		Coriell Institute	Homo sapiens
B-Lymphocyte	CHINA	male	HG02392		CDX	EAS	YR4	2022-09-27		Coriell Institute	Homo sapiens
B-Lymphocyte	CHINA	female	HG00867		CDX	EAS	YR4	2022-10-11		Coriell Institute	Homo sapiens
B-Lymphocyte	CHINA	female	HG02178		CDX	EAS	YR4	2022-10-11		Coriell Institute	Homo sapiens
B-Lymphocyte	CHINA	male	NA18620		CHB	EAS	YR4	2022-10-11		Coriell Institute	Homo sapiens
B-Lymphocyte	CHINA	male	NA18608		CHB	EAS	YR4	2022-10-11		Coriell Institute	Homo sapiens
B-Lymphocyte	JAPAN	male	NA18974		JPT	EAS	YR4	2022-10-11		Coriell Institute	Homo sapiens
B-Lymphocyte	JAPAN	male	NA18952		JPT	EAS	YR4	2022-10-25		Coriell Institute	Homo sapiens
B-Lymphocyte	JAPAN	female	NA18976		JPT	EAS	YR4	2022-10-25		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	male	NA20870		GIH	SAS	YR4	2022-10-25		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	female	NA21110		GIH	SAS	YR4	2022-10-25		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	female	HG03874		ITU	SAS	YR4	2022-10-25		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	female	NA18508		YRI	AFR	YR4	2023-02-07		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	male	NA21093		GIH	SAS	YR4	2023-02-07		Coriell Institute	Homo sapiens
B-Lymphocyte	BANGLADESH	female	HG03611		BEB	SAS	YR4	2023-02-07		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	female	NA21106		GIH	SAS	YR4	2023-02-07		Coriell Institute	Homo sapiens
B-Lymphocyte	ITALY	female	NA20503		TSI	EUR	YR4	2023-02-21		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	female	HG03270		ESN	AFR	YR4	2023-02-21		Coriell Institute	Homo sapiens
B-Lymphocyte	FINLAND	female	HG00320		FIN	EUR	YR4	2023-04-04		Coriell Institute	Homo sapiens
B-Lymphocyte	SPAIN	female	HG01786		IBS	EUR	YR4	2023-04-04		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	female	HG00146		GBR	EUR	YR4	2023-04-04		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	female	HG00232		GBR	EUR	YR4	2023-04-04		Coriell Institute	Homo sapiens
B-Lymphocyte	FINLAND	male	HG00321		FIN	EUR	YR4	2023-04-04		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	male	HG00126		GBR	EUR	YR4	2023-04-18		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	female	HG00133		GBR	EUR	YR4	2023-04-18		Coriell Institute	Homo sapiens
B-Lymphocyte	FINLAND	male	HG00290		FIN	EUR	YR4	2023-04-18		Coriell Institute	Homo sapiens
B-Lymphocyte	KENYA	male	NA19443		LWK	AFR	YR4	2023-04-18		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	female	HG00128		GBR	EUR	YR4	2023-04-18		Coriell Institute	Homo sapiens
B-Lymphocyte	KENYA	female	NA19036		LWK	AFR	YR4	2023-05-02		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	female	NA18505	Y005	YRI	AFR	YR4	2023-05-02		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	male	HG00243		GBR	EUR	YR4	2023-05-02		Coriell Institute	Homo sapiens
B-Lymphocyte	SIERRA LEONE	female	HG03583	SL73	MSL	AFR	YR4	2023-05-02		Coriell Institute	Homo sapiens
B-Lymphocyte	FINLAND	male	HG00329		FIN	EUR	YR4	2023-05-15		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	female	HG03784		ITU	SAS	YR4	2023-05-15		Coriell Institute	Homo sapiens
B-Lymphocyte	ITALY	male	NA20806		TSI	EUR	YR4	2023-05-15		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	female	NA21144		GIH	SAS	YR4	2023-05-15		Coriell Institute	Homo sapiens
B-Lymphocyte	ITALY	male	NA20827		TSI	EUR	YR4	2023-05-15		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	male	HG03521	NG109	ESN	AFR	YR4	2023-05-23		Coriell Institute	Homo sapiens
B-Lymphocyte	ITALY	male	NA20762		TSI	EUR	YR4	2023-05-23		Coriell Institute	Homo sapiens
B-Lymphocyte	FINLAND	female	HG00344		FIN	EUR	YR4	2023-05-23		Coriell Institute	Homo sapiens
B-Lymphocyte	FINLAND	female	HG00350		FIN	EUR	YR4	2023-05-23		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	female	NA20357	2494	ASW	AFR	YR4	2023-02-07		Coriell Institute	Homo sapiens
B-Lymphocyte	SIERRA LEONE	female	HG03572		MSL	AFR	YR4	2023-01-24		Coriell Institute	Homo sapiens
B-Lymphocyte	GAMBIA	female	HG02583	GB23	GWD	AFR	YR4	2023-01-24		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	female	NA20287	2470	ASW	AFR	YR4	2023-01-24		Coriell Institute	Homo sapiens
B-Lymphocyte	FINLAND	female	HG00272		FIN	EUR	YR4	2023-06-05		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	female	HG00097		GBR	EUR	YR4	2023-06-05		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	male	NA18879		YRI	AFR	YR4	2023-06-07		Coriell Institute	Homo sapiens
B-Lymphocyte	SPAIN	female	HG01766		IBS	EUR	YR4	2023-06-28		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	male	NA18871		YRI	AFR	YR4	2023-07-05		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	male	NA20850		GIH	SAS	YR4	2023-06-05		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	female	NA19835		ASW	AFR	YR4	2023-06-13		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	female	HG00253		GBR	EUR	YR4	2023-06-13		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	female	HG00235		GBR	EUR	YR4	2023-06-13		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	female	HG03369		ESN	AFR	YR4	2023-06-13		Coriell Institute	Homo sapiens
B-Lymphocyte	CHINA	female	NA18565		CHB	EAS	YR4	2023-06-27		Coriell Institute	Homo sapiens
B-Lymphocyte	ITALY	female	NA20818		TSI	EUR	YR4	2023-07-11		Coriell Institute	Homo sapiens
B-Lymphocyte	ITALY	male	NA20809		TSI	EUR	YR4	2023-06-27		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	female	NA21102		GIH	SAS	YR4	2023-06-27		Coriell Institute	Homo sapiens
B-Lymphocyte	SIERRA LEONE	male	HG03457		MSL	AFR	YR4	2023-07-11		Coriell Institute	Homo sapiens
B-Lymphocyte	CHINA	male	HG01028		CDX	EAS	YR4	2023-07-11		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	male	HG03778		ITU	SAS	YR4	2023-07-11		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	female	HG00258		GBR	EUR	YR4	2023-07-11		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	male	HG03136		ESN	AFR	YR4	2023-07-11		Coriell Institute	Homo sapiens
B-Lymphocyte	CHINA	male	HG00662		CHS	EAS	YR4	2023-07-18		Coriell Institute	Homo sapiens
B-Lymphocyte	PUERTO RICO	male	HG01167		PUR	AMR	YR4	2023-07-18		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	female	NA19131		YRI	AFR	YR4	2023-07-18		Coriell Institute	Homo sapiens
B-Lymphocyte	BANGLADESH	female	HG04153		BEB	SAS	YR4	2023-07-18		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	female	NA19099		YRI	AFR	YR4	2023-07-25		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	male	HG03343		ESN	AFR	YR4	2023-07-26		Coriell Institute	Homo sapiens
B-Lymphocyte	BARBADOS	female	HG01894		ACB	AFR	YR4	2023-08-01		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	male	NA19834		ASW	AFR	YR4	2023-07-25		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	male	HG03103		ESN	AFR	YR4	2023-08-01		Coriell Institute	Homo sapiens
B-Lymphocyte	PUERTO RICO	male	HG01048		PUR	AMR	YR4	2023-08-01		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	female	NA19190		YRI	AFR	YR4	2023-08-01		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	male	HG04225		ITU	SAS	YR4	2023-08-01		Coriell Institute	Homo sapiens
B-Lymphocyte	JAPAN	male	NA19012		JPT	EAS	YR4	2023-08-01		Coriell Institute	Homo sapiens
B-Lymphocyte	GAMBIA	female	HG02624		GWD	AFR	YR4	2023-08-08		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	male	HG03672		STU	SAS	YR4	2023-08-08		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	female	HG03372		ESN	AFR	YR4	2023-08-08		Coriell Institute	Homo sapiens
B-Lymphocyte	NIGERIA	female	HG03108		ESN	AFR	YR4	2023-08-08		Coriell Institute	Homo sapiens
B-Lymphocyte	USA	male	NA19703		ASW	AFR	YR4	2023-08-08		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	female	HG00106		GBR	EUR	YR4	2023-08-15		Coriell Institute	Homo sapiens
B-Lymphocyte	UNITED KINGDOM	male	HG00117		GBR	EUR	YR4	2023-08-15		Coriell Institute	Homo sapiens
B-Lymphocyte	CHINA	female	HG01798		CDX	EAS	YR4	2023-08-15		Coriell Institute	Homo sapiens
B-Lymphocyte	BANGLADESH	female	HG03919		BEB	SAS	YR4	2023-08-15		Coriell Institute	Homo sapiens
B-Lymphocyte	SIERRA LEONE	male	HG03388		MSL	AFR	YR4	2023-08-15		Coriell Institute	Homo sapiens
B-Lymphocyte	KENYA	female	NA19042		LWK	AFR	YR4	2023-08-22		Coriell Institute	Homo sapiens
B-Lymphocyte	CHINA	male	HG00701		CHS	EAS	YR4	2023-09-12		Coriell Institute	Homo sapiens
B-Lymphocyte	SIERRA LEONE	male	HG03072		MSL	AFR	YR4	2023-09-12		Coriell Institute	Homo sapiens
B-Lymphocyte	SIERRA LEONE	male	HG03445		MSL	AFR	YR4	2023-09-12		Coriell Institute	Homo sapiens
