Corriel-ID	BioProject-PRJNA730822-Umbrella
HG02257	PRJNA727229
HG02559	PRJNA727233
HG02486	PRJNA727234
HG01891	PRJNA727235
HG03516	PRJNA727236
HG01258	PRJNA727241
HG01361	PRJNA727242
HG01123	PRJNA727244
HG01358	PRJNA727245
HG02622	PRJNA727246
HG02630	PRJNA727248
HG02717	PRJNA727250
HG02886	PRJNA727251
HG02572	PRJNA727252
HG01928	PRJNA727254
HG01978	PRJNA727255
HG03579	PRJNA727256
HG03453	PRJNA727257
HG03540	PRJNA727258
HG00741	PRJNA727259
HG01175	PRJNA727260
HG01106	PRJNA727262
HG01952	PRJNA727263
HG02148	PRJNA727265
HG00673	PRJNA727266
HG00438	PRJNA727267
HG00621	PRJNA727268
HG01071	PRJNA727269
HG00735	PRJNA727270
NA19240	PRJNA731866
NA18906	PRJNA731869
HG03486	PRJNA731875
HG02818	PRJNA731877
HG02723	PRJNA731878
HG02080	PRJNA731883
HG01243	PRJNA731884
HG01109	PRJNA731885
NA21309	PRJNA731886
NA20129	PRJNA731888
HG02109	PRJNA731889
HG03492	PRJNA731891
HG02055	PRJNA731892
HG03098	PRJNA731893
HG005	PRJNA731895
HG00733	PRJNA731896
HG002	PRJNA731901
HG02145	PRJNA731902
