Sample	Accession	familyID	Subpopulation	Superpopulation	Production Year
HG00423	SAMN26237490	SH007	CHS	EAS	YR2
HG02027	SAMN26237503	VN050	KHV	EAS	YR2
HG02083	SAMN26237504	VN069	KHV	EAS	YR2
HG02523	SAMN26237506	VN090	KHV	EAS	YR2
HG02132	SAMN26267382	VN080	KHV	EAS	YR2
HG02135	SAMN26267392	VN081	KHV	EAS	YR2
HG02074	SAMN26267381	VN066	KHV	EAS	YR2
HG02071	SAMN26267380	VN065	KHV	EAS	YR2
HG03942	SAMN26267387	BD42	BEB	SAS	YR2
HG04187	SAMN37706911	BD62	BEB	SAS	YR2
HG03804	SAMN37706907	BD18	BEB	SAS	YR2
HG04160	SAMN37706910	BD53	BEB	SAS	YR2
HG04157	SAMN37706909	BD52	BEB	SAS	YR2
HG03816	SAMN37706908	BD22	BEB	SAS	YR2
HG03710	SAMN26237513	PK62	PJL	SAS	YR2
HG02602	SAMN26237507	PK09	PJL	SAS	YR2
HG03654	SAMN26237511	PK53	PJL	SAS	YR2
HG02698	SAMN26237509	PK21	PJL	SAS	YR2
HG04228	SAMN26267391	ST232	STU	SAS	YR2
HG03688	SAMN26267385	ST016	STU	SAS	YR2
HG04204	SAMN26267390	ST006	STU	SAS	YR2
HG04199	SAMN26267389	ST203	STU	SAS	YR2
HG04115	SAMN26267388	ST111	STU	SAS	YR2
HG02668	SAMN37706906	GB40	GWD	AFR	YR2
HG00706	SAMN37706905	SH090	CHS	EAS	YR2
HG00544	SAMN26237491	SH042	CHS	EAS	YR2
HG03669	SAMN26237512	PK58	PJL	SAS	YR2
HG01255	SAMN26237495	CLM15	CLM	AMR	YR2
HG02615	SAMN26237508	GB29	GWD	AFR	YR2
HG00738	SAMN26237493	PR07	PUR	AMR	YR2
HG03927	SAMN26267386	BD37	BEB	SAS	YR2
HG00642	SAMN26267378	PR04	PUR	AMR	YR2
HG01346	SAMN26267379	CLM27	CLM	AMR	YR2
HG02647	SAMN26267383	GB38	GWD	AFR	YR2
HG03831	SAMN26237514	BD27	BEB	SAS	YR2
HG01993	SAMN26237501	PEL29	PEL	AMR	YR2
HG01433	SAMN26237496	CLM43	CLM	AMR	YR2
HG04184	SAMN26267397	BD61	BEB	SAS	YR2
HG02683	SAMN26267384	PK16	PJL	SAS	YR2
HG02300	SAMN26267395	PEL52	PEL	AMR	YR2
HG02738	SAMN26267396	PK27	PJL	SAS	YR2
HG01884	SAMN26267393	BB03	ACB	AFR	YR2
HG01496	SAMN26237497	CLM64	CLM	AMR	YR2
HG00609	SAMN26237492	SH062	CHS	EAS	YR2
HG01981	SAMN26237500	PEL27	PEL	AMR	YR2
HG02004	SAMN26237502	PEL33	PEL	AMR	YR2
HG02280	SAMN26237505	BB23	ACB	AFR	YR2
HG01099	SAMN26237494	PR31	PUR	AMR	YR2
HG02809	SAMN26237510	GB63	GWD	AFR	YR2
