SRA	Sample	Accession	N	Sex	Subpopulation	Superpopulation	Production Year
SRS19145015	HG03742	SAMN37797111		male	ITU	SAS	YR3
SRS19145016	HG03792	SAMN37797112		male	ITU	SAS	YR4
SRS19145013	HG03458	SAMN37797109		female	MSL	AFR	YR3
SRS19145014	HG03470	SAMN37797110	SL56	female	MSL	AFR	YR3
SRS19145012	HG03050	SAMN37797108	GB113	male	GWD	AFR	YR3
SRS19145011	HG02984	SAMN37797107	GB97	male	GWD	AFR	YR3
SRS19145010	HG02841	SAMN37797106	GB74	female	GWD	AFR	YR3
SRS19145008	HG02514	SAMN37797105	VN087	male	KHV	EAS	YR3
SRS19145007	HG02391	SAMN37797104		male	CDX	EAS	YR3
SRS19145006	HG01969	SAMN37797103	PEL023	female	PEL	AMR	YR3
SRS19145005	HG01960	SAMN37797102	BB11	female	ACB	AFR	YR3
SRS19145004	HG01940	SAMN37797101	PEL015	female	PEL	AMR	YR3
SRS19145003	HG01784	SAMN37797100		female	IBS	EUR	YR3
SRS19145002	HG01530	SAMN37797099		male	IBS	EUR	YR3
SRS19145001	HG01252	SAMN37797098	CLM14	male	CLM	AMR	YR3
SRS19145000	HG01150	SAMN37797097	CLM12	female	CLM	AMR	YR3
SRS19144999	HG00658	SAMN37797096	SH074	male	CHS	EAS	YR3
SRS19086583	HG04187	SAMN37706911	BD62	male	BEB	SAS	YR2
SRS19086582	HG04160	SAMN37706910	BD53	male	BEB	SAS	YR2
SRS19086581	HG04157	SAMN37706909	BD52	male	BEB	SAS	YR2
SRS19086580	HG03816	SAMN37706908	BD22	female	BEB	SAS	YR2
SRS19086578	HG02668	SAMN37706906	GB40	male	GWD	AFR	YR2
SRS19086579	HG03804	SAMN37706907	BD18	female	BEB	SAS	YR2
SRS19086577	HG00706	SAMN37706905	SH090	male	CHS	EAS	YR2
SRS17099994	HG00558	SAMN33758780	SH045	female	CHS	EAS	YR3
SRS17099993	HG00639	SAMN33758781	PR03	female	PUR	AMR	YR3
SRS17099992	NA20752	SAMN33758800		male	TSI	EUR	YR3
SRS17099991	NA20905	SAMN33758801		male	GIH	SAS	YR3
SRS17099990	HG01074	SAMN33758782	PR18	male	PUR	AMR	YR3
SRS17099989	HG02040	SAMN33758784		male	KHV	EAS	YR3
SRS17099988	HG02165	SAMN33758785		female	CDX	EAS	YR3
SRS17099987	HG01081	SAMN33758783	PR21	female	PUR	AMR	YR3
SRS17099986	NA18983	SAMN33758798		male	JPT	EAS	YR3
SRS17099985	NA18747	SAMN33758797		male	CHB	EAS	YR3
SRS17099984	NA18522	SAMN33758796	Y016	male	YRI	AFR	YR3
SRS17099983	HG03704	SAMN33758795	PK60	female	PJL	SAS	YR3
SRS17099982	HG03239	SAMN33758794	PK41	female	PJL	SAS	YR3
SRS17099981	HG03209	SAMN33758793		male	MSL	AFR	YR3
SRS17099980	HG00280	SAMN33758779		male	FIN	EUR	YR3
SRS17099979	HG03139	SAMN33758792		male	ESN	AFR	YR3
SRS17099978	HG03130	SAMN33758791	NG36	male	ESN	AFR	YR3
SRS17099977	HG03041	SAMN33758790	GB110	female	GWD	AFR	YR3
SRS17099976	HG03017	SAMN33758789	PK35	male	PJL	SAS	YR3
SRS17099975	HG02922	SAMN33758788	NG06	female	ESN	AFR	YR3
SRS17099974	HG02735	SAMN33758787	PK26	male	PJL	SAS	YR3
SRS17099973	HG02451	SAMN33758786	BB46	female	ACB	AFR	YR3
SRS17099971	HG00099	SAMN33758778		female	GBR	EUR	YR3
SRS16974931	HG02129	SAMN33621950	VN079	male	KHV	EAS	YR3
SRS16974930	HG02056	SAMN33621949	VN060	male	KHV	EAS	YR3
SRS16974929	HG02015	SAMN33621948	VN046	male	KHV	EAS	YR3
SRS16974928	HG01975	SAMN33621947	PEL25	female	PEL	AMR	YR3
SRS16974927	HG01261	SAMN33621946	CLM17	male	CLM	AMR	YR3
SRS16974926	HG01192	SAMN33621945	PR40	male	PUR	AMR	YR3
SRS16974925	HG00597	SAMN33621944	SH058	female	CHS	EAS	YR3
SRS16974924	NA20805	SAMN33621962		male	TSI	EUR	YR3
SRS16974923	NA18971	SAMN33621961		male	JPT	EAS	YR3
SRS16974922	HG00408	SAMN33621943	SH002	female	CHS	EAS	YR3
SRS16974921	NA18612	SAMN33621960		male	CHB	EAS	YR3
SRS16974919	HG03834	SAMN33621958	BD28	female	BEB	SAS	YR3
SRS16974918	HG03225	SAMN33621957		male	MSL	AFR	YR3
SRS16974917	HG02976	SAMN33621955	NG24	female	ESN	AFR	YR3
SRS16974916	HG03195	SAMN33621956	NG58	female	ESN	AFR	YR3
SRS16974915	HG02965	SAMN33621954	NG20	male	ESN	AFR	YR3
SRS16974914	HG02273	SAMN33621953	PEL46	female	PEL	AMR	YR3
SRS16974913	HG02258	SAMN33621952	BB22	male	ACB	AFR	YR3
SRS16974912	HG02155	SAMN33621951		female	CDX	EAS	YR3
SRS16974911	HG00323	SAMN33621942		female	FIN	EUR	YR3
SRS16974910	HG00140	SAMN33621941		male	GBR	EUR	YR3
SRS12151170	HG01934	SAMN26237498	PEL013	male	PEL	AMR	YR2
SRS12151169	HG01433	SAMN26237496	CLM43	male	CLM	AMR	YR2
SRS12151168	HG01496	SAMN26237497	CLM64	female	CLM	AMR	YR2
SRS12151167	HG01255	SAMN26237495	CLM15	male	CLM	AMR	YR2
SRS12151166	HG00738	SAMN26237493	PR07	male	PUR	AMR	YR2
SRS12151165	HG01099	SAMN26237494	PR31	male	PUR	AMR	YR2
SRS12151164	HG00609	SAMN26237492	SH062	male	CHS	EAS	YR2
SRS12151163	HG03710	SAMN26237513	PK62	male	PJL	SAS	YR2
SRS12151162	HG03831	SAMN26237514	BD27	female	BEB	SAS	YR2
SRS12151161	HG03669	SAMN26237512	PK58	female	PJL	SAS	YR2
SRS12151160	HG02809	SAMN26237510	GB63	female	GWD	AFR	YR2
SRS12151159	HG03654	SAMN26237511	PK53	male	PJL	SAS	YR2
SRS12151158	HG02698	SAMN26237509	PK21	male	PJL	SAS	YR2
SRS12151157	HG02602	SAMN26237507	PK09	male	PJL	SAS	YR2
SRS12151156	HG02615	SAMN26237508	GB29	female	GWD	AFR	YR2
SRS12151155	HG02523	SAMN26237506	VN090	female	KHV	EAS	YR2
SRS12151154	HG02083	SAMN26237504	VN069	male	KHV	EAS	YR2
SRS12151153	HG02280	SAMN26237505	BB23	female	ACB	AFR	YR2
SRS12151152	HG02027	SAMN26237503	VN050	male	KHV	EAS	YR2
SRS12151151	HG02004	SAMN26237502	PEL33	female	PEL	AMR	YR2
SRS12151150	HG01981	SAMN26237500	PEL27	female	PEL	AMR	YR2
SRS12151149	HG01993	SAMN26237501	PEL29	female	PEL	AMR	YR2
SRS12151148	HG01943	SAMN26237499	PEL016	male	PEL	AMR	YR2
SRS12151147	HG00544	SAMN26237491	SH042	female	CHS	EAS	YR2
SRS12151146	HG00423	SAMN26237490	SH007	female	CHS	EAS	YR2
SRS12122877	HG02300	SAMN26267395	PEL52	female	PEL	AMR	YR2
SRS12122876	HG02738	SAMN26267396	PK27	male	PJL	SAS	YR2
SRS12122875	HG02293	SAMN26267394	PEL51	female	PEL	AMR	YR2
SRS12122874	HG04184	SAMN26267397	BD61	female	BEB	SAS	YR2
SRS12122873	HG04228	SAMN26267391	ST232	male	STU	SAS	YR2
SRS12122872	HG02071	SAMN26267380	VN065	male	KHV	EAS	YR2
SRS12122871	HG02074	SAMN26267381	VN066	male	KHV	EAS	YR2
SRS12122870	HG02132	SAMN26267382	VN080	male	KHV	EAS	YR2
SRS12122869	HG02647	SAMN26267383	GB38	male	GWD	AFR	YR2
SRS12122868	HG03927	SAMN26267386	BD37	female	BEB	SAS	YR2
SRS12122867	HG04115	SAMN26267388	ST111	male	STU	SAS	YR2
SRS12122866	HG04199	SAMN26267389	ST203	male	STU	SAS	YR2
SRS12122865	HG03942	SAMN26267387	BD42	male	BEB	SAS	YR2
SRS12122864	HG04204	SAMN26267390	ST006	male	STU	SAS	YR2
SRS12122863	HG01884	SAMN26267393	BB03	female	ACB	AFR	YR2
SRS12122862	HG02135	SAMN26267392	VN081	male	KHV	EAS	YR2
SRS12122861	HG03688	SAMN26267385	ST016	male	STU	SAS	YR2
SRS12122860	HG02683	SAMN26267384	PK16	female	PJL	SAS	YR2
SRS12122859	HG01346	SAMN26267379	CLM27	female	CLM	AMR	YR2
SRS12122858	HG00642	SAMN26267378	PR04	male	PUR	AMR	YR2
SRS8233153	HG01978	SAMN17861662	PEL26	female	PEL	AMR	YR1
SRS8233152	HG00621	SAMN17861653	SH066	male	CHS	EAS	YR1
SRS8233151	HG00438	SAMN17861652	SH012	female	CHS	EAS	YR1
SRS8233150	HG01952	SAMN17861661	PEL019	male	PEL	AMR	YR1
SRS8233149	HG01928	SAMN17861660	PEL011	male	PEL	AMR	YR1
SRS8233148	HG01175	SAMN17861659	PR36	female	PUR	AMR	YR1
SRS8233147	HG01106	SAMN17861658	PR25	male	PUR	AMR	YR1
SRS8233146	HG01071	SAMN17861657	PR17	female	PUR	AMR	YR1
SRS8233145	HG00741	SAMN17861656	PR09	female	PUR	AMR	YR1
SRS8233144	HG00735	SAMN17861655	PR06	female	PUR	AMR	YR1
SRS8233143	HG00673	SAMN17861654	SH079	male	CHS	EAS	YR1
SRS8233142	HG03579	SAMN17861671	SL72	male	MSL	AFR	YR1
SRS8233141	HG03540	SAMN17861670	GB125	female	GWD	AFR	YR1
SRS8233140	HG03471	SAMN17861669	SL56i	male	MSL	AFR	YR1
SRS8233139	HG03453	SAMN17861668	SL50	female	MSL	AFR	YR1
SRS8233138	HG02886	SAMN17861667	GB89	female	GWD	AFR	YR1
SRS8233137	HG02717	SAMN17861666	GB50	male	GWD	AFR	YR1
SRS8233136	HG02630	SAMN17861665	GB33	female	GWD	AFR	YR1
SRS8233135	HG02622	SAMN17861664	GB31	female	GWD	AFR	YR1
SRS8233134	HG02148	SAMN17861663	PEL39	female	PEL	AMR	YR1
SRS8233065	HG02486	SAMN17861238	BB55	male	ACB	AFR	YR1
SRS8233064	HG02257	SAMN17861237	BB21	female	ACB	AFR	YR1
SRS8233063	HG01891	SAMN17861236	BB05	female	ACB	AFR	YR1
SRS8233062	HG01361	SAMN17861235	CLM32	female	CLM	AMR	YR1
SRS8233061	HG01358	SAMN17861234	CLM31	male	CLM	AMR	YR1
SRS8233059	HG03516	SAMN17861241	NG107	female	ESN	AFR	YR1
SRS8233058	HG02572	SAMN17861240	GB21	male	GWD	AFR	YR1
SRS8233057	HG02559	SAMN17861239	BB68	female	ACB	AFR	YR1
SRS8233056	HG01258	SAMN17861233	CLM16	male	CLM	AMR	YR1
SRS8233055	HG01123	SAMN17861232	CLM02	female	CLM	AMR	YR1
