Accession	Title	Links	Status	Release Date	Created	Updated	Submission	SRA.filename
SRR31367218	Oxford Nanopore sequecing of HG02630 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:04Z	2024-11-16T20:50:19Z	SUB14870766	HG02630_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam
SRR31366971	Oxford Nanopore sequecing of HG02630 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:55Z	2024-11-16T20:02:08Z	SUB14870766	04_11_23_R941_HG02630_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367191	Oxford Nanopore sequecing of HG01361 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:03Z	2024-11-16T18:33:52Z	SUB14870766	HG01361_PAK21070_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367119	Oxford Nanopore sequecing of HG02148 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T17:17:52Z	SUB14870766	03_14_23_R941_HG02148_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367265	Oxford Nanopore sequecing of HG03540 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:06Z	2024-11-16T16:53:15Z	SUB14870766	03_14_23_R941_HG03540_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367155	Oxford Nanopore sequecing of HG00438 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:02Z	2024-11-16T16:49:52Z	SUB14870766	HG00438_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam
SRR31367002	Oxford Nanopore sequecing of HG03471 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:56Z	2024-11-16T16:40:09Z	SUB14870766	03_14_23_R941_HG03471_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366905	Oxford Nanopore sequecing of HG02622 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:52Z	2024-11-16T16:40:08Z	SUB14870766	03_14_23_R941_HG02622_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366922	Oxford Nanopore sequecing of HG00438 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:53Z	2024-11-16T16:36:08Z	SUB14870766	HG00438_PAM57552_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367085	Oxford Nanopore sequecing of HG03453 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T16:33:08Z	SUB14870766	03_14_23_R941_HG03453_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
