accession	study	bioproject_accession	biosample_accession	filename	library_ID	library_strategy	library_source	platform	instrument_model	design_description	generator_facility	generator_contact	assembly	data_type	filetype	library_layout	library_selection	shear_method	title	total_bp	coverage	ntsm_score	ntsm_result	total_Gbp	sample_ID
SRR30242407	SRP305758	PRJNA701308	SAMN33758778	HG00099-1_S20_L001_R1_001.fastq.gz	HG00099-1_S20_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00099	10451741673	3.37	0.63141	Similar	10.451741673	HG00099
SRR30242406	SRP305758	PRJNA701308	SAMN33758778	HG00099-1_S20_L002_R1_001.fastq.gz	HG00099-1_S20_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00099	11266122224	3.63	0.580328	Similar	11.266122224	HG00099
SRR30242322	SRP305758	PRJNA701308	SAMN33758778	HG00099-1_S20_L003_R1_001.fastq.gz	HG00099-1_S20_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00099	11263022499	3.63	0.577897	Similar	11.263022499	HG00099
SRR30242307	SRP305758	PRJNA701308	SAMN33758778	HG00099-1_S20_L004_R1_001.fastq.gz	HG00099-1_S20_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00099	11172967086	3.6	0.610805	Similar	11.172967086	HG00099
SRR30242271	SRP305758	PRJNA701308	SAMN33758778	HG00099-2_S28_L001_R1_001.fastq.gz	HG00099-2_S28_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00099	10131790358	3.27	0.607471	Similar	10.131790358	HG00099
SRR30242256	SRP305758	PRJNA701308	SAMN33758778	HG00099-2_S28_L002_R1_001.fastq.gz	HG00099-2_S28_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00099	11131760226	3.59	0.634275	Similar	11.131760226	HG00099
SRR30242245	SRP305758	PRJNA701308	SAMN33758778	HG00099-2_S28_L003_R1_001.fastq.gz	HG00099-2_S28_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00099	11135119794	3.59	0.639197	Similar	11.135119794	HG00099
SRR30242475	SRP305758	PRJNA701308	SAMN33758778	HG00099-2_S28_L004_R1_001.fastq.gz	HG00099-2_S28_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00099	10993123748	3.55	0.602038	Similar	10.993123748	HG00099
SRR30242464	SRP305758	PRJNA701308	SAMN33621941	HG00140-1_S22_L001_R1_001.fastq.gz	HG00140-1_S22_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00140	37024993829	11.94	0.525447	Similar	37.024993829	HG00140
SRR30242456	SRP305758	PRJNA701308	SAMN33621941	HG00140-1_S22_L002_R1_001.fastq.gz	HG00140-1_S22_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00140	38093038178	12.29	0.510349	Similar	38.093038178	HG00140
SRR30242405	SRP305758	PRJNA701308	SAMN33621941	HG00140-1_S22_L003_R1_001.fastq.gz	HG00140-1_S22_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00140	36160735792	11.66	0.497501	Similar	36.160735792	HG00140
