sample_ID	total_bp	coverage	path	filetype	instrument_model	library_construction_protocol	library_layout	library_strategy	read_length
HG04157	115172611500	37.15	s3://human-pangenomics/working/HPRC/HG04157/raw_data/Illumina/child/HG04157.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG02074	142697641500	46.03	s3://human-pangenomics/working/HPRC/HG02074/raw_data/Illumina/child/HG02074.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG03209	110958607200	35.79	s3://human-pangenomics/working/HPRC/HG03209/raw_data/Illumina/child/HG03209.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG03688	114775293600	37.02	s3://human-pangenomics/working/HPRC/HG03688/raw_data/Illumina/child/HG03688.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG02698	110825891400	35.75	s3://human-pangenomics/working/HPRC/HG02698/raw_data/Illumina/child/HG02698.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG04187	111195480000	35.87	s3://human-pangenomics/working/HPRC/HG04187/raw_data/Illumina/child/HG04187.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG03942	111827950800	36.07	s3://human-pangenomics/working/HPRC/HG03942/raw_data/Illumina/child/HG03942.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG04204	112500814200	36.29	s3://human-pangenomics/working/HPRC/HG04204/raw_data/Illumina/child/HG04204.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG03804	106238504400	34.27	s3://human-pangenomics/working/HPRC/HG03804/raw_data/Illumina/child/HG03804.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG03654	112084877100	36.16	s3://human-pangenomics/working/HPRC/HG03654/raw_data/Illumina/child/HG03654.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG02132	115105950600	37.13	s3://human-pangenomics/working/HPRC/HG02132/raw_data/Illumina/child/HG02132.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG02662	116832611100	37.69	s3://human-pangenomics/working/HPRC/HG02662/raw_data/Illumina/child/HG02662.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG02602	119510310000	38.55	s3://human-pangenomics/working/HPRC/HG02602/raw_data/Illumina/child/HG02602.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG03816	102473619600	33.06	s3://human-pangenomics/working/HPRC/HG03816/raw_data/Illumina/child/HG03816.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG04160	110324412300	35.59	s3://human-pangenomics/working/HPRC/HG04160/raw_data/Illumina/child/HG04160.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG04199	110442464400	35.63	s3://human-pangenomics/working/HPRC/HG04199/raw_data/Illumina/child/HG04199.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG04115	108206234100	34.91	s3://human-pangenomics/working/HPRC/HG04115/raw_data/Illumina/child/HG04115.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG04228	112703684700	36.36	s3://human-pangenomics/working/HPRC/HG04228/raw_data/Illumina/child/HG04228.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG02135	117794844000	38.0	s3://human-pangenomics/working/HPRC/HG02135/raw_data/Illumina/child/HG02135.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG02071	119457197700	38.53	s3://human-pangenomics/working/HPRC/HG02071/raw_data/Illumina/child/HG02071.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
HG03710	115625752800	37.3	s3://human-pangenomics/working/HPRC/HG03710/raw_data/Illumina/child/HG03710.final.cram	cram	Illumina NovaSeq 6000	TruSeq DNA PCR-free	PAIRED	WGS	150
