sample_ID,total_bp,coverage,filetype,instrument_model,library_construction_protocol,library_layout,library_strategy,read_length,Family ID,Paternal ID,Maternal ID,Gender,Phenotype,Population,Relationship,Siblings,Second Order,Third Order,Other Comments,path
HG00146,147092152200,47.45,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GBR002,0,0,2,0,GBR,child,HG00147,0,0,0,s3://human-pangenomics/working/HPRC/HG00146/raw_data/Illumina/child/HG00146.final.cram
HG03611,237421502100,76.59,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BD12,0,0,2,0,BEB,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03611/raw_data/Illumina/child/HG03611.final.cram
NA19120,98536106100,31.79,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,Y060,NA19119,NA19116,1,0,YRI,child,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19120/raw_data/Illumina/child/NA19120.final.cram
HG03239,106491346500,34.35,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PK41,HG03237,HG03238,2,0,PJL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03239/raw_data/Illumina/child/HG03239.final.cram
HG01255,116578965900,37.61,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM15,HG01253,HG01254,1,0,CLM,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01255/raw_data/Illumina/child/HG01255.final.cram
HG02738,139157036100,44.89,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PK27,HG02736,HG02737,1,0,PJL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02738/raw_data/Illumina/child/HG02738.final.cram
HG04157,115172611500,37.15,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BD52,HG04155,HG04156,1,0,BEB,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG04157/raw_data/Illumina/child/HG04157.final.cram
HG02074,142697641500,46.03,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,VN066,HG02076,HG02075,1,0,KHV,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02074/raw_data/Illumina/child/HG02074.final.cram
HG02886,126521326500,40.81,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB89,HG02884,HG02885,2,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02886/raw_data/Illumina/child/HG02886.final.cram
HG02886,126521326500,40.81,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB89,HG02884,HG02885,2,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02886/raw_data/Illumina/child/HG02886.final.cram.crai
HG02886,126521326500,40.81,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB89,HG02884,HG02885,2,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02886/raw_data/Illumina/child/HG02886.final.cram.md5
HG02886,126521326500,40.81,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB89,HG02884,HG02885,2,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02886/raw_data/Illumina/parents/HG02884/HG02884.final.cram
HG02886,126521326500,40.81,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB89,HG02884,HG02885,2,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02886/raw_data/Illumina/parents/HG02885/HG02885.final.cram
HG01993,113375027400,36.57,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL29,HG01991,HG01992,2,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01993/raw_data/Illumina/child/HG01993.final.cram
HG03209,110958607200,35.79,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SL17,0,0,1,0,MSL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03209/raw_data/Illumina/child/HG03209.final.cram
HG03669,116856173700,37.7,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PK58,HG03667,HG03668,2,0,PJL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03669/raw_data/Illumina/child/HG03669.final.cram
HG03688,114775293600,37.02,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,ST016,HG03885,HG03886,1,0,STU,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03688/raw_data/Illumina/child/HG03688.final.cram
HG02514,122328868800,39.46,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,VN087,HG02512,HG02513,1,0,KHV,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02514/raw_data/Illumina/child/HG02514.final.cram
HG03704,113404275000,36.58,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PK60,HG03702,HG03703,2,0,PJL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03704/raw_data/Illumina/child/HG03704.final.cram
HG02258,113854787400,36.73,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BB22,HG02314,HG02315,1,0,ACB,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02258/raw_data/Illumina/child/HG02258.final.cram
HG00438,112494705300,36.29,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH012,HG00436,HG00437,2,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00438/raw_data/Illumina/child/HG00438.final.cram
HG00438,112494705300,36.29,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH012,HG00436,HG00437,2,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00438/raw_data/Illumina/child/HG00438.final.cram.crai
HG00438,112494705300,36.29,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH012,HG00436,HG00437,2,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00438/raw_data/Illumina/child/HG00438.final.cram.md5
HG00438,112494705300,36.29,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH012,HG00436,HG00437,2,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00438/raw_data/Illumina/parents/HG00436/HG00436.final.cram
HG00438,112494705300,36.29,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH012,HG00436,HG00437,2,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00438/raw_data/Illumina/parents/HG00437/HG00437.final.cram
HG02622,121651228200,39.24,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB31,HG02620,HG02621,2,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02622/raw_data/Illumina/child/HG02622.final.cram
HG02622,121651228200,39.24,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB31,HG02620,HG02621,2,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02622/raw_data/Illumina/child/HG02622.final.cram.crai
HG02622,121651228200,39.24,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB31,HG02620,HG02621,2,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02622/raw_data/Illumina/child/HG02622.final.cram.md5
HG02622,121651228200,39.24,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB31,HG02620,HG02621,2,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02622/raw_data/Illumina/parents/HG02620/HG02620.final.cram
HG02622,121651228200,39.24,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB31,HG02620,HG02621,2,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02622/raw_data/Illumina/parents/HG02621/HG02621.final.cram
HG00480,110651212800,35.69,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH026,HG00478,HG00479,1,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00480/raw_data/Illumina/child/HG00480.final.cram
HG00480,110651212800,35.69,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH026,HG00478,HG00479,1,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00480/raw_data/Illumina/child/HG00480.final.cram.crai
HG00480,110651212800,35.69,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH026,HG00478,HG00479,1,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00480/raw_data/Illumina/child/HG00480.final.cram.md5
HG00480,110651212800,35.69,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH026,HG00478,HG00479,1,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00480/raw_data/Illumina/parents/HG00478/HG00478.final.cram
HG00480,110651212800,35.69,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH026,HG00478,HG00479,1,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00480/raw_data/Illumina/parents/HG00479/HG00479.final.cram
HG01943,110566086600,35.67,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL016,HG01941,HG01942,1,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01943/raw_data/Illumina/child/HG01943.final.cram
HG01138,109747541400,35.4,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM08,HG01136,HG01137,1,0,CLM,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01138/raw_data/Illumina/child/HG01138.final.cram
HG01138,109747541400,35.4,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM08,HG01136,HG01137,1,0,CLM,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01138/raw_data/Illumina/child/HG01138.final.cram.crai
HG01138,109747541400,35.4,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM08,HG01136,HG01137,1,0,CLM,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01138/raw_data/Illumina/child/HG01138.final.cram.md5
HG02698,110825891400,35.75,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PK21,HG02696,HG02697,1,0,PJL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02698/raw_data/Illumina/child/HG02698.final.cram
HG04187,111195480000,35.87,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BD62,HG04185,HG04186,1,0,BEB,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG04187/raw_data/Illumina/child/HG04187.final.cram
HG00706,114053497800,36.79,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH090,HG00704,HG00705,1,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00706/raw_data/Illumina/child/HG00706.final.cram
HG01940,115652333100,37.31,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL015,HG01938,HG01939,2,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01940/raw_data/Illumina/child/HG01940.final.cram
HG01358,118564051500,38.25,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM31,HG01356,HG01357,1,0,CLM,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01358/raw_data/Illumina/child/HG01358.final.cram
HG01358,118564051500,38.25,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM31,HG01356,HG01357,1,0,CLM,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01358/raw_data/Illumina/child/HG01358.final.cram.crai
HG01358,118564051500,38.25,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM31,HG01356,HG01357,1,0,CLM,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01358/raw_data/Illumina/child/HG01358.final.cram.md5
HG01358,118564051500,38.25,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM31,HG01356,HG01357,1,0,CLM,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01358/raw_data/Illumina/parents/HG01356/HG01356.final.cram
HG01358,118564051500,38.25,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM31,HG01356,HG01357,1,0,CLM,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01358/raw_data/Illumina/parents/HG01357/HG01357.final.cram
HG01258,115229884800,37.17,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM16,HG01256,HG01257,1,0,CLM,child,0,0,0,Replaces HG01814 which was withdrawn,s3://human-pangenomics/working/HPRC/HG01258/raw_data/Illumina/child/HG01258.final.cram
HG01258,115229884800,37.17,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM16,HG01256,HG01257,1,0,CLM,child,0,0,0,Replaces HG01814 which was withdrawn,s3://human-pangenomics/working/HPRC/HG01258/raw_data/Illumina/child/HG01258.final.cram.crai
HG01258,115229884800,37.17,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM16,HG01256,HG01257,1,0,CLM,child,0,0,0,Replaces HG01814 which was withdrawn,s3://human-pangenomics/working/HPRC/HG01258/raw_data/Illumina/child/HG01258.final.cram.md5
HG01258,115229884800,37.17,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM16,HG01256,HG01257,1,0,CLM,child,0,0,0,Replaces HG01814 which was withdrawn,s3://human-pangenomics/working/HPRC/HG01258/raw_data/Illumina/parents/HG01256/HG01256.final.cram
HG01258,115229884800,37.17,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM16,HG01256,HG01257,1,0,CLM,child,0,0,0,Replaces HG01814 which was withdrawn,s3://human-pangenomics/working/HPRC/HG01258/raw_data/Illumina/parents/HG01257/HG01257.final.cram
HG03942,111827950800,36.07,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BD42,HG03941,HG03940,1,0,BEB,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03942/raw_data/Illumina/child/HG03942.final.cram
HG01192,104945716800,33.85,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PR40,HG01190,HG01191,1,0,PUR,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01192/raw_data/Illumina/child/HG01192.final.cram
HG01081,114883436400,37.06,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PR21,HG01079,HG01080,2,0,PUR,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01081/raw_data/Illumina/child/HG01081.final.cram
HG04184,107228098800,34.59,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BD61,HG04182,HG04183,2,0,BEB,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG04184/raw_data/Illumina/child/HG04184.final.cram
HG01433,120178563900,38.77,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,CLM43,HG01431,HG01432,1,0,CLM,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01433/raw_data/Illumina/child/HG01433.final.cram
HG01074,111434925000,35.95,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PR18,HG01072,HG01073,1,0,PUR,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01074/raw_data/Illumina/child/HG01074.final.cram
HG02148,118934782800,38.37,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL39,HG02146,HG02147,2,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02148/raw_data/Illumina/child/HG02148.final.cram
HG02148,118934782800,38.37,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL39,HG02146,HG02147,2,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02148/raw_data/Illumina/child/HG02148.final.cram.crai
HG02148,118934782800,38.37,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL39,HG02146,HG02147,2,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02148/raw_data/Illumina/child/HG02148.final.cram.md5
HG02148,118934782800,38.37,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL39,HG02146,HG02147,2,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02148/raw_data/Illumina/parents/HG02146/HG02146.final.cram
HG02148,118934782800,38.37,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL39,HG02146,HG02147,2,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02148/raw_data/Illumina/parents/HG02147/HG02147.final.cram
