	sample_ID	total_bp	coverage	filetype	instrument_model	Relationship
1	HG03239	106491346500	34.35	fastq	NovaSeq	child
2	HG01255	116578965900	37.61	fastq	NovaSeq	child
3	HG02738	139157036100	44.89	fastq	NovaSeq	child
4	HG04157	115172611500	37.15	fastq	NovaSeq	child
5	HG02074	142697641500	46.03	fastq	NovaSeq	child
6	HG02886	126521326500	40.81	fastq	NovaSeq	child
7	HG01993	113375027400	36.57	fastq	NovaSeq	child
8	HG03209	110958607200	35.79	fastq	NovaSeq	child
9	HG03669	116856173700	37.7	fastq	NovaSeq	child
10	HG03688	114775293600	37.02	fastq	NovaSeq	child
11	HG02514	122328868800	39.46	fastq	NovaSeq	child
12	HG03704	113404275000	36.58	fastq	NovaSeq	child
13	HG02258	113854787400	36.73	fastq	NovaSeq	child
14	HG00438	112494705300	36.29	fastq	NovaSeq	child
17	HG02622	121651228200	39.24	fastq	NovaSeq	child
18	HG00480	110651212800	35.69	fastq	NovaSeq	child
19	HG01943	110566086600	35.67	fastq	NovaSeq	child
20	HG01138	109747541400	35.4	fastq	NovaSeq	child
21	HG02698	110825891400	35.75	fastq	NovaSeq	child
22	HG04187	111195480000	35.87	fastq	NovaSeq	child
23	HG00706	114053497800	36.79	fastq	NovaSeq	child
24	HG01940	115652333100	37.31	fastq	NovaSeq	child
25	HG01358	118564051500	38.25	fastq	NovaSeq	child
26	HG01258	115229884800	37.17	fastq	NovaSeq	child
30	HG03942	111827950800	36.07	fastq	NovaSeq	child
31	NA18906	109270235400	35.25	fastq	NovaSeq	child
32	HG01192	104945716800	33.85	fastq	NovaSeq	child
35	HG01081	114883436400	37.06	fastq	NovaSeq	child
36	HG04184	107228098800	34.59	fastq	NovaSeq	child
37	HG01433	120178563900	38.77	fastq	NovaSeq	child
38	HG01074	111434925000	35.95	fastq	NovaSeq	child
40	HG02148	118934782800	38.37	fastq	NovaSeq	child
41	HG04204	112500814200	36.29	fastq	NovaSeq	child
42	HG02818	116865293400	37.7	fastq	NovaSeq	child
43	HG01109	115218104400	37.17	fastq	NovaSeq	child
44	HG00639	103297494000	33.32	fastq	NovaSeq	child
45	HG01960	121095282000	39.06	fastq	NovaSeq	child
46	HG02056	110798827200	35.74	fastq	NovaSeq	child
48	HG02129	117984755400	38.06	fastq	NovaSeq	child
49	HG02280	122266447500	39.44	fastq	NovaSeq	child
51	HG01952	113746670100	36.69	fastq	NovaSeq	child
52	HG02523	112387790700	36.25	fastq	NovaSeq	child
53	HG02451	116697557100	37.64	fastq	NovaSeq	child
54	HG02668	106578490200	34.38	fastq	NovaSeq	child
55	HG01887	119710600800	38.62	fastq	NovaSeq	child
56	HG01981	113916681000	36.75	fastq	NovaSeq	child
57	HG02717	119895876900	38.68	fastq	NovaSeq	child
59	HG00423	113361687000	36.57	fastq	NovaSeq	child
60	HG03017	117788308500	38.0	fastq	NovaSeq	child
61	HG03804	106238504400	34.27	fastq	NovaSeq	child
62	HG00408	113385324300	36.58	fastq	NovaSeq	child
63	HG00658	110560325400	35.66	fastq	NovaSeq	child
64	HG02735	121263884400	39.12	fastq	NovaSeq	child
67	HG02015	118271589000	38.15	fastq	NovaSeq	child
68	HG00642	115511069100	37.26	fastq	NovaSeq	child
69	HG02572	113450591400	36.6	fastq	NovaSeq	child
70	HG02055	114554531700	36.95	fastq	NovaSeq	child
71	HG01975	119486241300	38.54	fastq	NovaSeq	child
72	HG03486	115037305500	37.11	fastq	NovaSeq	child
73	NA20129	112596119400	36.32	fastq	NovaSeq	child
74	HG01150	117582455700	37.93	fastq	NovaSeq	child
75	HG03654	112084877100	36.16	fastq	NovaSeq	child
77	HG00609	116006773200	37.42	fastq	NovaSeq	child
78	HG02132	115105950600	37.13	fastq	NovaSeq	child
79	HG00597	111475988700	35.96	fastq	NovaSeq	child
80	HG01998	118557102300	38.24	fastq	NovaSeq	child
81	HG03579	108770931900	35.09	fastq	NovaSeq	child
82	HG02662	116832611100	37.69	fastq	NovaSeq	child
83	HG00673	106082029200	34.22	fastq	NovaSeq	child
84	HG03831	110632460700	35.69	fastq	NovaSeq	child
85	HG03453	109713735300	35.39	fastq	NovaSeq	child
88	HG02602	119510310000	38.55	fastq	NovaSeq	child
89	HG01496	106292473500	34.29	fastq	NovaSeq	child
90	HG01106	114258479400	36.86	fastq	NovaSeq	child
92	HG02080	115566136500	37.28	fastq	NovaSeq	child
93	HG01252	116253712800	37.5	fastq	NovaSeq	child
95	HG03050	110162223000	35.54	fastq	NovaSeq	child
96	HG03834	109795859700	35.42	fastq	NovaSeq	child
97	HG00735	108789511500	35.09	fastq	NovaSeq	child
98	HG02300	117372230400	37.86	fastq	NovaSeq	child
100	HG03041	112274295000	36.22	fastq	NovaSeq	child
102	HG03927	109497906900	35.32	fastq	NovaSeq	child
105	HG01346	114444906900	36.92	fastq	NovaSeq	child
107	HG01099	123095129700	39.71	fastq	NovaSeq	child
108	HG03816	102473619600	33.06	fastq	NovaSeq	child
109	HG02656	122744526600	39.6	fastq	NovaSeq	child
111	HG00738	114873994800	37.06	fastq	NovaSeq	child
112	HG03098	112335006900	36.24	fastq	NovaSeq	child
113	HG01888	117547012500	37.92	fastq	NovaSeq	child
114	HG02723	120278084100	38.8	fastq	NovaSeq	child
116	HG03825	110951053500	35.79	fastq	NovaSeq	child
117	HG02615	121380239400	39.15	fastq	NovaSeq	child
118	HG01891	114187692900	36.83	fastq	NovaSeq	child
119	HG00544	110286351600	35.58	fastq	NovaSeq	child
120	HG01243	107818339800	34.78	fastq	NovaSeq	child
