sample_ID,total_bp,coverage,filetype,instrument_model,library_construction_protocol,library_layout,library_strategy,read_length,Family ID,Paternal ID,Maternal ID,Gender,Phenotype,Population,Relationship,Siblings,Second Order,Third Order,Other Comments,path
HG00662,183253484400,59.11,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH076,0,0,1,0,CHS,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00662/raw_data/Illumina/child/HG00662.final.cram
HG00701,129116115300,41.65,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH089,0,0,1,0,CHS,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00701/raw_data/Illumina/child/HG00701.final.cram
HG01048,143870136300,46.41,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PR08,0,0,1,0,PUR,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01048/raw_data/Illumina/child/HG01048.final.cram
HG01167,155840855700,50.27,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PR39,0,0,1,0,PUR,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01167/raw_data/Illumina/child/HG01167.final.cram
HG01248,148995136200,48.06,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PR32,0,0,2,0,PUR,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01248/raw_data/Illumina/child/HG01248.final.cram
HG01626,123820162200,39.94,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,IBS016,0,0,2,0,IBS,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01626/raw_data/Illumina/child/HG01626.final.cram
HG01766,113179197000,36.51,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,IBS047,0,0,2,0,IBS,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01766/raw_data/Illumina/child/HG01766.final.cram
HG01785,127430634300,41.11,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,IBS054,0,0,1,0,IBS,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01785/raw_data/Illumina/child/HG01785.final.cram
HG01786,177493282500,57.26,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,IBS054,0,0,2,0,IBS,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01786/raw_data/Illumina/child/HG01786.final.cram
HG01894,143721267900,46.36,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BB06,0,0,2,0,ACB,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01894/raw_data/Illumina/child/HG01894.final.cram
HG02583,143070139500,46.15,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB23,0,0,2,0,GWD,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02583/raw_data/Illumina/child/HG02583.final.cram
HG02624,145446337200,46.92,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB32,0,0,2,0,GWD,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02624/raw_data/Illumina/child/HG02624.final.cram
HG03072,160250846100,51.69,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SL08,0,0,1,0,MSL,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03072/raw_data/Illumina/child/HG03072.final.cram
HG03103,152542342800,49.21,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG27,0,0,1,0,ESN,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03103/raw_data/Illumina/child/HG03103.final.cram
HG03108,137598996900,44.39,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG29,0,0,2,0,ESN,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03108/raw_data/Illumina/child/HG03108.final.cram
