filename,filetype,title,sample_ID,biosample_accession,library_ID,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,data_type,assembly,shear_method,size_selection,seq_kit,basecaller,basecaller_version,basecaller_model,generator_facility,generator_contact,notes,path,ntsm_score,read_N50,total_Gbp,coverage,100kb+,200kb+,300kb+,400kb+,500kb+,1Mb+,whales,accession,study,bioproject_accession,production,sequencing_chemistry
"['05_17_22_R941_GM18522_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '05_17_22_R941_GM18522_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '05_17_22_R941_GM18522_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","['bam', 'bam', 'bam']","['Oxford Nanopore sequencing of GM18522', 'Oxford Nanopore sequencing of GM18522', 'Oxford Nanopore sequencing of GM18522']",GM18522,SAMN33758796,"['05_17_22_R941_GM18522', '05_17_22_R941_GM18522', '05_17_22_R941_GM18522']","['WGS', 'WGS', 'WGS']","['GENOMIC', 'GENOMIC', 'GENOMIC']","['RANDOM', 'RANDOM', 'RANDOM']","['single', 'single', 'single']","['OXFORD_NANOPORE', 'OXFORD_NANOPORE', 'OXFORD_NANOPORE']","['PromethION', 'PromethION', 'PromethION']","['UL sequencing using ONT-Circulomics method', 'UL sequencing using ONT-Circulomics method', 'UL sequencing using ONT-Circulomics method']","['unaligned reads with 5mC mods', 'unaligned reads with 5mC mods', 'unaligned reads with 5mC mods']","['unaligned', 'unaligned', 'unaligned']","['no shear', 'no shear', 'no shear']","['no SS', 'no SS', 'no SS']","['SQK-ULK001', 'SQK-ULK001', 'SQK-ULK001']","['guppy', 'guppy', 'guppy']","['6.5.7', '6.5.7', '6.5.7']","['dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg', 'dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg', 'dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg']","['University of California Santa Cruz', 'University of California Santa Cruz', 'University of California Santa Cruz']","['iviolich@ucsc.edu', 'iviolich@ucsc.edu', 'iviolich@ucsc.edu']","[nan, nan, nan]","['s3://human-pangenomics/working/HPRC/NA18522/raw_data/nanopore/guppy_6/05_17_22_R941_GM18522_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA18522/raw_data/nanopore/guppy_6/05_17_22_R941_GM18522_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA18522/raw_data/nanopore/guppy_6/05_17_22_R941_GM18522_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[0.336724, 0.333979, 0.385127]",89971.33333333333,227.75,69.01,30.82,7.0,1.07,0.17,0.03,0.0,1,"['SRR26373389', 'SRR26373389', 'SRR26373389']","['SRP305758', 'SRP305758', 'SRP305758']","['PRJNA701308', 'PRJNA701308', 'PRJNA701308']","['UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3']","['R941', 'R941', 'R941']"
"['08_10_22_R941_GM18570_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '08_10_22_R941_GM18570_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '08_10_22_R941_GM18570_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[nan, nan, nan]","[nan, nan, nan]",GM18570,,"['08_10_22_R941_GM18570', '08_10_22_R941_GM18570', '08_10_22_R941_GM18570']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['unaligned reads with 5mC mods', 'unaligned reads with 5mC mods', 'unaligned reads with 5mC mods']","[nan, nan, nan]","['no shear', 'no shear', 'no shear']","['no SS', 'no SS', 'no SS']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['s3://human-pangenomics/working/HPRC/NA18570/raw_data/nanopore/guppy_6/08_10_22_R941_GM18570_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA18570/raw_data/nanopore/guppy_6/08_10_22_R941_GM18570_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA18570/raw_data/nanopore/guppy_6/08_10_22_R941_GM18570_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[0.339543, 0.340802, 0.353154]",81550.33333333333,218.51999999999998,66.22,26.85,7.279999999999999,1.75,0.5,0.16999999999999998,0.01,21,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3']","['R941', 'R941', 'R941']"
"['06_28_22_R941_GM18612_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '06_28_22_R941_GM18612_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '06_28_22_R941_GM18612_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","['bam', 'bam', 'bam']","['Oxford Nanopore sequencing of GM18612', 'Oxford Nanopore sequencing of GM18612', 'Oxford Nanopore sequencing of GM18612']",GM18612,SAMN33621960,"['06_28_22_R941_GM18612', '06_28_22_R941_GM18612', '06_28_22_R941_GM18612']","['WGS', 'WGS', 'WGS']","['GENOMIC', 'GENOMIC', 'GENOMIC']","['RANDOM', 'RANDOM', 'RANDOM']","['single', 'single', 'single']","['OXFORD_NANOPORE', 'OXFORD_NANOPORE', 'OXFORD_NANOPORE']","['PromethION', 'PromethION', 'PromethION']","['UL sequencing using ONT-Circulomics method', 'UL sequencing using ONT-Circulomics method', 'UL sequencing using ONT-Circulomics method']","['unaligned reads with 5mC mods', 'unaligned reads with 5mC mods', 'unaligned reads with 5mC mods']","['unaligned', 'unaligned', 'unaligned']","['no shear', 'no shear', 'no shear']","['no SS', 'no SS', 'no SS']","['SQK-ULK001', 'SQK-ULK001', 'SQK-ULK001']","['guppy', 'guppy', 'guppy']","['6.5.7', '6.5.7', '6.5.7']","['dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg', 'dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg', 'dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg']","['University of California Santa Cruz', 'University of California Santa Cruz', 'University of California Santa Cruz']","['iviolich@ucsc.edu', 'iviolich@ucsc.edu', 'iviolich@ucsc.edu']","[nan, nan, nan]","['s3://human-pangenomics/working/HPRC/NA18612/raw_data/nanopore/guppy_6/06_28_22_R941_GM18612_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA18612/raw_data/nanopore/guppy_6/06_28_22_R941_GM18612_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA18612/raw_data/nanopore/guppy_6/06_28_22_R941_GM18612_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[0.340271, 0.369822, 0.329798]",85807.66666666667,238.77,72.34,30.35,6.63,1.12,0.25,0.09,0.0,7,"['SRR26373409', 'SRR26373409', 'SRR26373409']","['SRP305758', 'SRP305758', 'SRP305758']","['PRJNA701308', 'PRJNA701308', 'PRJNA701308']","['UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3']","['R941', 'R941', 'R941']"
"['06_28_22_R941_GM18747_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '06_28_22_R941_GM18747_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '06_28_22_R941_GM18747_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","['bam', 'bam', 'bam']","['Oxford Nanopore sequencing of GM18747', 'Oxford Nanopore sequencing of GM18747', 'Oxford Nanopore sequencing of GM18747']",GM18747,SAMN33758797,"['06_28_22_R941_GM18747', '06_28_22_R941_GM18747', '06_28_22_R941_GM18747']","['WGS', 'WGS', 'WGS']","['GENOMIC', 'GENOMIC', 'GENOMIC']","['RANDOM', 'RANDOM', 'RANDOM']","['single', 'single', 'single']","['OXFORD_NANOPORE', 'OXFORD_NANOPORE', 'OXFORD_NANOPORE']","['PromethION', 'PromethION', 'PromethION']","['UL sequencing using ONT-Circulomics method', 'UL sequencing using ONT-Circulomics method', 'UL sequencing using ONT-Circulomics method']","['unaligned reads with 5mC mods', 'unaligned reads with 5mC mods', 'unaligned reads with 5mC mods']","['assembly', 'assembly', 'assembly']","['no shear', 'no shear', 'no shear']","['no SS', 'no SS', 'no SS']","['SQK-ULK001', 'SQK-ULK001', 'SQK-ULK001']","['guppy', 'guppy', 'guppy']","['6.5.7', '6.5.7', '6.5.7']","['dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg', 'dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg', 'dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg']","['University of California Santa Cruz', 'University of California Santa Cruz', 'University of California Santa Cruz']","['iviolich@ucsc.edu', 'iviolich@ucsc.edu', 'iviolich@ucsc.edu']","[nan, nan, nan]","['s3://human-pangenomics/working/HPRC/NA18747/raw_data/nanopore/guppy_6/06_28_22_R941_GM18747_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA18747/raw_data/nanopore/guppy_6/06_28_22_R941_GM18747_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA18747/raw_data/nanopore/guppy_6/06_28_22_R941_GM18747_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[0.340225, 0.330606, 0.326619]",83953.0,247.89999999999998,75.12,31.119999999999997,7.57,1.31,0.19,0.03,0.0,2,"['SRR26373388', 'SRR26373388', 'SRR26373388']","['SRP305758', 'SRP305758', 'SRP305758']","['PRJNA701308', 'PRJNA701308', 'PRJNA701308']","['UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3']","['R941', 'R941', 'R941']"
"['06_28_22_R941_GM18971_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '06_28_22_R941_GM18971_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '06_28_22_R941_GM18971_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","['bam', 'bam', 'bam']","['Oxford Nanopore sequencing of GM18971', 'Oxford Nanopore sequencing of GM18971', 'Oxford Nanopore sequencing of GM18971']",GM18971,SAMN33621961,"['06_28_22_R941_GM18971', '06_28_22_R941_GM18971', '06_28_22_R941_GM18971']","['WGS', 'WGS', 'WGS']","['GENOMIC', 'GENOMIC', 'GENOMIC']","['RANDOM', 'RANDOM', 'RANDOM']","['single', 'single', 'single']","['OXFORD_NANOPORE', 'OXFORD_NANOPORE', 'OXFORD_NANOPORE']","['PromethION', 'PromethION', 'PromethION']","['UL sequencing using ONT-Circulomics method', 'UL sequencing using ONT-Circulomics method', 'UL sequencing using ONT-Circulomics method']","['unaligned reads with 5mC mods', 'unaligned reads with 5mC mods', 'unaligned reads with 5mC mods']","['assembly', 'assembly', 'assembly']","['no shear', 'no shear', 'no shear']","['no SS', 'no SS', 'no SS']","['SQK-ULK001', 'SQK-ULK001', 'SQK-ULK001']","['guppy', 'guppy', 'guppy']","['6.5.7', '6.5.7', '6.5.7']","['dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg', 'dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg', 'dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg']","['University of California Santa Cruz', 'University of California Santa Cruz', 'University of California Santa Cruz']","['iviolich@ucsc.edu', 'iviolich@ucsc.edu', 'iviolich@ucsc.edu']","[nan, nan, nan]","['s3://human-pangenomics/working/HPRC/NA18971/raw_data/nanopore/guppy_6/06_28_22_R941_GM18971_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA18971/raw_data/nanopore/guppy_6/06_28_22_R941_GM18971_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA18971/raw_data/nanopore/guppy_6/06_28_22_R941_GM18971_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[0.378314, 0.383637, 0.366243]",78418.66666666667,263.59,79.88,29.979999999999997,5.95,1.15,0.34,0.13,0.0,24,"['SRR26373408', 'SRR26373408', 'SRR26373408']","['SRP305758', 'SRP305758', 'SRP305758']","['PRJNA701308', 'PRJNA701308', 'PRJNA701308']","['UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3']","['R941', 'R941', 'R941']"
"['06_28_22_R941_GM18983_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '06_28_22_R941_GM18983_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '06_28_22_R941_GM18983_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","['bam', 'bam', 'bam']","['Oxford Nanopore sequencing of GM18983', 'Oxford Nanopore sequencing of GM18983', 'Oxford Nanopore sequencing of GM18983']",GM18983,SAMN33758798,"['06_28_22_R941_GM18983', '06_28_22_R941_GM18983', '06_28_22_R941_GM18983']","['WGS', 'WGS', 'WGS']","['GENOMIC', 'GENOMIC', 'GENOMIC']","['RANDOM', 'RANDOM', 'RANDOM']","['single', 'single', 'single']","['OXFORD_NANOPORE', 'OXFORD_NANOPORE', 'OXFORD_NANOPORE']","['PromethION', 'PromethION', 'PromethION']","['UL sequencing using ONT-Circulomics method', 'UL sequencing using ONT-Circulomics method', 'UL sequencing using ONT-Circulomics method']","['unaligned reads with 5mC mods', 'unaligned reads with 5mC mods', 'unaligned reads with 5mC mods']","['unaligned', 'unaligned', 'unaligned']","['no shear', 'no shear', 'no shear']","['no SS', 'no SS', 'no SS']","['SQK-ULK001', 'SQK-ULK001', 'SQK-ULK001']","['guppy', 'guppy', 'guppy']","['6.5.7', '6.5.7', '6.5.7']","['dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg', 'dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg', 'dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg']","['University of California Santa Cruz', 'University of California Santa Cruz', 'University of California Santa Cruz']","['iviolich@ucsc.edu', 'iviolich@ucsc.edu', 'iviolich@ucsc.edu']","[nan, nan, nan]","['s3://human-pangenomics/working/HPRC/NA18983/raw_data/nanopore/guppy_6/06_28_22_R941_GM18983_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA18983/raw_data/nanopore/guppy_6/06_28_22_R941_GM18983_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA18983/raw_data/nanopore/guppy_6/06_28_22_R941_GM18983_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[0.432677, 0.404763, 0.403313]",80021.66666666667,224.7,68.1,26.4,5.55,0.77,0.11,0.03,0.0,5,"['SRR26373387', 'SRR26373387', 'SRR26373387']","['SRP305758', 'SRP305758', 'SRP305758']","['PRJNA701308', 'PRJNA701308', 'PRJNA701308']","['UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3']","['R941', 'R941', 'R941']"
"['09_27_2022_R941_GM19043_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '09_27_2022_R941_GM19043_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '09_27_2022_R941_GM19043_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '09_27_2022_R941_GM19043_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","['bam', 'bam', 'bam', 'bam']","['Oxford Nanopore sequencing of GM19043', 'Oxford Nanopore sequencing of GM19043', 'Oxford Nanopore sequencing of GM19043', 'Oxford Nanopore sequencing of GM19043']",GM19043,SAMN33758799,"['09_27_2022_R941_GM19043', '09_27_2022_R941_GM19043', '09_27_2022_R941_GM19043', '09_27_2022_R941_GM19043']","['WGS', 'WGS', 'WGS', 'WGS']","['GENOMIC', 'GENOMIC', 'GENOMIC', 'GENOMIC']","['RANDOM', 'RANDOM', 'RANDOM', 'RANDOM']","['single', 'single', 'single', 'single']","['OXFORD_NANOPORE', 'OXFORD_NANOPORE', 'OXFORD_NANOPORE', 'OXFORD_NANOPORE']","['PromethION', 'PromethION', 'PromethION', 'PromethION']","['UL sequencing using ONT-Circulomics method', 'UL sequencing using ONT-Circulomics method', 'UL sequencing using ONT-Circulomics method', 'UL sequencing using ONT-Circulomics method']","['unaligned reads with 5mC mods', 'unaligned reads with 5mC mods', 'unaligned reads with 5mC mods', 'unaligned reads with 5mC mods']","['assembly', 'assembly', 'assembly', 'assembly']","['no shear', 'no shear', 'no shear', 'no shear']","['no SS', 'no SS', 'no SS', 'no SS']","['SQK-ULK001', 'SQK-ULK001', 'SQK-ULK001', 'SQK-ULK001']","['guppy', 'guppy', 'guppy', 'guppy']","['6.5.7', '6.5.7', '6.5.7', '6.5.7']","['dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg', 'dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg', 'dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg', 'dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg']","['University of California Santa Cruz', 'University of California Santa Cruz', 'University of California Santa Cruz', 'University of California Santa Cruz']","['iviolich@ucsc.edu', 'iviolich@ucsc.edu', 'iviolich@ucsc.edu', 'iviolich@ucsc.edu']","[nan, nan, nan, nan]","['s3://human-pangenomics/working/HPRC/NA19043/raw_data/nanopore/guppy_6/09_27_2022_R941_GM19043_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA19043/raw_data/nanopore/guppy_6/09_27_2022_R941_GM19043_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA19043/raw_data/nanopore/guppy_6/09_27_2022_R941_GM19043_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA19043/raw_data/nanopore/guppy_6/09_27_2022_R941_GM19043_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[0.570092, 0.346266, 0.371248, 0.35535]",74545.75,206.12,62.45,21.82,4.51,0.8,0.16,0.04,0.0,5,"['SRR26373386', 'SRR26373386', 'SRR26373386', 'SRR26373386']","['SRP305758', 'SRP305758', 'SRP305758', 'SRP305758']","['PRJNA701308', 'PRJNA701308', 'PRJNA701308', 'PRJNA701308']","['UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3']","['R941', 'R941', 'R941', 'R941']"
"['09_14_22_R941_GM19087_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '09_14_22_R941_GM19087_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '09_14_22_R941_GM19087_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[nan, nan, nan]","[nan, nan, nan]",GM19087,,"['09_14_22_R941_GM19087', '09_14_22_R941_GM19087', '09_14_22_R941_GM19087']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['unaligned reads with 5mC mods', 'unaligned reads with 5mC mods', 'unaligned reads with 5mC mods']","[nan, nan, nan]","['no shear', 'no shear', 'no shear']","['no SS', 'no SS', 'no SS']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['s3://human-pangenomics/working/HPRC/NA19087/raw_data/nanopore/guppy_6/09_14_22_R941_GM19087_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA19087/raw_data/nanopore/guppy_6/09_14_22_R941_GM19087_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA19087/raw_data/nanopore/guppy_6/09_14_22_R941_GM19087_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[0.363347, 0.37074, 0.389523]",67108.0,237.62,72.01,22.34,4.35,0.92,0.25,0.09,0.0,5,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3']","['R941', 'R941', 'R941']"
"['08_10_22_R941_GM19120_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '08_10_22_R941_GM19120_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '08_10_22_R941_GM19120_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[nan, nan, nan]","[nan, nan, nan]",GM19120,,"['08_10_22_R941_GM19120', '08_10_22_R941_GM19120', '08_10_22_R941_GM19120']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['unaligned reads with 5mC mods', 'unaligned reads with 5mC mods', 'unaligned reads with 5mC mods']","[nan, nan, nan]","['no shear', 'no shear', 'no shear']","['no SS', 'no SS', 'no SS']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['s3://human-pangenomics/working/HPRC/NA19120/raw_data/nanopore/guppy_6/08_10_22_R941_GM19120_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA19120/raw_data/nanopore/guppy_6/08_10_22_R941_GM19120_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA19120/raw_data/nanopore/guppy_6/08_10_22_R941_GM19120_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[0.349111, 0.386826, 0.361188]",85334.66666666667,189.5,57.42,24.05,7.12,1.9100000000000001,0.49,0.13,0.0,9,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3']","['R941', 'R941', 'R941']"
"['08_10_22_R941_GM19159_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '08_10_22_R941_GM19159_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', '08_10_22_R941_GM19159_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[nan, nan, nan]","[nan, nan, nan]",GM19159,,"['08_10_22_R941_GM19159', '08_10_22_R941_GM19159', '08_10_22_R941_GM19159']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['unaligned reads with 5mC mods', 'unaligned reads with 5mC mods', 'unaligned reads with 5mC mods']","[nan, nan, nan]","['no shear', 'no shear', 'no shear']","['no SS', 'no SS', 'no SS']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['s3://human-pangenomics/working/HPRC/NA19159/raw_data/nanopore/guppy_6/08_10_22_R941_GM19159_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA19159/raw_data/nanopore/guppy_6/08_10_22_R941_GM19159_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam', 's3://human-pangenomics/working/HPRC/NA19159/raw_data/nanopore/guppy_6/08_10_22_R941_GM19159_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']","[0.332599, 0.370954, 0.376472]",84524.33333333333,185.89,56.33,23.73,6.89,1.74,0.43,0.12,0.0,15,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3', 'UCSC_HPRC_nanopore_Year3']","['R941', 'R941', 'R941']"
