	title	type	umbrella-bioproject	Description	Accession	Sample	Organism
0	Assembly of HG00423 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG00423 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26237490	HG00423	Homo sapiens
0	Assembly of HG02027 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG02027 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26237503	HG02027	Homo sapiens
0	Assembly of HG02083 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG02083 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26237504	HG02083	Homo sapiens
0	Assembly of HG02523 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG02523 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26237506	HG02523	Homo sapiens
0	Assembly of HG02132 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG02132 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26267382	HG02132	Homo sapiens
0	Assembly of HG02135 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG02135 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26267392	HG02135	Homo sapiens
0	Assembly of HG02074 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG02074 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26267381	HG02074	Homo sapiens
0	Assembly of HG02071 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG02071 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26267380	HG02071	Homo sapiens
0	Assembly of HG03942 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG03942 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26267387	HG03942	Homo sapiens
0	Assembly of HG04187 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG04187 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN37706911	HG04187	Homo sapiens
0	Assembly of HG03804 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG03804 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN37706907	HG03804	Homo sapiens
0	Assembly of HG04160 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG04160 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN37706910	HG04160	Homo sapiens
0	Assembly of HG04157 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG04157 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN37706909	HG04157	Homo sapiens
0	Assembly of HG03816 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG03816 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN37706908	HG03816	Homo sapiens
0	Assembly of HG03710 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG03710 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26237513	HG03710	Homo sapiens
0	Assembly of HG02602 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG02602 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26237507	HG02602	Homo sapiens
0	Assembly of HG03654 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG03654 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26237511	HG03654	Homo sapiens
0	Assembly of HG02698 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG02698 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26237509	HG02698	Homo sapiens
0	Assembly of HG04228 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG04228 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26267391	HG04228	Homo sapiens
0	Assembly of HG03688 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG03688 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26267385	HG03688	Homo sapiens
0	Assembly of HG04204 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG04204 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26267390	HG04204	Homo sapiens
0	Assembly of HG04199 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG04199 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26267389	HG04199	Homo sapiens
0	Assembly of HG04115 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG04115 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26267388	HG04115	Homo sapiens
0	Assembly of HG02668 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG02668 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN37706906	HG02668	Homo sapiens
0	Assembly of HG00706 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG00706 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN37706905	HG00706	Homo sapiens
0	Assembly of HG00544 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG00544 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26237491	HG00544	Homo sapiens
0	Assembly of HG03669 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG03669 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26237512	HG03669	Homo sapiens
0	Assembly of HG01255 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG01255 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26237495	HG01255	Homo sapiens
0	Assembly of HG02615 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG02615 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26237508	HG02615	Homo sapiens
0	Assembly of HG00738 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG00738 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26237493	HG00738	Homo sapiens
0	Assembly of HG03927 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG03927 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26267386	HG03927	Homo sapiens
0	Assembly of HG00642 Maternal Haplotype	Genome sequencing and assembly	Bioproject-Assembly-Trio	HG00642 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	SAMN26267378	HG00642	Homo sapiens
