	title	type	umbrella-bioproject	Description	Accession	Sample	Organism
0	Assembly of HG00423	Umbrella	PRJNA730822	HG00423 assembly generated by the Human Pangenome Reference Consortium	SAMN26237490	HG00423	Homo sapiens
0	Assembly of HG02027	Umbrella	PRJNA730822	HG02027 assembly generated by the Human Pangenome Reference Consortium	SAMN26237503	HG02027	Homo sapiens
0	Assembly of HG02083	Umbrella	PRJNA730822	HG02083 assembly generated by the Human Pangenome Reference Consortium	SAMN26237504	HG02083	Homo sapiens
0	Assembly of HG02523	Umbrella	PRJNA730822	HG02523 assembly generated by the Human Pangenome Reference Consortium	SAMN26237506	HG02523	Homo sapiens
0	Assembly of HG02132	Umbrella	PRJNA730822	HG02132 assembly generated by the Human Pangenome Reference Consortium	SAMN26267382	HG02132	Homo sapiens
0	Assembly of HG02135	Umbrella	PRJNA730822	HG02135 assembly generated by the Human Pangenome Reference Consortium	SAMN26267392	HG02135	Homo sapiens
0	Assembly of HG02074	Umbrella	PRJNA730822	HG02074 assembly generated by the Human Pangenome Reference Consortium	SAMN26267381	HG02074	Homo sapiens
0	Assembly of HG02071	Umbrella	PRJNA730822	HG02071 assembly generated by the Human Pangenome Reference Consortium	SAMN26267380	HG02071	Homo sapiens
0	Assembly of HG03942	Umbrella	PRJNA730822	HG03942 assembly generated by the Human Pangenome Reference Consortium	SAMN26267387	HG03942	Homo sapiens
0	Assembly of HG04187	Umbrella	PRJNA730822	HG04187 assembly generated by the Human Pangenome Reference Consortium	SAMN37706911	HG04187	Homo sapiens
0	Assembly of HG03804	Umbrella	PRJNA730822	HG03804 assembly generated by the Human Pangenome Reference Consortium	SAMN37706907	HG03804	Homo sapiens
0	Assembly of HG04160	Umbrella	PRJNA730822	HG04160 assembly generated by the Human Pangenome Reference Consortium	SAMN37706910	HG04160	Homo sapiens
0	Assembly of HG04157	Umbrella	PRJNA730822	HG04157 assembly generated by the Human Pangenome Reference Consortium	SAMN37706909	HG04157	Homo sapiens
0	Assembly of HG03816	Umbrella	PRJNA730822	HG03816 assembly generated by the Human Pangenome Reference Consortium	SAMN37706908	HG03816	Homo sapiens
0	Assembly of HG03710	Umbrella	PRJNA730822	HG03710 assembly generated by the Human Pangenome Reference Consortium	SAMN26237513	HG03710	Homo sapiens
0	Assembly of HG02602	Umbrella	PRJNA730822	HG02602 assembly generated by the Human Pangenome Reference Consortium	SAMN26237507	HG02602	Homo sapiens
0	Assembly of HG03654	Umbrella	PRJNA730822	HG03654 assembly generated by the Human Pangenome Reference Consortium	SAMN26237511	HG03654	Homo sapiens
0	Assembly of HG02698	Umbrella	PRJNA730822	HG02698 assembly generated by the Human Pangenome Reference Consortium	SAMN26237509	HG02698	Homo sapiens
0	Assembly of HG04228	Umbrella	PRJNA730822	HG04228 assembly generated by the Human Pangenome Reference Consortium	SAMN26267391	HG04228	Homo sapiens
0	Assembly of HG03688	Umbrella	PRJNA730822	HG03688 assembly generated by the Human Pangenome Reference Consortium	SAMN26267385	HG03688	Homo sapiens
0	Assembly of HG04204	Umbrella	PRJNA730822	HG04204 assembly generated by the Human Pangenome Reference Consortium	SAMN26267390	HG04204	Homo sapiens
0	Assembly of HG04199	Umbrella	PRJNA730822	HG04199 assembly generated by the Human Pangenome Reference Consortium	SAMN26267389	HG04199	Homo sapiens
0	Assembly of HG04115	Umbrella	PRJNA730822	HG04115 assembly generated by the Human Pangenome Reference Consortium	SAMN26267388	HG04115	Homo sapiens
0	Assembly of HG02668	Umbrella	PRJNA730822	HG02668 assembly generated by the Human Pangenome Reference Consortium	SAMN37706906	HG02668	Homo sapiens
0	Assembly of HG00706	Umbrella	PRJNA730822	HG00706 assembly generated by the Human Pangenome Reference Consortium	SAMN37706905	HG00706	Homo sapiens
0	Assembly of HG00544	Umbrella	PRJNA730822	HG00544 assembly generated by the Human Pangenome Reference Consortium	SAMN26237491	HG00544	Homo sapiens
0	Assembly of HG03669	Umbrella	PRJNA730822	HG03669 assembly generated by the Human Pangenome Reference Consortium	SAMN26237512	HG03669	Homo sapiens
0	Assembly of HG01255	Umbrella	PRJNA730822	HG01255 assembly generated by the Human Pangenome Reference Consortium	SAMN26237495	HG01255	Homo sapiens
0	Assembly of HG02615	Umbrella	PRJNA730822	HG02615 assembly generated by the Human Pangenome Reference Consortium	SAMN26237508	HG02615	Homo sapiens
0	Assembly of HG00738	Umbrella	PRJNA730822	HG00738 assembly generated by the Human Pangenome Reference Consortium	SAMN26237493	HG00738	Homo sapiens
0	Assembly of HG03927	Umbrella	PRJNA730822	HG03927 assembly generated by the Human Pangenome Reference Consortium	SAMN26267386	HG03927	Homo sapiens
0	Assembly of HG00642	Umbrella	PRJNA730822	HG00642 assembly generated by the Human Pangenome Reference Consortium	SAMN26267378	HG00642	Homo sapiens
0	Assembly of HG01346	Umbrella	PRJNA730822	HG01346 assembly generated by the Human Pangenome Reference Consortium	SAMN26267379	HG01346	Homo sapiens
0	Assembly of HG02647	Umbrella	PRJNA730822	HG02647 assembly generated by the Human Pangenome Reference Consortium	SAMN26267383	HG02647	Homo sapiens
0	Assembly of HG03831	Umbrella	PRJNA730822	HG03831 assembly generated by the Human Pangenome Reference Consortium	SAMN26237514	HG03831	Homo sapiens
0	Assembly of HG01993	Umbrella	PRJNA730822	HG01993 assembly generated by the Human Pangenome Reference Consortium	SAMN26237501	HG01993	Homo sapiens
0	Assembly of HG01433	Umbrella	PRJNA730822	HG01433 assembly generated by the Human Pangenome Reference Consortium	SAMN26237496	HG01433	Homo sapiens
0	Assembly of HG04184	Umbrella	PRJNA730822	HG04184 assembly generated by the Human Pangenome Reference Consortium	SAMN26267397	HG04184	Homo sapiens
0	Assembly of HG02683	Umbrella	PRJNA730822	HG02683 assembly generated by the Human Pangenome Reference Consortium	SAMN26267384	HG02683	Homo sapiens
0	Assembly of HG02300	Umbrella	PRJNA730822	HG02300 assembly generated by the Human Pangenome Reference Consortium	SAMN26267395	HG02300	Homo sapiens
0	Assembly of HG02738	Umbrella	PRJNA730822	HG02738 assembly generated by the Human Pangenome Reference Consortium	SAMN26267396	HG02738	Homo sapiens
0	Assembly of HG01884	Umbrella	PRJNA730822	HG01884 assembly generated by the Human Pangenome Reference Consortium	SAMN26267393	HG01884	Homo sapiens
0	Assembly of HG01496	Umbrella	PRJNA730822	HG01496 assembly generated by the Human Pangenome Reference Consortium	SAMN26237497	HG01496	Homo sapiens
0	Assembly of HG00609	Umbrella	PRJNA730822	HG00609 assembly generated by the Human Pangenome Reference Consortium	SAMN26237492	HG00609	Homo sapiens
0	Assembly of HG01981	Umbrella	PRJNA730822	HG01981 assembly generated by the Human Pangenome Reference Consortium	SAMN26237500	HG01981	Homo sapiens
0	Assembly of HG02004	Umbrella	PRJNA730822	HG02004 assembly generated by the Human Pangenome Reference Consortium	SAMN26237502	HG02004	Homo sapiens
0	Assembly of HG02280	Umbrella	PRJNA730822	HG02280 assembly generated by the Human Pangenome Reference Consortium	SAMN26237505	HG02280	Homo sapiens
0	Assembly of HG01099	Umbrella	PRJNA730822	HG01099 assembly generated by the Human Pangenome Reference Consortium	SAMN26237494	HG01099	Homo sapiens
0	Assembly of HG02809	Umbrella	PRJNA730822	HG02809 assembly generated by the Human Pangenome Reference Consortium	SAMN26237510	HG02809	Homo sapiens
0	Assembly of HG01943	Umbrella	PRJNA730822	HG01943 assembly generated by the Human Pangenome Reference Consortium	SAMN26237499	HG01943	Homo sapiens
0	Assembly of HG02293	Umbrella	PRJNA730822	HG02293 assembly generated by the Human Pangenome Reference Consortium	SAMN26267394	HG02293	Homo sapiens
0	Assembly of HG03704	Umbrella	PRJNA730822	HG03704 assembly generated by the Human Pangenome Reference Consortium	SAMN33758795	HG03704	Homo sapiens
0	Assembly of HG02735	Umbrella	PRJNA730822	HG02735 assembly generated by the Human Pangenome Reference Consortium	SAMN33758787	HG02735	Homo sapiens
0	Assembly of HG02451	Umbrella	PRJNA730822	HG02451 assembly generated by the Human Pangenome Reference Consortium	SAMN33758786	HG02451	Homo sapiens
0	Assembly of HG01934	Umbrella	PRJNA730822	HG01934 assembly generated by the Human Pangenome Reference Consortium	SAMN26237498	HG01934	Homo sapiens
0	Assembly of HG00597	Umbrella	PRJNA730822	HG00597 assembly generated by the Human Pangenome Reference Consortium	SAMN33621944	HG00597	Homo sapiens
0	Assembly of HG02015	Umbrella	PRJNA730822	HG02015 assembly generated by the Human Pangenome Reference Consortium	SAMN33621948	HG02015	Homo sapiens
0	Assembly of HG01261	Umbrella	PRJNA730822	HG01261 assembly generated by the Human Pangenome Reference Consortium	SAMN33621946	HG01261	Homo sapiens
0	Assembly of HG01975	Umbrella	PRJNA730822	HG01975 assembly generated by the Human Pangenome Reference Consortium	SAMN33621947	HG01975	Homo sapiens
0	Assembly of HG00408	Umbrella	PRJNA730822	HG00408 assembly generated by the Human Pangenome Reference Consortium	SAMN33621943	HG00408	Homo sapiens
0	Assembly of HG02056	Umbrella	PRJNA730822	HG02056 assembly generated by the Human Pangenome Reference Consortium	SAMN33621949	HG02056	Homo sapiens
0	Assembly of HG01192	Umbrella	PRJNA730822	HG01192 assembly generated by the Human Pangenome Reference Consortium	SAMN33621945	HG01192	Homo sapiens
0	Assembly of HG03834	Umbrella	PRJNA730822	HG03834 assembly generated by the Human Pangenome Reference Consortium	SAMN33621958	HG03834	Homo sapiens
0	Assembly of HG02258	Umbrella	PRJNA730822	HG02258 assembly generated by the Human Pangenome Reference Consortium	SAMN33621952	HG02258	Homo sapiens
0	Assembly of HG02129	Umbrella	PRJNA730822	HG02129 assembly generated by the Human Pangenome Reference Consortium	SAMN33621950	HG02129	Homo sapiens
0	Assembly of HG01074	Umbrella	PRJNA730822	HG01074 assembly generated by the Human Pangenome Reference Consortium	SAMN33758782	HG01074	Homo sapiens
0	Assembly of HG03041	Umbrella	PRJNA730822	HG03041 assembly generated by the Human Pangenome Reference Consortium	SAMN33758790	HG03041	Homo sapiens
0	Assembly of HG00639	Umbrella	PRJNA730822	HG00639 assembly generated by the Human Pangenome Reference Consortium	SAMN33758781	HG00639	Homo sapiens
0	Assembly of HG01081	Umbrella	PRJNA730822	HG01081 assembly generated by the Human Pangenome Reference Consortium	SAMN33758783	HG01081	Homo sapiens
0	Assembly of HG03239	Umbrella	PRJNA730822	HG03239 assembly generated by the Human Pangenome Reference Consortium	SAMN33758794	HG03239	Homo sapiens
0	Assembly of HG03017	Umbrella	PRJNA730822	HG03017 assembly generated by the Human Pangenome Reference Consortium	SAMN33758789	HG03017	Homo sapiens
0	Assembly of HG01960	Umbrella	PRJNA730822	HG01960 assembly generated by the Human Pangenome Reference Consortium	SAMN37797102	HG01960	Homo sapiens
0	Assembly of HG02841	Umbrella	PRJNA730822	HG02841 assembly generated by the Human Pangenome Reference Consortium	SAMN37797106	HG02841	Homo sapiens
0	Assembly of HG02984	Umbrella	PRJNA730822	HG02984 assembly generated by the Human Pangenome Reference Consortium	SAMN37797107	HG02984	Homo sapiens
0	Assembly of HG03050	Umbrella	PRJNA730822	HG03050 assembly generated by the Human Pangenome Reference Consortium	SAMN37797108	HG03050	Homo sapiens
0	Assembly of HG01940	Umbrella	PRJNA730822	HG01940 assembly generated by the Human Pangenome Reference Consortium	SAMN37797101	HG01940	Homo sapiens
0	Assembly of HG02514	Umbrella	PRJNA730822	HG02514 assembly generated by the Human Pangenome Reference Consortium	SAMN37797105	HG02514	Homo sapiens
0	Assembly of HG00658	Umbrella	PRJNA730822	HG00658 assembly generated by the Human Pangenome Reference Consortium	SAMN37797096	HG00658	Homo sapiens
0	Assembly of HG01150	Umbrella	PRJNA730822	HG01150 assembly generated by the Human Pangenome Reference Consortium	SAMN37797097	HG01150	Homo sapiens
0	Assembly of HG01969	Umbrella	PRJNA730822	HG01969 assembly generated by the Human Pangenome Reference Consortium	SAMN37797103	HG01969	Homo sapiens
0	Assembly of HG01252	Umbrella	PRJNA730822	HG01252 assembly generated by the Human Pangenome Reference Consortium	SAMN37797098	HG01252	Homo sapiens
0	Assembly of HG00558	Umbrella	PRJNA730822	HG00558 assembly generated by the Human Pangenome Reference Consortium	SAMN33758780	HG00558	Homo sapiens
0	Assembly of HG02273	Umbrella	PRJNA730822	HG02273 assembly generated by the Human Pangenome Reference Consortium	SAMN33621953	HG02273	Homo sapiens
0	Assembly of HG03225	Umbrella	PRJNA730822	HG03225 assembly generated by the Human Pangenome Reference Consortium	SAMN33621957	HG03225	Homo sapiens
0	Assembly of HG02965	Umbrella	PRJNA730822	HG02965 assembly generated by the Human Pangenome Reference Consortium	SAMN33621954	HG02965	Homo sapiens
0	Assembly of HG02976	Umbrella	PRJNA730822	HG02976 assembly generated by the Human Pangenome Reference Consortium	SAMN33621955	HG02976	Homo sapiens
0	Assembly of HG03195	Umbrella	PRJNA730822	HG03195 assembly generated by the Human Pangenome Reference Consortium	SAMN33621956	HG03195	Homo sapiens
