title	type	Description	Sample	Organism
Assembly of HG03225	Umbrella	HG03225 assembly generated by the Human Pangenome Reference Consortium.	HG03225	Homo sapiens
Assembly of HG02965	Umbrella	HG02965 assembly generated by the Human Pangenome Reference Consortium.	HG02965	Homo sapiens
Assembly of HG02976	Umbrella	HG02976 assembly generated by the Human Pangenome Reference Consortium.	HG02976	Homo sapiens
Assembly of HG03195	Umbrella	HG03195 assembly generated by the Human Pangenome Reference Consortium.	HG03195	Homo sapiens
Assembly of HG03139	Umbrella	HG03139 assembly generated by the Human Pangenome Reference Consortium.	HG03139	Homo sapiens
Assembly of HG03130	Umbrella	HG03130 assembly generated by the Human Pangenome Reference Consortium.	HG03130	Homo sapiens
Assembly of HG03209	Umbrella	HG03209 assembly generated by the Human Pangenome Reference Consortium.	HG03209	Homo sapiens
Assembly of NA18522	Umbrella	NA18522 assembly generated by the Human Pangenome Reference Consortium.	NA18522	Homo sapiens
Assembly of NA19338	Umbrella	NA19338 assembly generated by the Human Pangenome Reference Consortium.	NA19338	Homo sapiens
Assembly of NA19391	Umbrella	NA19391 assembly generated by the Human Pangenome Reference Consortium.	NA19391	Homo sapiens
Assembly of NA19468	Umbrella	NA19468 assembly generated by the Human Pangenome Reference Consortium.	NA19468	Homo sapiens
Assembly of HG03470	Umbrella	HG03470 assembly generated by the Human Pangenome Reference Consortium.	HG03470	Homo sapiens
Assembly of HG03458	Umbrella	HG03458 assembly generated by the Human Pangenome Reference Consortium.	HG03458	Homo sapiens
Assembly of NA18971	Umbrella	NA18971 assembly generated by the Human Pangenome Reference Consortium.	NA18971	Homo sapiens
Assembly of HG02155	Umbrella	HG02155 assembly generated by the Human Pangenome Reference Consortium.	HG02155	Homo sapiens
Assembly of NA18612	Umbrella	NA18612 assembly generated by the Human Pangenome Reference Consortium.	NA18612	Homo sapiens
Assembly of HG00140	Umbrella	HG00140 assembly generated by the Human Pangenome Reference Consortium.	HG00140	Homo sapiens
Assembly of HG00323	Umbrella	HG00323 assembly generated by the Human Pangenome Reference Consortium.	HG00323	Homo sapiens
Assembly of HG02922	Umbrella	HG02922 assembly generated by the Human Pangenome Reference Consortium.	HG02922	Homo sapiens
Assembly of HG02165	Umbrella	HG02165 assembly generated by the Human Pangenome Reference Consortium.	HG02165	Homo sapiens
Assembly of NA18983	Umbrella	NA18983 assembly generated by the Human Pangenome Reference Consortium.	NA18983	Homo sapiens
Assembly of HG02040	Umbrella	HG02040 assembly generated by the Human Pangenome Reference Consortium.	HG02040	Homo sapiens
Assembly of NA18747	Umbrella	NA18747 assembly generated by the Human Pangenome Reference Consortium.	NA18747	Homo sapiens
Assembly of NA19159	Umbrella	NA19159 assembly generated by the Human Pangenome Reference Consortium.	NA19159	Homo sapiens
Assembly of NA19185	Umbrella	NA19185 assembly generated by the Human Pangenome Reference Consortium.	NA19185	Homo sapiens
Assembly of HG02391	Umbrella	HG02391 assembly generated by the Human Pangenome Reference Consortium.	HG02391	Homo sapiens
Assembly of NA18570	Umbrella	NA18570 assembly generated by the Human Pangenome Reference Consortium.	NA18570	Homo sapiens
Assembly of NA19087	Umbrella	NA19087 assembly generated by the Human Pangenome Reference Consortium.	NA19087	Homo sapiens
Assembly of NA20805	Umbrella	NA20805 assembly generated by the Human Pangenome Reference Consortium.	NA20805	Homo sapiens
Assembly of HG03792	Umbrella	HG03792 assembly generated by the Human Pangenome Reference Consortium.	HG03792	Homo sapiens
Assembly of NA20858	Umbrella	NA20858 assembly generated by the Human Pangenome Reference Consortium.	NA20858	Homo sapiens
Assembly of HG00099	Umbrella	HG00099 assembly generated by the Human Pangenome Reference Consortium.	HG00099	Homo sapiens
Assembly of HG00280	Umbrella	HG00280 assembly generated by the Human Pangenome Reference Consortium.	HG00280	Homo sapiens
Assembly of NA20752	Umbrella	NA20752 assembly generated by the Human Pangenome Reference Consortium.	NA20752	Homo sapiens
Assembly of NA20905	Umbrella	NA20905 assembly generated by the Human Pangenome Reference Consortium.	NA20905	Homo sapiens
Assembly of HG01530	Umbrella	HG01530 assembly generated by the Human Pangenome Reference Consortium.	HG01530	Homo sapiens
Assembly of HG01784	Umbrella	HG01784 assembly generated by the Human Pangenome Reference Consortium.	HG01784	Homo sapiens
Assembly of NA20799	Umbrella	NA20799 assembly generated by the Human Pangenome Reference Consortium.	NA20799	Homo sapiens
Assembly of HG03742	Umbrella	HG03742 assembly generated by the Human Pangenome Reference Consortium.	HG03742	Homo sapiens
Assembly of NA19043	Umbrella	NA19043 assembly generated by the Human Pangenome Reference Consortium.	NA19043	Homo sapiens
Assembly of NA19909	Umbrella	NA19909 assembly generated by the Human Pangenome Reference Consortium.	NA19909	Homo sapiens
Assembly of NA20282	Umbrella	NA20282 assembly generated by the Human Pangenome Reference Consortium.	NA20282	Homo sapiens
Assembly of NA20346	Umbrella	NA20346 assembly generated by the Human Pangenome Reference Consortium.	NA20346	Homo sapiens
