filename	filetype	sample_ID	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	md5sum	file_size	data_type	shear_method	size_selection	DeepConsensus_version	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	notes
HG00099.m54329U_220825_174247.dc.q20.fastq.gz	fastq	HG00099	PG00099_1.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00099.m54329U_220827_143814.dc.q20.fastq.gz	fastq	HG00099	PG00099_2.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00099.m54329U_220829_095708.dc.q20.fastq.gz	fastq	HG00099	PG00099_2.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00140.m64043_220728_173215.dc.q20.fastq.gz	fastq	HG00140	HG00140_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00140.m64136_220715_182717.dc.q20.fastq.gz	fastq	HG00140	HG00140_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00140.m64136_220717_152248.dc.q20.fastq.gz	fastq	HG00140	HG00140_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00140.m64136_220719_122056.dc.q20.fastq.gz	fastq	HG00140	HG00140_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00280.m54329U_220901_221341.dc.q20.fastq.gz	fastq	HG00280	PG00280.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00280.m64076_220831_191646.dc.q20.fastq.gz	fastq	HG00280	PG00280.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00280.m64457e_220825_195635.dc.q20.fastq.gz	fastq	HG00280	PG00280.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
