familyID	Sex	Subpopulation	Superpopulation	Production Year	collection_date	Sample	Accession
BB05	female	ACB	AFR	YR1	2019-11-25	HG01891	SAMN17861236
BB55	male	ACB	AFR	YR1	2019-11-25	HG02486	SAMN17861238
BB68	female	ACB	AFR	YR1	2019-11-25	HG02559	SAMN17861239
BB21	female	ACB	AFR	YR1	2019-11-25	HG02257	SAMN17861237
CLM31	male	CLM	AMR	YR1	2019-11-25	HG01358	SAMN17861234
CLM02	female	CLM	AMR	YR1	2019-11-25	HG01123	SAMN17861232
CLM32	female	CLM	AMR	YR1	2019-11-25	HG01361	SAMN17861235
CLM16	male	CLM	AMR	YR1	2019-11-25	HG01258	SAMN17861233
NG107	female	ESN	AFR	YR1	2019-12-17	HG03516	SAMN17861241
GB21	male	GWD	AFR	YR1	2019-12-17	HG02572	SAMN17861240
GB89	female	GWD	AFR	YR1	2019-12-17	HG02886	SAMN17861667
GB50	male	GWD	AFR	YR1	2019-12-17	HG02717	SAMN17861666
GB33	female	GWD	AFR	YR1	2019-12-17	HG02630	SAMN17861665
GB31	female	GWD	AFR	YR1	2019-12-17	HG02622	SAMN17861664
GB125	female	GWD	AFR	YR1	2019-12-17	HG03540	SAMN17861670
SL50	female	MSL	AFR	YR1	2019-12-17	HG03453	SAMN17861668
SL72	male	MSL	AFR	YR1	2019-12-17	HG03579	SAMN17861671
SL56i	male	MSL	AFR	YR1	2019-12-17	HG03471	SAMN17861669
PEL26	female	PEL	AMR	YR1	2020-01-14	HG01978	SAMN17861662
PEL011	male	PEL	AMR	YR1	2020-01-14	HG01928	SAMN17861660
PEL39	female	PEL	AMR	YR1	2020-01-14	HG02148	SAMN17861663
PEL019	male	PEL	AMR	YR1	2020-01-14	HG01952	SAMN17861661
PR25	male	PUR	AMR	YR1	2020-01-14	HG01106	SAMN17861658
PR36	female	PUR	AMR	YR1	2020-01-14	HG01175	SAMN17861659
PR09	female	PUR	AMR	YR1	2020-01-14	HG00741	SAMN17861656
PR06	female	PUR	AMR	YR1	2020-01-14	HG00735	SAMN17861655
PR17	female	PUR	AMR	YR1	2020-01-14	HG01071	SAMN17861657
SH066	male	CHS	EAS	YR1	2020-03-24	HG00621	SAMN17861653
SH012	female	CHS	EAS	YR1	2020-03-24	HG00438	SAMN17861652
SH079	male	CHS	EAS	YR1	2020-03-24	HG00673	SAMN17861654
SH007	female	CHS	EAS	YR2		HG00423	SAMN26237490
VN050	male	KHV	EAS	YR2	2020-03-24	HG02027	SAMN26237503
VN069	male	KHV	EAS	YR2	2020-03-24	HG02083	SAMN26237504
VN090	female	KHV	EAS	YR2	2020-03-24	HG02523	SAMN26237506
VN080	male	KHV	EAS	YR2	2020-12-21	HG02132	SAMN26267382
VN081	male	KHV	EAS	YR2	2020-12-21	HG02135	SAMN26267392
VN066	male	KHV	EAS	YR2	2020-11-04	HG02074	SAMN26267381
VN065	male	KHV	EAS	YR2	2020-11-04	HG02071	SAMN26267380
BD42	male	BEB	SAS	YR2	2020-11-04	HG03942	SAMN26267387
BD62	male	BEB	SAS	YR2	2020-11-04	HG04187	SAMN37706911
BD18	female	BEB	SAS	YR2	2020-11-04	HG03804	SAMN37706907
BD53	male	BEB	SAS	YR2	2020-11-04	HG04160	SAMN37706910
BD52	male	BEB	SAS	YR2	2020-11-04	HG04157	SAMN37706909
BD22	female	BEB	SAS	YR2	2020-11-04	HG03816	SAMN37706908
PK62	male	PJL	SAS	YR2	2020-11-09	HG03710	SAMN26237513
PK09	male	PJL	SAS	YR2	2020-11-09	HG02602	SAMN26237507
PK53	male	PJL	SAS	YR2	2020-11-09	HG03654	SAMN26237511
PK21	male	PJL	SAS	YR2	2020-11-09	HG02698	SAMN26237509
ST232	male	STU	SAS	YR2	2020-11-09	HG04228	SAMN26267391
ST016	male	STU	SAS	YR2	2020-11-09	HG03688	SAMN26267385
ST006	male	STU	SAS	YR2	2020-11-09	HG04204	SAMN26267390
