sample_ID	filename	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	ccs_algorithm	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	notes	total_reads	total_bp	total_Gbp	min	max	quartile_25	quartile_50	quartile_75	N25	N50	N75
HG01891	"['m54329U_200124_193652.ccs.bam' 'm54329U_200127_180554.ccs.bam'
 'm54329U_200129_001928.ccs.bam' 'm54329U_200130_064539.ccs.bam']"	HG01891.HiFiEx_f2	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 18kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	6767965	115126112334	115.12	46.0	44384.75	15781.75	16865.0	18096.0	15930.0	17039.5	18287.75
HG01123	"['m54329U_200201_051510.ccs.bam' 'm54329U_200203_181235.ccs.bam'
 'm54329U_200205_002609.ccs.bam' 'm54329U_200206_215926.ccs.bam']"	HG01123_HiFiEx_f2	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 17kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	7155201	119417336179	119.4	46.0	43082.25	14998.75	16470.25	18144.0	15302.25	16815.5	18543.0
HG02559	"['m54329U_200211_192235.ccs.bam' 'm54329U_200217_055345.ccs.bam'
 'm54329U_200219_181523.ccs.bam' 'm64076_200215_021919.ccs.bam'
 'm64076_200217_055339.ccs.bam']"	"['HG02559.HiFiEx_b6' 'HG02559.HiFiEx_f2' 'HG02559.HiFiEx_f2'
 'HG02559.HiFiEx_f2' 'HG02559.HiFiEx_f2']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu	[nan nan nan nan nan]	6319123	128540762559	128.54	46.2	47600.4	18524.8	19951.2	21644.2	18764.8	20247.0	22029.4
HG02486	"['m54329U_200215_021808.ccs.bam' 'm54329U_200313_161638.ccs.bam'
 'm54329U_200315_215927.ccs.bam' 'm54329U_200317_041347.ccs.bam'
 'm54329U_200320_213710.ccs.bam' 'm64076_200211_192227.ccs.bam']"	"['HG02486.HiFiEx_f2' 'HG02486.HiFiEx2_f2' 'HG02486.HiFiEx2_f2'
 'HG02486.HiFiEx2_f2' 'HG02486.HiFiEx2_f2' 'HG02486.HiFiEx_b6']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 22kb fractionated gDNA'
 'HiFi sequencing of 18kb fractionated gDNA'
 'HiFi sequencing of 18kb fractionated gDNA'
 'HiFi sequencing of 18kb fractionated gDNA'
 'HiFi sequencing of 18kb fractionated gDNA'
 'HiFi sequencing of 19kb fractionated gDNA']"	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu	"[nan 'second library prep' 'second library prep' 'second library prep'
 'second library prep' nan]"	6671935	123904875583	123.92	46.5	45554.5	17439.5	18733.0	20268.83333333333	17658.5	19000.0	20602.33333333333
HG01361	"['m54329U_200306_185930.ccs.bam' 'm54329U_200308_194417.ccs.bam'
 'm54329U_200310_015838.ccs.bam' 'm54329U_200311_082605.ccs.bam'
 'm64076_200221_234426.ccs.bam']"	"['HG01361.HiFiEx_f2' 'HG01361.HiFiEx_f2' 'HG01361.HiFiEx_f2'
 'HG01361.HiFiEx_f2' 'HG01361.HiFiEx_f6']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 20kb fractionated gDNA'
 'HiFi sequencing of 20kb fractionated gDNA'
 'HiFi sequencing of 20kb fractionated gDNA'
 'HiFi sequencing of 20kb fractionated gDNA'
 'HiFi sequencing of 21kb fractionated gDNA']"	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu	[nan nan nan nan nan]	6505566	129995062425	129.99	46.2	48381.2	18101.6	19655.2	21501.2	18408.2	20016.2	21955.6
HG02572	"['m54329U_200319_002813.ccs.bam' 'm64076_200313_161705.ccs.bam'
 'm64076_200317_041201.ccs.bam' 'm64076_200318_103811.ccs.bam']"	HG02572.HiFiEx_f2	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	4809279	95890712247	95.88	46.0	50069.5	17863.0	19549.75	21641.75	18201.0	19982.25	22197.25
HG03516	"['m54329U_200610_234222.ccs.bam' 'm54329U_200612_200443.ccs.bam'
 'm54329U_200614_021746.ccs.bam' 'm54329U_200615_084313.ccs.bam']"	HG03516_HiFiEx_mix	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	5882729	110246118135	110.25	48.25	50361.5	16609.25	18233.25	20302.75	16953.5	18691.0	20969.5
HG04204	"['m54329U_210507_224951-bc1003_BAK8A_OA.hifi_reads.bam'
 'm54329U_210514_222517-bc1003_BAK8A_OA.hifi_reads.bam'
 'm54329U_210517_210109-bc1003_BAK8A_OA.hifi_reads.bam'
 'm54329U_210519_065152-bc1003_BAK8A_OA.hifi_reads.bam'
 'm54329U_210520_213459-bc1003_BAK8A_OA.hifi_reads.bam']"	HG04204.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan nan]	6135891	119796101745	119.78	216.4	53855.2	16524.8	18764.8	21788.6	17054.6	19586.2	22817.8
HG04228	"['m54329U_210507_224951-bc1008_BAK8A_OA.hifi_reads.bam'
 'm54329U_210725_100455.hifi_reads.bam'
 'm64076_210617_050849.hifi_reads.bam'
 'm64076_210618_160639.hifi_reads.bam'
 'm64076_210620_030428.hifi_reads.bam']"	"['HG04228a.HFSS' 'HG04228.HFSS' 'HG04228.HFSS' 'HG04228.HFSS'
 'HG04228.HFSS']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 24kb fractionated gDNA'
 'HiFi sequencing of 19kb fractionated gDNA'
 'HiFi sequencing of 19kb fractionated gDNA'
 'HiFi sequencing of 19kb fractionated gDNA'
 'HiFi sequencing of 19kb fractionated gDNA']"	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan nan]	6751959	129757037241	129.76	183.2	54908.6	16278.6	18639.0	21746.4	16880.8	19530.4	22845.0
HG02135	"['m54329U_210507_224951-bc1009_BAK8A_OA.hifi_reads.bam'
 'm54329U_210615_233707-bc1009_BAK8A_OA.hifi_reads.bam'
 'm54329U_210715_074913.hifi_reads.bam'
 'm64076_210529_081414.hifi_reads.bam'
 'm64076_210602_215048.hifi_reads.bam'
 'm64076_210719_222908.hifi_reads.bam']"	"['HG02135a.HFSS' 'HG02135a.HFSS' 'HG02135.HFSS3' 'HG02135.HFSS'
 'HG02135.HFSS' 'HG02135.HFSS3']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 20kb fractionated gDNA'
 'HiFi sequencing of 20kb fractionated gDNA'
 'HiFi sequencing of 24kb fractionated gDNA'
 'HiFi sequencing of 21kb fractionated gDNA'
 'HiFi sequencing of 21kb fractionated gDNA'
 'HiFi sequencing of 24kb fractionated gDNA']"	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan nan nan]	6327857	111850231537	111.86	333.3333333333333	51530.16666666666	14804.166666666666	17012.5	19924.83333333333	15408.5	17877.166666666668	21012.0
HG02074	"['m54329U_210507_224951-bc1010_BAK8A_OA.hifi_reads.bam'
 'm54329U_210626_074001.hifi_reads.bam'
 'm54329U_210630_194237.hifi_reads.bam'
 'm64076_210630_101034.hifi_reads.bam']"	['HG02074a.HFSS' 'HG02074.HFSS' 'HG02074.HFSS' 'HG02074.HFSS']	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 20kb fractionated gDNA'
 'HiFi sequencing of 24kb fractionated gDNA'
 'HiFi sequencing of 24kb fractionated gDNA'
 'HiFi sequencing of 24kb fractionated gDNA']"	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	5027941	97503544990	97.5	94.25	50413.25	16439.0	18391.25	21167.75	16857.75	19074.5	22102.25
HG02071	"['m54329U_210507_224951-bc1011_BAK8A_OA.hifi_reads.bam'
 'm64076_210604_225751.hifi_reads.bam'
 'm64076_210607_215041.hifi_reads.bam'
 'm64076_210609_084637.hifi_reads.bam']"	['HG02071a.HFSS' 'HG02071.HFSS' 'HG02071.HFSS' 'HG02071.HFSS']	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 22kb fractionated gDNA'
 'HiFi sequencing of 19kb fractionated gDNA'
 'HiFi sequencing of 19kb fractionated gDNA'
 'HiFi sequencing of 19kb fractionated gDNA']"	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	5270953	100114034027	100.12	256.25	51732.25	16381.0	18634.25	21630.25	16923.75	19452.25	22652.5
HG03942	"['m54329U_210507_224951-bc1017_BAK8B_OA.hifi_reads.bam'
 'm54329U_210613_071322.hifi_reads.bam'
 'm64076_210606_095247.hifi_reads.bam'
 'm64076_210612_093800.hifi_reads.bam'
 'm64076_210615_181342.hifi_reads.bam']"	"['HG03942a.HFSS' 'HG03942.HFSS' 'HG03942.HFSS' 'HG03942.HFSS'
 'HG03942.HFSS']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 21kb fractionated gDNA'
 'HiFi sequencing of 18kb fractionated gDNA'
 'HiFi sequencing of 18kb fractionated gDNA'
 'HiFi sequencing of 18kb fractionated gDNA'
 'HiFi sequencing of 18kb fractionated gDNA']"	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan nan]	5734437	107579588694	107.58	96.6	52686.0	16126.6	18300.8	21171.0	16646.2	19069.0	22123.8
HG03927	"['m54329U_210522_083046.hifi_reads.bam'
 'm64076_210514_222349.hifi_reads.bam'
 'm64076_210517_210115.hifi_reads.bam'
 'm64076_210519_075634.hifi_reads.bam']"	HG03927a.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 17kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	7297013	114153128902	114.15	85.5	50539.75	12984.5	15087.5	17805.75	13617.75	15941.0	18874.75
HG00642	"['m54329U_210524_174516.hifi_reads.bam'
 'm64076_210516_091844.hifi_reads.bam'
 'm64076_210520_213355.hifi_reads.bam'
 'm64076_210522_082905.hifi_reads.bam']"	HG00642.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	6464738	127764927422	127.76	82.75	53740.25	16436.75	19046.5	22343.75	17163.0	20051.25	23545.25
HG02647	"['m54329U_210604_200442.hifi_reads.bam'
 'm64076_210527_231639.hifi_reads.bam'
 'm64076_210530_192034.hifi_reads.bam'
 'm64076_210601_061523.hifi_reads.bam']"	HG02647.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 19kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	7228959	123218319538	123.22	218.0	51670.75	13905.5	16549.0	19707.75	14828.75	17649.75	20955.75
HG03688	"['m54329U_210608_221930.hifi_reads.bam'
 'm54329U_210611_221457.hifi_reads.bam'
 'm54329U_210618_202343.hifi_reads.bam'
 'm64076_210610_224207.hifi_reads.bam']"	HG03688.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 18kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	6381251	112410718174	112.41	315.75	50022.0	15243.25	16979.5	19408.5	15593.0	17550.25	20156.5
HG04199	"['m54329U_210614_155303.hifi_reads.bam'
 'm54329U_210620_071842.hifi_reads.bam'
 'm54329U_210621_233920.hifi_reads.bam'
 'm64076_210613_183806.hifi_reads.bam']"	HG04199.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	5309016	99041684653	99.03	466.25	59740.75	14869.75	17838.25	21505.0	15936.75	19198.0	23145.5
HG01346	"['m54329U_210624_221223.hifi_reads.bam'
 'm54329U_210629_024631.hifi_reads.bam'
 'm64076_210526_105450.hifi_reads.bam'
 'm64076_210621_234241.hifi_reads.bam']"	['HG01346.HFSS' 'HG01346.HFSS' 'HG01346_f345' 'HG01346.HFSS']	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 24kb fractionated gDNA'
 'HiFi sequencing of 24kb fractionated gDNA'
 'HiFi sequencing of 19kb fractionated gDNA'
 'HiFi sequencing of 24kb fractionated gDNA']"	unaligned reads	Megaruptor 3	['PippinHT' 'PippinHT' 'SageELF' 'PippinHT']	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	6808126	127013100444	127.01999999999998	85.5	54939.5	15900.5	18135.5	20711.0	16386.0	18812.0	21543.5
HG02132	"['m54329U_210627_170630.hifi_reads.bam'
 'm54329U_210704_040110.hifi_reads.bam'
 'm54329U_210705_145805.hifi_reads.bam'
 'm64076_210525_000003.hifi_reads.bam']"	['HG02132.HFSS' 'HG02132.HFSS' 'HG02132.HFSS' 'HG02132_f345']	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 26kb fractionated gDNA'
 'HiFi sequencing of 26kb fractionated gDNA'
 'HiFi sequencing of 26kb fractionated gDNA'
 'HiFi sequencing of 21kb fractionated gDNA']"	unaligned reads	Megaruptor 3	['PippinHT' 'PippinHT' 'PippinHT' 'SageELF']	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	6162111	122478474934	122.48	85.75	56754.75	16886.0	19023.75	22016.0	17332.25	19895.0	22949.75
HG02300	"['m54329U_210702_182525.hifi_reads.bam'
 'm54329U_210710_123004.hifi_reads.bam'
 'm54329U_210711_215946.hifi_reads.bam']"	HG02300.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	5272624	93221719014	93.22	193.33333333333331	53195.333333333336	14646.666666666666	16956.0	20029.666666666668	15299.333333333334	17910.333333333332	21256.0
HG02683	"['m54329U_210707_171722.hifi_reads.bam'
 'm54329U_210709_030038.hifi_reads.bam'
 'm64076_210703_103644.hifi_reads.bam']"	HG02683.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	5406261	100957262954	100.95	85.66666666666667	54530.333333333336	15757.0	17932.666666666668	20951.33333333333	16302.333333333334	18783.0	22078.33333333333
HG01884	"['m54329U_210713_205453.hifi_reads.bam'
 'm54329U_210716_214728.hifi_reads.bam'
 'm54329U_210718_084331.hifi_reads.bam']"	HG01884.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 18kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	5778076	104752367203	104.75	465.6666666666667	56150.66666666666	15381.666666666666	17374.666666666668	20191.0	15845.0	18132.666666666668	21208.666666666668
HG02293	"['m54329U_210719_222842.hifi_reads.bam'
 'm54329U_210721_092510.hifi_reads.bam'
 'm64076_210716_220011.hifi_reads.bam']"	HG02293.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	5075161	96623199276	96.63	178.33333333333334	56800.333333333336	16142.666666666666	18223.33333333333	21186.666666666668	16619.666666666668	19018.33333333333	22276.33333333333
HG03704	"['m54329U_211105_213234-bc1001.5mc.hifi_reads.bam'
 'm54329U_211111_222027-bc1001.5mc.hifi_reads.bam'
 'm54329U_220203_054640-bc1001.5mc.hifi_reads.bam'
 'm54329U_220203_054640-bc1018.5mc.hifi_reads.bam'
 'm54329U_220207_224702-bc1001.5mc.hifi_reads.bam'
 'm64076_220216_013707-bc1001.5mc.hifi_reads.bam']"	"['HG03704_SRE.HFSS' 'HG03704_SRE.HFSS' 'HG03704.HFSS3' 'HG03704.HFSS4'
 'HG03704.HFSS3' 'HG03704.HFSS3']"	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 26kb fractionated gDNA'
 'HiFi sequencing of 26kb fractionated gDNA'
 'HiFi sequencing of 25kb fractionated gDNA'
 'HiFi sequencing of 24kb fractionated gDNA'
 'HiFi sequencing of 25kb fractionated gDNA'
 'HiFi sequencing of 25kb fractionated gDNA']"	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan nan nan]	5239552	105901611732	105.9	246.16666666666663	61261.833333333336	16546.5	19115.83333333333	22637.33333333333	17249.833333333332	20210.166666666668	24085.0
HG02735	"['m54329U_211109_002533-bc1002.5mc.hifi_reads.bam'
 'm54329U_211204_121716-bc1002.5mc.hifi_reads.bam'
 'm54329U_211209_115915-bc1002.5mc.hifi_reads.bam'
 'm64076_211209_102926-bc1002.5mc.hifi_reads.bam']"	['HG02735_SRE.HFSS' 'HG02735.HFSS2' 'HG02735.HFSS2' 'HG02735.HFSS2']	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 23kb fractionated gDNA'
 'HiFi sequencing of 25kb fractionated gDNA'
 'HiFi sequencing of 25kb fractionated gDNA'
 'HiFi sequencing of 25kb fractionated gDNA']"	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	5760726	112782740706	112.78	71.75	59024.75	16348.75	18693.5	21946.75	16952.25	19641.0	23209.25
HG01074	"['m54329U_211110_112322-bc1008.5mc.hifi_reads.bam'
 'm54329U_211208_005551-bc1008.5mc.hifi_reads.bam'
 'm54329U_211211_014820-bc1008.5mc.hifi_reads.bam'
 'm54329U_211212_111219-bc1008.5mc.hifi_reads.bam']"	['HG01074_SRE.HFSS' 'HG01074.HFSS2' 'HG01074.HFSS2' 'HG01074.HFSS2']	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 25kb fractionated gDNA'
 'HiFi sequencing of 23kb fractionated gDNA'
 'HiFi sequencing of 23kb fractionated gDNA'
 'HiFi sequencing of 23kb fractionated gDNA']"	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	6476627	125207700815	125.2	147.5	58717.0	16251.5	18693.75	22083.0	16903.0	19721.75	23451.5
