ONT-filename	ONT-sample_ID	ONT-path	ONT-filetype	ONT-library_ID	ONT-library_strategy	ONT-library_source	ONT-library_selection	ONT-library_layout	ONT-platform	ONT-instrument_model	ONT-design_description	ONT-data_type	ONT-shear_method	ONT-size_selection	ONT-seq_kit	ONT-basecaller	ONT-basecaller_version	ONT-basecaller_model	ONT-generator_facility	ONT-generator_contact	ONT-read_N50	ONT-coverage	ONT-100kb+	ONT-200kb+	ONT-300kb+	ONT-400kb+	ONT-500kb+	ONT-1Mb+	ONT-whales	HiFi-sample_ID	HiFi-filename	HiFi-library_ID	HiFi-library_strategy	HiFi-library_source	HiFi-library_selection	HiFi-library_layout	HiFi-platform	HiFi-instrument_model	HiFi-design_description	HiFi-data_type	HiFi-shear_method	HiFi-size_selection	HiFi-ccs_algorithm	HiFi-polymerase_version	HiFi-seq_plate_chemistry_version	HiFi-generator_facility	HiFi-generator_contact	HiFi-notes	HiFi-total_reads	HiFi-total_bp	HiFi-total_Gbp	HiFi-min	HiFi-max	HiFi-quartile_25	HiFi-quartile_50	HiFi-quartile_75	HiFi-N25	HiFi-N50	HiFi-N75	DEEPCONSENSUS-filename	DEEPCONSENSUS-sample_ID	DEEPCONSENSUS-library_ID	DEEPCONSENSUS-library_strategy	DEEPCONSENSUS-library_source	DEEPCONSENSUS-library_selection	DEEPCONSENSUS-library_layout	DEEPCONSENSUS-platform	DEEPCONSENSUS-instrument_model	DEEPCONSENSUS-design_description	DEEPCONSENSUS-data_type	DEEPCONSENSUS-shear_method	DEEPCONSENSUS-size_selection	DEEPCONSENSUS-DeepConsensus_version	DEEPCONSENSUS-polymerase_version	DEEPCONSENSUS-seq_plate_chemistry_version	DEEPCONSENSUS-generator_facility	DEEPCONSENSUS-generator_contact	DEEPCONSENSUS-total_reads	DEEPCONSENSUS-total_bp	DEEPCONSENSUS-total_Gbp	DEEPCONSENSUS-min	DEEPCONSENSUS-max	DEEPCONSENSUS-quartile_25	DEEPCONSENSUS-quartile_50	DEEPCONSENSUS-quartile_75	DEEPCONSENSUS-N25	DEEPCONSENSUS-N50	DEEPCONSENSUS-N75
"['02_08_22_R941_HG00558_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_08_22_R941_HG00558_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_08_22_R941_HG00558_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG00558	"['s3://human-pangenomics/working/HPRC/HG00558/raw_data/nanopore/guppy_6/02_08_22_R941_HG00558_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00558/raw_data/nanopore/guppy_6/02_08_22_R941_HG00558_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00558/raw_data/nanopore/guppy_6/02_08_22_R941_HG00558_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['02_08_22_R941_HG00558_1' '02_08_22_R941_HG00558_2'
 '02_08_22_R941_HG00558_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	98073.0	54.43	26.69	7.3	1.6	0.4499999999999999	0.18	0.0	35.0																																																											
"['02_08_22_R941_HG01252_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_08_22_R941_HG01252_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_08_22_R941_HG01252_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG01252	"['s3://human-pangenomics/working/HPRC/HG01252/raw_data/nanopore/guppy_6/02_08_22_R941_HG01252_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01252/raw_data/nanopore/guppy_6/02_08_22_R941_HG01252_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01252/raw_data/nanopore/guppy_6/02_08_22_R941_HG01252_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['02_08_22_R941_HG01252_1' '02_08_22_R941_HG01252_2'
 '02_08_22_R941_HG01252_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	79697.66666666667	47.53	17.45	3.0200000000000005	0.66	0.18	0.07	0.0	7.0																																																											
"['02_08_22_R941_HG02258_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_08_22_R941_HG02258_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_08_22_R941_HG02258_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_08_22_R941_HG02258_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02258	"['s3://human-pangenomics/working/HPRC/HG02258/raw_data/nanopore/guppy_6/02_08_22_R941_HG02258_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02258/raw_data/nanopore/guppy_6/02_08_22_R941_HG02258_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02258/raw_data/nanopore/guppy_6/02_08_22_R941_HG02258_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02258/raw_data/nanopore/guppy_6/02_08_22_R941_HG02258_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['02_08_22_R941_HG02258_1' '02_08_22_R941_HG02258_2'
 '02_08_22_R941_HG02258_3' '02_08_22_R941_HG02258_4']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	98838.5	49.73	25.01	6.62	1.26	0.26	0.08	0.0	5.0																																																											
"['02_08_22_R941_HG03834_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_08_22_R941_HG03834_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_08_22_R941_HG03834_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03834	"['s3://human-pangenomics/working/HPRC/HG03834/raw_data/nanopore/guppy_6/02_08_22_R941_HG03834_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03834/raw_data/nanopore/guppy_6/02_08_22_R941_HG03834_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03834/raw_data/nanopore/guppy_6/02_08_22_R941_HG03834_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	[nan nan nan]	"['02_08_22_R941_HG03834_1' '02_08_22_R941_HG03834_2'
 '02_08_22_R941_HG03834_3']"	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	107647.33333333331	48.8	26.33	8.97	3.23	1.35	0.64	0.03	99.0																																																											
"['02_15_22_R941_HG00658_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_15_22_R941_HG00658_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_15_22_R941_HG00658_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG00658	"['s3://human-pangenomics/working/HPRC/HG00658/raw_data/nanopore/guppy_6/02_15_22_R941_HG00658_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00658/raw_data/nanopore/guppy_6/02_15_22_R941_HG00658_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00658/raw_data/nanopore/guppy_6/02_15_22_R941_HG00658_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['02_15_22_R941_HG00658_1' '02_15_22_R941_HG00658_2'
 '02_15_22_R941_HG00658_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	90313.33333333331	68.25	30.8	8.370000000000001	1.85	0.49	0.18	0.0	16.0																																																											
"['02_15_22_R941_HG02514_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_15_22_R941_HG02514_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_15_22_R941_HG02514_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02514	"['s3://human-pangenomics/working/HPRC/HG02514/raw_data/nanopore/guppy_6/02_15_22_R941_HG02514_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02514/raw_data/nanopore/guppy_6/02_15_22_R941_HG02514_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02514/raw_data/nanopore/guppy_6/02_15_22_R941_HG02514_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['02_15_22_R941_HG02514_1' '02_15_22_R941_HG02514_2'
 '02_15_22_R941_HG02514_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	94578.0	64.07	30.3	8.94	2.13	0.49	0.13	0.0	10.0																																																											
"['02_15_22_R941_HG03041_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_15_22_R941_HG03041_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_15_22_R941_HG03041_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03041	"['s3://human-pangenomics/working/HPRC/HG03041/raw_data/nanopore/guppy_6/02_15_22_R941_HG03041_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03041/raw_data/nanopore/guppy_6/02_15_22_R941_HG03041_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03041/raw_data/nanopore/guppy_6/02_15_22_R941_HG03041_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	[nan nan nan]	"['02_15_22_R941_HG03041_1' '02_15_22_R941_HG03041_2'
 '02_15_22_R941_HG03041_3']"	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	92468.0	59.41	27.28	7.89	2.09	0.65	0.25	0.01	32.0																																																											
"['02_15_22_R941_HG03050_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_15_22_R941_HG03050_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_15_22_R941_HG03050_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03050	"['s3://human-pangenomics/working/HPRC/HG03050/raw_data/nanopore/guppy_6/02_15_22_R941_HG03050_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03050/raw_data/nanopore/guppy_6/02_15_22_R941_HG03050_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03050/raw_data/nanopore/guppy_6/02_15_22_R941_HG03050_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	[nan nan nan]	"['02_15_22_R941_HG03050_1' '02_15_22_R941_HG03050_2'
 '02_15_22_R941_HG03050_3']"	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	92270.66666666669	60.55	27.88	7.14	1.54	0.4	0.13	0.0	15.0																																																											
"['02_15_22_R941_HG03239_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_15_22_R941_HG03239_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_15_22_R941_HG03239_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03239	"['s3://human-pangenomics/working/HPRC/HG03239/raw_data/nanopore/guppy_6/02_15_22_R941_HG03239_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03239/raw_data/nanopore/guppy_6/02_15_22_R941_HG03239_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03239/raw_data/nanopore/guppy_6/02_15_22_R941_HG03239_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	[nan nan nan]	"['02_15_22_R941_HG03239_1' '02_15_22_R941_HG03239_2'
 '02_15_22_R941_HG03239_3']"	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	82147.0	64.02	25.48	5.39	1.03	0.29	0.12	0.0	16.0																																																											
"['02_17_22_R941_HG01074_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_17_22_R941_HG01074_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '02_17_22_R941_HG01074_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG01074	"['s3://human-pangenomics/working/HPRC/HG01074/raw_data/nanopore/guppy_6/02_17_22_R941_HG01074_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01074/raw_data/nanopore/guppy_6/02_17_22_R941_HG01074_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01074/raw_data/nanopore/guppy_6/02_17_22_R941_HG01074_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['02_17_22_R941_HG01074_1' '02_17_22_R941_HG01074_2'
 '02_17_22_R941_HG01074_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	91109.66666666669	77.21000000000001	35.01	9.3	2.05	0.6	0.2299999999999999	0.01	32.0																																																											
