ChildID	N	Sex	Subpopulation	Superpopulation	Production Year
HG01891	BB05	female	ACB	AFR	YR1
HG02486	BB55	male	ACB	AFR	YR1
HG02559	BB68	female	ACB	AFR	YR1
HG01888	BB02	male	ACB	AFR	Fail Karyo, StrandSeq only
HG02257	BB21	female	ACB	AFR	YR1
HG01138	CLM08	male	CLM	AMR	Fail Karyo, StrandSeq only
HG01358	CLM31	male	CLM	AMR	YR1
HG01123	CLM02	female	CLM	AMR	YR1
HG01361	CLM32	female	CLM	AMR	YR1
HG01258	CLM16	male	CLM	AMR	YR1
HG03516	NG107	female	ESN	AFR	YR1
HG02572	GB21	male	GWD	AFR	YR1
HG02886	GB89	female	GWD	AFR	YR1
HG02717	GB50	male	GWD	AFR	YR1
HG02630	GB33	female	GWD	AFR	YR1
HG02622	GB31	female	GWD	AFR	YR1
HG03540	GB125	female	GWD	AFR	YR1
HG03453	SL50	female	MSL	AFR	YR1
HG03579	SL72	male	MSL	AFR	YR1
HG03471	SL56i	male	MSL	AFR	YR1
HG01978	PEL26	female	PEL	AMR	YR1
HG01928	PEL011	male	PEL	AMR	YR1
HG02148	PEL39	female	PEL	AMR	YR1
HG01998	PEL31	male	PEL	AMR	Fail Karyo
HG01952	PEL019	male	PEL	AMR	YR1
HG01106	PR25	male	PUR	AMR	YR1
HG01175	PR36	female	PUR	AMR	YR1
HG00741	PR09	female	PUR	AMR	YR1
HG00735	PR06	female	PUR	AMR	YR1
HG01071	PR17	female	PUR	AMR	YR1
HG00480	SH026	male	CHS	EAS	Fail Karyo
HG00621	SH066	male	CHS	EAS	YR1
HG00438	SH012	female	CHS	EAS	YR1
HG00673	SH079	male	CHS	EAS	YR1
HG00423	SH007	female	CHS	EAS	YR2
HG00411 	SH003	male	CHS	EAS	no Broad Illumina
HG00730	SH098	female	CHS	EAS	Fail Karyo, no Broad Illumina
HG02027	VN050	male	KHV	EAS	YR2
HG02083	VN069	male	KHV	EAS	YR2
HG02523	VN090	female	KHV	EAS	YR2
HG02132	VN080	male	KHV	EAS	YR2
HG02135	VN081	male	KHV	EAS	YR2
HG02074	VN066	male	KHV	EAS	YR2
HG02071	VN065	male	KHV	EAS	YR2
HG03942	BD42	male	BEB	SAS	YR2
