gs_path	bytes	gigabytes	cost	price_tier
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00116/analysis/HG00116.final.cram	22880875699	21.309476	$2.56	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00118/analysis/HG00118.final.cram	16505691043	15.372122	$1.84	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00119/analysis/HG00119.final.cram	17128902668	15.952533	$1.91	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00120/analysis/HG00120.final.cram	17910544333	16.680494	$2.00	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00150/analysis/HG00150.final.cram	18188693754	16.939541	$2.03	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00234/analysis/HG00234.final.cram	18541702862	17.268306	$2.07	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00236/analysis/HG00236.final.cram	20274292277	18.881906	$2.27	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00245/analysis/HG00245.final.cram	22618101082	21.064748	$2.53	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00252/analysis/HG00252.final.cram	16093366211	14.988115	$1.80	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00254/analysis/HG00254.final.cram	16340225468	15.218020	$1.83	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00355/analysis/HG00355.final.cram	22262336975	20.733416	$2.49	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00375/analysis/HG00375.final.cram	18848189597	17.553744	$2.11	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00580/analysis/HG00580.final.cram	16438237855	15.309302	$1.84	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00584/analysis/HG00584.final.cram	20119434358	18.737683	$2.25	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00689/analysis/HG00689.final.cram	26653299502	24.822819	$2.98	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG01067/analysis/HG01067.final.cram	16708876796	15.561354	$1.87	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG01136/analysis/HG01136.final.cram	16514416982	15.380249	$1.85	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG01176/analysis/HG01176.final.cram	21363707394	19.896502	$2.39	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG01204/analysis/HG01204.final.cram	13899557481	12.944971	$1.55	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG01374/analysis/HG01374.final.cram	16167178370	15.056858	$1.81	tier-1
