entity:qc_result_sample_id	cram	freemix	mean_coverage	median_absolute_deviation	median_insert_size	pct_10x	pct_20x	pct_30x	pct_chimeras	percent_duplication	q20_bases	qc_result_sample	qc_status	read1_pf_mismatch_rate	read2_pf_mismatch_rate
HG00096	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00096/analysis/HG00096.final.cram	1.46e-06	34.663532000000004	66	423	0.9931459999999999	0.978835	0.756498	0.006912000000000001	0.09668600000000001	112905000000.0	HG00096	PASS	0.003927	0.0041270000000000005
HG00097	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00097/analysis/HG00097.final.cram	6.13e-09	33.295418	68	434	0.9931840000000001	0.973333	0.6874640000000001	0.005988	0.11010199999999999	111607000000.0	HG00097	PASS	0.003677	0.0043170000000000005
HG00099	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00099/analysis/HG00099.final.cram	4.19e-09	38.430259	68	431	0.993409	0.9847739999999999	0.8792479999999999	0.005968	0.08501900000000001	125553000000.0	HG00099	PASS	0.003822	0.004973
HG00100	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00100/analysis/HG00100.final.cram	1.0800000000000002e-05	31.951794	66	422	0.992461	0.9672459999999999	0.6202340000000001	0.006082	0.085127	104072000000.0	HG00100	PASS	0.0041990000000000005	0.004353
HG00101	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00101/analysis/HG00101.final.cram	7.73e-09	34.694562	68	445	0.993115	0.978383	0.757788	0.00692	0.09929199999999999	112684000000.0	HG00101	PASS	0.003925	0.005175
HG00102	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00102/analysis/HG00102.final.cram	4.9e-06	32.648585	68	440	0.992541	0.970833	0.660053	0.005998	0.10646099999999999	109065000000.0	HG00102	PASS	0.003834	0.004242
HG00103	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00103/analysis/HG00103.final.cram	1.24e-08	33.0926	65	415	0.992317	0.971878	0.677012	0.0064730000000000005	0.105458	109213000000.0	HG00103	PASS	0.004064	0.0041600000000000005
HG00105	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00105/analysis/HG00105.final.cram	9.429999999999999e-09	30.148734	69	433	0.9918680000000001	0.949334	0.509195	0.005519	0.059583000000000004	93725184224.0	HG00105	PASS	0.0047350000000000005	0.005069
HG00106	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00106/analysis/HG00106.final.cram	8.86e-06	36.855762	67	430	0.993519	0.983786	0.843893	0.00595	0.088928	121013000000.0	HG00106	PASS	0.003757	0.004753
HG00107	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00107/analysis/HG00107.final.cram	2.06e-06	33.758707	66	421	0.9929950000000001	0.975893	0.714625	0.0057740000000000005	0.111006	111539000000.0	HG00107	PASS	0.00399	0.004417
HG00108	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00108/analysis/HG00108.final.cram	2.6800000000000003e-09	33.275472	68	433	0.992419	0.972833	0.693268	0.006363000000000001	0.104617	109376000000.0	HG00108	PASS	0.004338	0.0047420000000000006
HG00109	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00109/analysis/HG00109.final.cram	3.27e-06	36.759584999999994	71	440	0.993324	0.982258	0.8364530000000001	0.005534000000000001	0.06327200000000001	114830000000.0	HG00109	PASS	0.004631000000000001	0.005013
HG00110	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00110/analysis/HG00110.final.cram	5.57e-06	32.153923	68	438	0.9927790000000001	0.967728	0.626364	0.006501000000000001	0.103753	107082000000.0	HG00110	PASS	0.003915	0.004137
HG00111	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00111/analysis/HG00111.final.cram	3.73e-08	33.705445000000005	68	440	0.993122	0.973341	0.705149	0.008114	0.056816	105187000000.0	HG00111	PASS	0.005517	0.005619
HG00112	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00112/analysis/HG00112.final.cram	1.99e-06	33.48214	69	442	0.9926659999999999	0.9741	0.704842	0.006213000000000001	0.103985	109510000000.0	HG00112	PASS	0.0038420000000000004	0.004785
HG00113	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00113/analysis/HG00113.final.cram	1.06e-09	30.503894	66	425	0.992303	0.9556690000000001	0.528223	0.006479	0.083565	98003639321.0	HG00113	PASS	0.003742	0.004202
