	entity:qc_result_sample_id	cram	freemix	mean_coverage	median_absolute_deviation	median_insert_size	pct_10x	pct_20x	pct_30x	pct_chimeras	percent_duplication	q20_bases	qc_result_sample	qc_status	read1_pf_mismatch_rate	read2_pf_mismatch_rate
18	HG00116	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00116/analysis/HG00116.final.cram	4.86e-06	45.005018	66	424	0.993992	0.98862	0.96635	0.006004	0.118822	150127000000.0	HG00116	PASS	0.004384	0.006069
20	HG00118	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00118/analysis/HG00118.final.cram	1.96e-06	35.331075	67	422	0.993237	0.980398	0.787714	0.006312	0.103427	117626000000.0	HG00118	PASS	0.003786	0.004206
21	HG00119	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00119/analysis/HG00119.final.cram	2.76e-09	35.751821	67	433	0.993705	0.980848	0.801046	0.006987	0.088415	114856000000.0	HG00119	PASS	0.004376	0.004719
22	HG00120	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00120/analysis/HG00120.final.cram	4.55e-08	38.87617	67	426	0.993483	0.985624	0.8971899999999999	0.005792	0.101227	129322000000.0	HG00120	PASS	0.003331	0.005352
47	HG00150	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00150/analysis/HG00150.final.cram	5.53e-06	39.964954	66	425	0.993453	0.986673	0.915442	0.006256	0.087089	131050000000.0	HG00150	PASS	0.003584	0.004076
75	HG00234	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00234/analysis/HG00234.final.cram	2.59e-08	38.690944	69	435	0.993576	0.984978	0.889949	0.005832	0.070891	121493000000.0	HG00234	PASS	0.004511	0.005083
77	HG00236	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00236/analysis/HG00236.final.cram	2.36e-09	39.618567	67	428	0.994103	0.986634	0.91	0.005511	0.076085	127095000000.0	HG00236	PASS	0.005045	0.006183
85	HG00245	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00245/analysis/HG00245.final.cram	6.37e-06	43.353912	66	424	0.993713	0.987716	0.956204	0.005744	0.089336	141197000000.0	HG00245	PASS	0.005021	0.006317
89	HG00252	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00252/analysis/HG00252.final.cram	4.120000000000001e-09	34.291996000000005	69	436	0.992662	0.977161	0.743222	0.006717	0.075504	109074000000.0	HG00252	PASS	0.003975	0.004699
91	HG00254	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00254/analysis/HG00254.final.cram	1.09e-05	34.941226	69	441	0.993196	0.979017	0.770473	0.006239	0.0836799999999999	113921000000.0	HG00254	PASS	0.003689	0.004594
160	HG00355	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00355/analysis/HG00355.final.cram	3.54e-06	47.135691	66	424	0.993877	0.989332	0.974796	0.005939	0.093261	156669000000.0	HG00355	PASS	0.003467	0.005712
176	HG00375	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG00375/analysis/HG00375.final.cram	1.33e-08	36.338121	67	428	0.993326	0.98258	0.8223450000000001	0.00752	0.086852	116683000000.0	HG00375	PASS	0.004827	0.007028
