	filename	sample_ID	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	ccs_algorithm	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	notes	total_reads	total_bp	total_Gbp	min	max	quartile_25	quartile_50	quartile_75	N25	N50	N75
0	m54329U_200124_193652.ccs.bam	HG01891	HG01891.HiFiEx_f2	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 18kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu		6767965	115126112334	115.12	46.0	44384.75	15781.75	16865.0	18096.0	63720	68158	73151
1	m54329U_200201_051510.ccs.bam	HG01123	HG01123_HiFiEx_f2	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 17kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu		7155201	119417336179	119.39999999999999	46.0	43082.25	14998.75	16470.25	18144.0	61209	67262	74172
2	m54329U_200211_192235.ccs.bam	HG02559	HG02559.HiFiEx_b6	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu		6319123	128540762559	128.54	46.2	47600.4	18524.8	19951.2	21644.2	93824	101235	110147
3	m54329U_200215_021808.ccs.bam	HG02486	HG02486.HiFiEx_f2	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu		6671935	123904875583	123.92	46.5	45554.5	17439.5	18733.0	20268.833333333332	105951	114000	123614
4	m54329U_200306_185930.ccs.bam	HG01361	HG01361.HiFiEx_f2	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu		6505566	129995062425	129.99	46.2	48381.2	18101.6	19655.2	21501.2	92041	100081	109778
5	m54329U_200319_002813.ccs.bam	HG02572	HG02572.HiFiEx_f2	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu		4809279	95890712247	95.88	46.0	50069.5	17863.0	19549.75	21641.75	72804	79929	88789
6	m54329U_200610_234222.ccs.bam	HG03516	HG03516_HiFiEx_mix	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu		5882729	110246118135	110.25	48.25	50361.5	16609.25	18233.25	20302.75	67814	74764	83878
7	m54329U_210507_224951-bc1003_BAK8A_OA.hifi_reads.bam	HG04204	HG04204.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		6135891	119796101745	119.78	216.4	53855.2	16524.8	18764.8	21788.6	85273	97931	114089
8	m54329U_210507_224951-bc1008_BAK8A_OA.hifi_reads.bam	HG04228	HG04228a.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		6751959	129757037241	129.76	183.2	54908.6	16278.6	18639.0	21746.4	84404	97652	114225
9	m54329U_210507_224951-bc1009_BAK8A_OA.hifi_reads.bam	HG02135	HG02135a.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		6327857	111850231537	111.86000000000001	333.3333333333333	51530.166666666664	14804.166666666666	17012.5	19924.833333333332	92451	107263	126072
