	index	filename	sample_ID	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	ccs_algorithm	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	notes
0	41	m64043_200403_163826.ccs.bam	HG02717	HG02717_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
1	42	m64043_200410_214826.ccs.bam	HG02886	HG02886_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
2	43	m64043_200501_162248.ccs.bam	HG02630	HG02630_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
3	44	m64043_200508_172634.ccs.bam	HG03453	HG03453_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
4	45	m64043_200515_165406.ccs.bam	HG03579	HG03579_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
5	46	m64043_200521_171703.ccs.bam	HG03540	HG03540_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
6	47	m64043_200530_164723.ccs.bam	HG02622	HG02622_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
7	48	m64043_200606_175618.ccs.bam	HG03471	HG03471_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
8	49	m64043_200612_200936.ccs.bam	HG01928	HG01928_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
9	50	m64043_200618_201934.ccs.bam	HG01175	HG01175_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
10	51	m64043_200625_174853.ccs.bam	HG01106	HG01106_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
11	52	m64043_200702_173033.ccs.bam	HG00735	HG00735_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
12	53	m64043_200710_174426.ccs.bam	HG00438	HG00438_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
13	54	m64043_200716_182902.ccs.bam	HG00673	HG00673_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
14	103	m64136_200530_164818.ccs.bam	HG01978	HG01978_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
15	104	m64136_200612_201033.ccs.bam	HG01952	HG01952_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
16	105	m64136_200618_202033.ccs.bam	HG02148	HG02148_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu	
