	filename	sample_ID	path	read_N50	Gb	coverage	100kb+	200kb+	300kb+	400kb+	500kb+	1Mb+	whales	sample	ntsm_score	result	filetype	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	seq_kit	basecaller	basecaller_version	basecaller_model	generator_facility	generator_contact
0	02_08_22_R941_HG03834_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03834	s3://human-pangenomics/working/HPRC/HG03834/raw_data/nanopore/guppy_6/02_08_22_R941_HG03834_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	113319	54.02	16.37	9.29	3.25	1.17	0.47	0.21	0.01	28	HG03834	0.358252	Similar		02_08_22_R941_HG03834_1																
1	02_08_22_R941_HG03834_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03834	s3://human-pangenomics/working/HPRC/HG03834/raw_data/nanopore/guppy_6/02_08_22_R941_HG03834_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	106614	55.11	16.7	8.93	3.02	1.09	0.47	0.23	0.01	39	HG03834	0.366502	Similar		02_08_22_R941_HG03834_2																
2	02_08_22_R941_HG03834_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03834	s3://human-pangenomics/working/HPRC/HG03834/raw_data/nanopore/guppy_6/02_08_22_R941_HG03834_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	103009	51.91	15.73	8.11	2.7	0.97	0.41	0.2	0.01	32	HG03834	0.353039	Similar		02_08_22_R941_HG03834_3																
3	02_15_22_R941_HG03041_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03041	s3://human-pangenomics/working/HPRC/HG03041/raw_data/nanopore/guppy_6/02_15_22_R941_HG03041_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	94132	66.91	20.27	9.5	2.76	0.72	0.22	0.08	0.0	7	HG03041	0.338052	Similar		02_15_22_R941_HG03041_1																
4	02_15_22_R941_HG03041_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03041	s3://human-pangenomics/working/HPRC/HG03041/raw_data/nanopore/guppy_6/02_15_22_R941_HG03041_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	87337	72.05	21.83	9.49	2.69	0.72	0.23	0.09	0.0	10	HG03041	0.339754	Similar		02_15_22_R941_HG03041_2																
5	02_15_22_R941_HG03041_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03041	s3://human-pangenomics/working/HPRC/HG03041/raw_data/nanopore/guppy_6/02_15_22_R941_HG03041_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	95935	57.11	17.31	8.29	2.44	0.65	0.2	0.08	0.01	15	HG03041	0.315332	Similar		02_15_22_R941_HG03041_3																
6	02_15_22_R941_HG03050_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03050	s3://human-pangenomics/working/HPRC/HG03050/raw_data/nanopore/guppy_6/02_15_22_R941_HG03050_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	96204	76.7	23.24	11.14	2.91	0.63	0.16	0.05	0.0	4	HG03050	0.325861	Similar		02_15_22_R941_HG03050_1																
7	02_15_22_R941_HG03050_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03050	s3://human-pangenomics/working/HPRC/HG03050/raw_data/nanopore/guppy_6/02_15_22_R941_HG03050_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	88591	51.87	15.72	6.89	1.72	0.37	0.1	0.03	0.0	3	HG03050	0.341999	Similar		02_15_22_R941_HG03050_2																
8	02_15_22_R941_HG03050_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03050	s3://human-pangenomics/working/HPRC/HG03050/raw_data/nanopore/guppy_6/02_15_22_R941_HG03050_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	92017	71.23	21.59	9.85	2.51	0.54	0.14	0.05	0.0	8	HG03050	0.346017	Similar		02_15_22_R941_HG03050_3																
9	02_15_22_R941_HG03239_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03239	s3://human-pangenomics/working/HPRC/HG03239/raw_data/nanopore/guppy_6/02_15_22_R941_HG03239_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	84730	74.38	22.54	9.29	1.99	0.37	0.1	0.04	0.0	3	HG03239	0.34711	Similar		02_15_22_R941_HG03239_1																
