filename	path	sliced_path	bytes
HG00099-1_S20_L001_R1_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L001_R1_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic	5853488956
HG00099-1_S20_L001_R2_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L001_R2_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic	5869815446
HG00099-1_S20_L002_R1_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L002_R1_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic	6164318586
HG00099-1_S20_L002_R2_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L002_R2_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic	6253476416
HG00099-1_S20_L003_R1_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L003_R1_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic	6162258053
HG00099-1_S20_L003_R2_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L003_R2_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic	6232170837
HG00099-1_S20_L004_R1_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L004_R1_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic	6130004547
HG00099-1_S20_L004_R2_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L004_R2_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic	6201391270
HG00099-2_S28_L001_R1_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L001_R1_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic	5697214132
HG00099-2_S28_L001_R2_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L001_R2_001.fastq.gz	s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic	5797129345
