filename	path	sliced_path	bytes
HG00253.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG00253/raw_data/PacBio_Kinnex/HG00253.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG00253/raw_data/PacBio_Kinnex	16956488093	
NA19443.lymph.m84081_240728_110915_s4-m84081_240728_090940_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA19443/raw_data/PacBio_Kinnex/NA19443.lymph.m84081_240728_110915_s4-m84081_240728_090940_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA19443/raw_data/PacBio_Kinnex	18640180661	
HG00609.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_Kinnex/HG00609.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_Kinnex	25547971130	
NA18570.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4.flnc.bam	s3://human-pangenomics/working/HPRC/NA18570/raw_data/PacBio_Kinnex/NA18570.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4.flnc.bam	s3://human-pangenomics/working/HPRC/NA18570/raw_data/PacBio_Kinnex	21297156468	
HG00558.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00558/raw_data/PacBio_Kinnex/HG00558.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00558/raw_data/PacBio_Kinnex	16989996265	
HG03453.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG03453/raw_data/PacBio_Kinnex/HG03453.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG03453/raw_data/PacBio_Kinnex	15227552065	
HG02257.lymph.m84081_240712_194046_s2-m84081_240717_095021_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG02257/raw_data/PacBio_Kinnex/HG02257.lymph.m84081_240712_194046_s2-m84081_240717_095021_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG02257/raw_data/PacBio_Kinnex	24964464896	
HG02004.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_Kinnex/HG02004.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_Kinnex	17742744839	
NA21110.lymph.m84081_240727_011703_s4-m84081_240726_231733_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA21110/raw_data/PacBio_Kinnex/NA21110.lymph.m84081_240727_011703_s4-m84081_240726_231733_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA21110/raw_data/PacBio_Kinnex	27542650840	
HG02886.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_Kinnex/HG02886.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_Kinnex	24136190870	
