filename	path	sliced_path	bytes
HG00706.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_Kinnex/HG00706.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_Kinnex	20405664179
HG02040.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02040/raw_data/PacBio_Kinnex/HG02040.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02040/raw_data/PacBio_Kinnex	34126730682
HG00642.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_Kinnex/HG00642.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_Kinnex	26369454321
HG02155.lymph.m84081_240722_210122_s1-m84081_240722_190156_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02155/raw_data/PacBio_Kinnex/HG02155.lymph.m84081_240722_210122_s1-m84081_240722_190156_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02155/raw_data/PacBio_Kinnex	33729258413
HG01081.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG01081/raw_data/PacBio_Kinnex/HG01081.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG01081/raw_data/PacBio_Kinnex	22530701487
HG03831.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG03831/raw_data/PacBio_Kinnex/HG03831.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG03831/raw_data/PacBio_Kinnex	21169919255
HG02647.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_Kinnex/HG02647.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_Kinnex	20299400134
HG02257.lymph.m84081_240712_194046_s2-m84081_240717_095021_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG02257/raw_data/PacBio_Kinnex/HG02257.lymph.m84081_240712_194046_s2-m84081_240717_095021_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG02257/raw_data/PacBio_Kinnex	24964464896
HG03195.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG03195/raw_data/PacBio_Kinnex/HG03195.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG03195/raw_data/PacBio_Kinnex	19534878168
HG00408.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG00408/raw_data/PacBio_Kinnex/HG00408.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG00408/raw_data/PacBio_Kinnex	26989538747
HG02392.lymph.m84081_240724_105227_s4-m84081_240724_085257_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG02392/raw_data/PacBio_Kinnex/HG02392.lymph.m84081_240724_105227_s4-m84081_240724_085257_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG02392/raw_data/PacBio_Kinnex	22312972901
HG04199.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG04199/raw_data/PacBio_Kinnex/HG04199.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG04199/raw_data/PacBio_Kinnex	20108739671
HG01884.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_Kinnex/HG01884.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_Kinnex	18876275677
NA18970.lymph.m84203_240819_194908_s1-m84203_240819_214831_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA18970/raw_data/PacBio_Kinnex/NA18970.lymph.m84203_240819_194908_s1-m84203_240819_214831_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA18970/raw_data/PacBio_Kinnex	22699281209
NA20799.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA20799/raw_data/PacBio_Kinnex/NA20799.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA20799/raw_data/PacBio_Kinnex	23104700406
NA19700.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA19700/raw_data/PacBio_Kinnex/NA19700.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA19700/raw_data/PacBio_Kinnex	21018313453
HG01784.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG01784/raw_data/PacBio_Kinnex/HG01784.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG01784/raw_data/PacBio_Kinnex	24792654533
HG02976.lymph.m84081_240531_190112_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG02976/raw_data/PacBio_Kinnex/HG02976.lymph.m84081_240531_190112_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG02976/raw_data/PacBio_Kinnex	72970820960
HG01975.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_Kinnex/HG01975.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_Kinnex	24731653512
HG03225.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG03225/raw_data/PacBio_Kinnex/HG03225.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG03225/raw_data/PacBio_Kinnex	27159992796
HG00329.lymph.m84203_240912_223637_s3-m84203_240913_003604_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG00329/raw_data/PacBio_Kinnex/HG00329.lymph.m84203_240912_223637_s3-m84203_240913_003604_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG00329/raw_data/PacBio_Kinnex	19518391445
HG00544.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_Kinnex/HG00544.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_Kinnex	16878271831
HG02622.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_Kinnex/HG02622.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_Kinnex	27941448068
HG01167.lymph.m84203_241023_010712_s4-m84203_241023_030638_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01167/raw_data/PacBio_Kinnex/HG01167.lymph.m84203_241023_010712_s4-m84203_241023_030638_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01167/raw_data/PacBio_Kinnex	21043890684
HG02630.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02630/raw_data/PacBio_Kinnex/HG02630.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02630/raw_data/PacBio_Kinnex	22793728141
HG00639.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG00639/raw_data/PacBio_Kinnex/HG00639.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG00639/raw_data/PacBio_Kinnex	23069641710
