log	filename	manifest	status	throughput
s3_transfer_9723195_1000.log	NA18620-2_FC1_S14_L001_R1_001.fastq.gz	./manifest_9723195_1000.csv	0	24.9MiB/s
s3_transfer_9723195_1001.log	NA18620-2_FC1_S14_L001_R2_001.fastq.gz	./manifest_9723195_1001.csv	0	78.0MiB/s
s3_transfer_9723195_1002.log	NA18620-2_FC2_S14_L001_R1_001.fastq.gz	./manifest_9723195_1002.csv	0	73.8MiB/s
s3_transfer_9723195_1003.log	NA18620-2_FC2_S14_L001_R2_001.fastq.gz	./manifest_9723195_1003.csv	0	76.9MiB/s
s3_transfer_9723195_1004.log	NWM220c-1_S2_L001_R1_001.fastq.gz	./manifest_9723195_1004.csv	0	77.6MiB/s
s3_transfer_9723195_1005.log	NWM220c-1_S2_L001_R2_001.fastq.gz	./manifest_9723195_1005.csv	0	76.6MiB/s
s3_transfer_9723195_1006.log	NWM220c-1_S2_L002_R1_001.fastq.gz	./manifest_9723195_1006.csv	0	27.0MiB/s
s3_transfer_9723195_1007.log	NWM220c-1_S2_L002_R2_001.fastq.gz	./manifest_9723195_1007.csv	0	26.5MiB/s
s3_transfer_9723195_1008.log	NWM220c-1_S2_L003_R1_001.fastq.gz	./manifest_9723195_1008.csv	0	86.5MiB/s
s3_transfer_9723195_1009.log	NWM220c-1_S2_L003_R2_001.fastq.gz	./manifest_9723195_1009.csv	0	28.1MiB/s
s3_transfer_9723195_100.log	HG02135-09a-2_S8_L004_R1_001.fastq.gz	./manifest_9723195_100.csv	0	13.7MiB/s
s3_transfer_9723195_1010.log	NWM220c-1_S2_L004_R1_001.fastq.gz	./manifest_9723195_1010.csv	0	23.6MiB/s
s3_transfer_9723195_1011.log	NWM220c-1_S2_L004_R2_001.fastq.gz	./manifest_9723195_1011.csv	0	29.1MiB/s
s3_transfer_9723195_1012.log	NWM220c-2_S9_L001_R1_001.fastq.gz	./manifest_9723195_1012.csv	0	29.4MiB/s
s3_transfer_9723195_1013.log	NWM220c-2_S9_L001_R2_001.fastq.gz	./manifest_9723195_1013.csv	0	72.9MiB/s
s3_transfer_9723195_1014.log	NWM220c-2_S9_L002_R1_001.fastq.gz	./manifest_9723195_1014.csv	0	80.2MiB/s
s3_transfer_9723195_1015.log	NWM220c-2_S9_L002_R2_001.fastq.gz	./manifest_9723195_1015.csv	0	32.1MiB/s
s3_transfer_9723195_1016.log	NWM220c-2_S9_L003_R1_001.fastq.gz	./manifest_9723195_1016.csv	0	78.2MiB/s
s3_transfer_9723195_1017.log	NWM220c-2_S9_L003_R2_001.fastq.gz	./manifest_9723195_1017.csv	0	27.9MiB/s
s3_transfer_9723195_1018.log	NWM220c-2_S9_L004_R1_001.fastq.gz	./manifest_9723195_1018.csv	0	30.4MiB/s
s3_transfer_9723195_1019.log	NWM220c-2_S9_L004_R2_001.fastq.gz	./manifest_9723195_1019.csv	0	23.5MiB/s
s3_transfer_9723195_101.log	HG02135-09a-2_S8_L004_R2_001.fastq.gz	./manifest_9723195_101.csv	0	54.1MiB/s
s3_transfer_9723195_1020.log	NWM222c-1_S4_L001_R1_001.fastq.gz	./manifest_9723195_1020.csv	0	30.0MiB/s
s3_transfer_9723195_1021.log	NWM222c-1_S4_L001_R2_001.fastq.gz	./manifest_9723195_1021.csv	0	86.4MiB/s
