log	filename	manifest	status	throughput
s3_transfer_9593793_1.log	m84091_231120_185935_s2.hifi_reads.bc1016.bam	./manifest_9593793_1.csv	0	187.6MiB/s
s3_transfer_9596440_10.log	m64043_210606_013256.hifi_reads.bam	./manifest_9596440_10.csv	0	204.4MiB/s
s3_transfer_9596440_11.log	m64043_210607_090252.hifi_reads.bam	./manifest_9596440_11.csv	0	261.8MiB/s
s3_transfer_9596440_12.log	m64043_210610_203329.hifi_reads.bam	./manifest_9596440_12.csv	0	225.7MiB/s
s3_transfer_9596440_13.log	m64076_211218_173901.hifi_reads.bam	./manifest_9596440_13.csv	0	186.3MiB/s
s3_transfer_9596440_14.log	m64076_211214_012715.hifi_reads.bam	./manifest_9596440_14.csv	0	187.2MiB/s
s3_transfer_9596440_15.log	m64076_211217_081943.hifi_reads.bam	./manifest_9596440_15.csv	0	186.2MiB/s
s3_transfer_9596440_16.log	m64076_211215_225159.hifi_reads.bam	./manifest_9596440_16.csv	0	193.2MiB/s
s3_transfer_9596440_17.log	m64076_211221_015212.hifi_reads.bam	./manifest_9596440_17.csv	0	196.2MiB/s
s3_transfer_9596440_18.log	m84046_230508_200815_s4.hifi_reads.bc2089.bam	./manifest_9596440_18.csv	0	178.7MiB/s
s3_transfer_9596440_19.log	m84046_230504_205453_s3.hifi_reads.bc2089.bam	./manifest_9596440_19.csv	0	209.2MiB/s
s3_transfer_9596440_1.log	m84046_230707_195504_s2.hifi_reads.default.bam	./manifest_9596440_1.csv	0	199.2MiB/s
s3_transfer_9596440_20.log	m84046_230501_151821_s4.hifi_reads.bc2089.bam	./manifest_9596440_20.csv	0	198.3MiB/s
s3_transfer_9596440_21.log	m84046_230504_212559_s4.hifi_reads.bc2089.bam	./manifest_9596440_21.csv	0	205.1MiB/s
s3_transfer_9596440_22.log	m84046_230428_231421_s3.hifi_reads.bc2094.bam	./manifest_9596440_22.csv	0	201.9MiB/s
s3_transfer_9596440_23.log	m84046_230504_202347_s2.hifi_reads.bc2094.bam	./manifest_9596440_23.csv	0	205.3MiB/s
s3_transfer_9596440_24.log	m84046_230508_193709_s3.hifi_reads.bc2094.bam	./manifest_9596440_24.csv	0	273.4MiB/s
s3_transfer_9596440_25.log	m84046_230504_195327_s1.hifi_reads.bc2094.bam	./manifest_9596440_25.csv	0	195.5MiB/s
s3_transfer_9596440_26.log	m64076_220914_214248-bc2060.5mc.hifi_reads.bam	./manifest_9596440_26.csv	0	188.1MiB/s
s3_transfer_9596440_27.log	m64076_220916_183810-bc2060.5mc.hifi_reads.bam	./manifest_9596440_27.csv	0	187.4MiB/s
s3_transfer_9596440_28.log	m64076_220918_143117-bc2060.5mc.hifi_reads.bam	./manifest_9596440_28.csv	0	182.3MiB/s
s3_transfer_9596440_29.log	m84046_230522_234602_s2.hifi_reads.bc2060.bam	./manifest_9596440_29.csv	0	377.0MiB/s
s3_transfer_9596440_2.log	m54329U_210608_221930.hifi_reads.bam	./manifest_9596440_2.csv	0	345.4MiB/s
s3_transfer_9596440_30.log	m84046_230623_210640_s1.hifi_reads.bc2060.bam	./manifest_9596440_30.csv	0	207.4MiB/s
s3_transfer_9596440_31.log	m64136_220726_203708-bc1020.5mc.hifi_reads.bam	./manifest_9596440_31.csv	0	195.8MiB/s
s3_transfer_9596440_32.log	m64136_220730_113921-bc1020.5mc.hifi_reads.bam	./manifest_9596440_32.csv	0	224.6MiB/s
s3_transfer_9596440_33.log	m64136_220728_160902-bc1020.5mc.hifi_reads.bam	./manifest_9596440_33.csv	0	209.1MiB/s
s3_transfer_9596440_34.log	m84081_230728_191731_s1.hifi_reads.bc2027.bam	./manifest_9596440_34.csv	0	197.5MiB/s
s3_transfer_9596440_35.log	m84046_230428_224315_s2.hifi_reads.bc2091.bam	./manifest_9596440_35.csv	0	363.5MiB/s
s3_transfer_9596440_36.log	m84046_230502_210601_s4.hifi_reads.bc2091.bam	./manifest_9596440_36.csv	0	197.7MiB/s
s3_transfer_9596440_37.log	m84046_230508_200815_s4.hifi_reads.bc2091.bam	./manifest_9596440_37.csv	0	331.4MiB/s
s3_transfer_9596440_38.log	m84046_230502_203455_s3.hifi_reads.bc2091.bam	./manifest_9596440_38.csv	0	164.0MiB/s
s3_transfer_9596440_39.log	m84046_230712_231732_s2.hifi_reads.bc2053.bam	./manifest_9596440_39.csv	0	216.3MiB/s
s3_transfer_9596440_3.log	m54329U_210611_221457.hifi_reads.bam	./manifest_9596440_3.csv	0	268.5MiB/s
s3_transfer_9596440_40.log	m84046_230623_203534_s4.hifi_reads.bc2053.bam	./manifest_9596440_40.csv	0	185.1MiB/s
s3_transfer_9596440_41.log	m84046_230627_204123_s2.hifi_reads.bc2053.bam	./manifest_9596440_41.csv	0	172.5MiB/s
s3_transfer_9596440_42.log	m84046_230627_201017_s1.hifi_reads.bc2053.bam	./manifest_9596440_42.csv	0	196.8MiB/s
s3_transfer_9596440_43.log	m84046_230701_000218_s4.hifi_reads.bc2053.bam	./manifest_9596440_43.csv	0	396.4MiB/s
s3_transfer_9596440_4.log	m54329U_210618_202343.hifi_reads.bam	./manifest_9596440_4.csv	0	198.0MiB/s
