log	filename	manifest	status	throughput
_all_noncomposite_hifi_logs.log	m54329U_210507_224951-bc1009_BAK8A_OA.hifi_reads.bam	./manifest_9641371_9.csv	0	71.4MiB/s
s3_transfer_9621442_10.log	m84081_230609_201402_s3.hifi_reads.bc2009.bam	./manifest_9621442_10.csv	0	59.9MiB/s
s3_transfer_9621442_11.log	m84081_230609_204508_s4.hifi_reads.bc2009.bam	./manifest_9621442_11.csv	0	57.5MiB/s
s3_transfer_9621442_12.log	m84081_230616_182824_s3.hifi_reads.bc2013.bam	./manifest_9621442_12.csv	0	58.2MiB/s
s3_transfer_9621442_13.log	m84081_230616_185930_s4.hifi_reads.bc2013.bam	./manifest_9621442_13.csv	0	62.7MiB/s
s3_transfer_9621442_14.log	m84081_230616_172650_s1.hifi_reads.bc2012.bam	./manifest_9621442_14.csv	0	83.0MiB/s
s3_transfer_9621442_15.log	m84081_230616_175717_s2.hifi_reads.bc2012.bam	./manifest_9621442_15.csv	0	75.3MiB/s
s3_transfer_9621442_16.log	m84091_230707_183012_s4.hifi_reads.bc1016.bam	./manifest_9621442_16.csv	0	83.0MiB/s
s3_transfer_9621442_17.log	m84091_230714_140949_s3.hifi_reads.bc1016.bam	./manifest_9621442_17.csv	0	86.7MiB/s
s3_transfer_9621442_18.log	m84091_230721_134835_s1.hifi_reads.bc1003.bam	./manifest_9621442_18.csv	0	70.4MiB/s
s3_transfer_9621442_19.log	m84091_230727_143029_s4.hifi_reads.bc1003.bam	./manifest_9621442_19.csv	0	89.7MiB/s
s3_transfer_9621442_1.log	m84091_230804_181137_s4.hifi_reads.bc1002.bam	./manifest_9621442_1.csv	0	63.7MiB/s
s3_transfer_9621442_20.log	m84091_230705_174256_s2.hifi_reads.bc1002.bam	./manifest_9621442_20.csv	0	87.8MiB/s
s3_transfer_9621442_21.log	m84091_230705_184508_s4.hifi_reads.bc1002.bam	./manifest_9621442_21.csv	0	87.1MiB/s
s3_transfer_9621442_22.log	m84091_231120_175800_s4.hifi_reads.bc1002.bam	./manifest_9621442_22.csv	0	87.6MiB/s
s3_transfer_9621442_23.log	m84091_231208_194716_s4.hifi_reads.bc1021.bam	./manifest_9621442_23.csv	0	56.6MiB/s
s3_transfer_9621442_24.log	m84091_231208_201822_s1.hifi_reads.bc1021.bam	./manifest_9621442_24.csv	0	83.0MiB/s
s3_transfer_9621442_25.log	m84091_231208_204928_s2.hifi_reads.bc1021.bam	./manifest_9621442_25.csv	0	83.0MiB/s
s3_transfer_9621442_26.log	m84091_240110_191713_s4.hifi_reads.bc1010.bam	./manifest_9621442_26.csv	0	87.2MiB/s
s3_transfer_9621442_27.log	m84091_230817_150246_s3.hifi_reads.bc1012.bam	./manifest_9621442_27.csv	0	89.2MiB/s
s3_transfer_9621442_28.log	m84091_240110_201841_s2.hifi_reads.bc1002.bam	./manifest_9621442_28.csv	0	88.6MiB/s
s3_transfer_9621442_29.log	m84091_231120_185935_s2.hifi_reads.bc1010.bam	./manifest_9621442_29.csv	0	82.7MiB/s
s3_transfer_9621442_2.log	m84091_230802_183430_s4.hifi_reads.bc1009.bam	./manifest_9621442_2.csv	0	67.9MiB/s
s3_transfer_9621442_30.log	m64330e_220223_194839.5mc.hifi_reads.bam	./manifest_9621442_30.csv	0	58.1MiB/s
s3_transfer_9621442_31.log	m64330e_220227_061615.5mc.hifi_reads.bam	./manifest_9621442_31.csv	0	78.3MiB/s
s3_transfer_9621442_32.log	m54306Ue_220402_052301.demultiplex.bc1012--bc1012.5mc.hifi_reads.bam	./manifest_9621442_32.csv	0	54.5MiB/s
s3_transfer_9621442_33.log	m64330e_220218_192631.bc1012--bc1012.5mc.hifi_reads.bam	./manifest_9621442_33.csv	0	83.3MiB/s
s3_transfer_9621442_34.log	m64330e_220407_180519.demultiplex.bc1012--bc1012.5mc.hifi_reads.bam	./manifest_9621442_34.csv	0	85.3MiB/s
s3_transfer_9621442_35.log	m84081_231124_014115_s1.hifi_reads.bc2090.bam	./manifest_9621442_35.csv	0	73.9MiB/s
s3_transfer_9621442_36.log	m84081_231124_021221_s2.hifi_reads.bc2090.bam	./manifest_9621442_36.csv	0	88.5MiB/s
s3_transfer_9621442_37.log	m84081_231124_024327_s3.hifi_reads.bc2090.bam	./manifest_9621442_37.csv	0	81.4MiB/s
s3_transfer_9621442_38.log	m64136_210620_054327.hifi_reads.bam	./manifest_9621442_38.csv	0	90.0MiB/s
s3_transfer_9621442_39.log	m64136_210622_163607.hifi_reads.bam	./manifest_9621442_39.csv	0	85.8MiB/s
s3_transfer_9621442_3.log	m84091_230817_143140_s2.hifi_reads.bc1008.bam	./manifest_9621442_3.csv	0	86.9MiB/s
s3_transfer_9621442_40.log	m64136_210624_033152.hifi_reads.bam	./manifest_9621442_40.csv	0	85.0MiB/s
s3_transfer_9621442_4.log	m84091_230802_180324_s3.hifi_reads.bc1003.bam	./manifest_9621442_4.csv	0	87.8MiB/s
s3_transfer_9621442_5.log	m84091_230802_173218_s2.hifi_reads.bc1001.bam	./manifest_9621442_5.csv	0	89.0MiB/s
s3_transfer_9621442_6.log	m84091_230721_141900_s2.hifi_reads.bc1008.bam	./manifest_9621442_6.csv	0	67.9MiB/s
s3_transfer_9621442_7.log	m84091_230724_170222_s4.hifi_reads.bc1008.bam	./manifest_9621442_7.csv	0	86.0MiB/s
