log	filename	manifest	status	throughput
s3_transfer_9714256_100.log	HG03239.final.cram	./manifest_9714256_100.csv	0	30.8MiB/s
s3_transfer_9714256_101.log	HG01981.final.cram	./manifest_9714256_101.csv	0	82.4MiB/s
s3_transfer_9714256_102.log	NA18522.final.cram	./manifest_9714256_102.csv	0	84.0MiB/s
s3_transfer_9714256_103.log	HG00097.final.cram	./manifest_9714256_103.csv	0	38.0MiB/s
s3_transfer_9714256_104.log	HG00126.final.cram	./manifest_9714256_104.csv	0	82.1MiB/s
s3_transfer_9714256_105.log	HG03130.final.cram	./manifest_9714256_105.csv	0	29.3MiB/s
s3_transfer_9714256_106.log	HG01261.final.cram	./manifest_9714256_106.csv	0	29.8MiB/s
s3_transfer_9714256_107.log	HG02132.final.cram	./manifest_9714256_107.csv	0	82.6MiB/s
s3_transfer_9714256_108.log	HG00621.final.cram	./manifest_9714256_108.csv	0	29.4MiB/s
s3_transfer_9714256_109.log	HG03742.final.cram	./manifest_9714256_109.csv	0	28.0MiB/s
s3_transfer_9714256_10.log	HG01071.final.cram	./manifest_9714256_10.csv	0	67.0MiB/s
s3_transfer_9714256_110.log	NA20346.final.cram	./manifest_9714256_110.csv	0	27.5MiB/s
s3_transfer_9714256_111.log	HG00597.final.cram	./manifest_9714256_111.csv	0	26.2MiB/s
s3_transfer_9714256_112.log	HG00280.final.cram	./manifest_9714256_112.csv	0	82.6MiB/s
s3_transfer_9714256_113.log	NA21106.final.cram	./manifest_9714256_113.csv	0	85.8MiB/s
s3_transfer_9714256_114.log	NA21102.final.cram	./manifest_9714256_114.csv	0	31.4MiB/s
s3_transfer_9714256_115.log	HG01255.final.cram	./manifest_9714256_115.csv	0	85.7MiB/s
s3_transfer_9714256_116.log	NA18983.final.cram	./manifest_9714256_116.csv	0	81.7MiB/s
s3_transfer_9714256_117.log	NA19835.final.cram	./manifest_9714256_117.csv	0	40.5MiB/s
s3_transfer_9714256_118.log	NA20809.final.cram	./manifest_9714256_118.csv	0	83.8MiB/s
s3_transfer_9714256_119.log	HG01081.final.cram	./manifest_9714256_119.csv	0	80.1MiB/s
s3_transfer_9714256_11.log	HG01433.final.cram	./manifest_9714256_11.csv	0	84.8MiB/s
s3_transfer_9714256_120.log	HG02583.final.cram	./manifest_9714256_120.csv	0	43.3MiB/s
s3_transfer_9714256_121.log	HG02300.final.cram	./manifest_9714256_121.csv	0	83.5MiB/s
s3_transfer_9714256_122.log	HG00232.final.cram	./manifest_9714256_122.csv	0	80.8MiB/s
s3_transfer_9714256_123.log	HG01258.final.cram	./manifest_9714256_123.csv	0	42.8MiB/s
s3_transfer_9714256_124.log	HG02514.final.cram	./manifest_9714256_124.csv	0	40.7MiB/s
s3_transfer_9714256_125.log	NA19682.final.cram	./manifest_9714256_125.csv	0	88.7MiB/s
s3_transfer_9714256_126.log	NA19036.final.cram	./manifest_9714256_126.csv	0	81.2MiB/s
s3_transfer_9714256_127.log	HG02886.final.cram	./manifest_9714256_127.csv	0	78.2MiB/s
s3_transfer_9714256_128.log	NA18952.final.cram	./manifest_9714256_128.csv	0	34.7MiB/s
s3_transfer_9714256_129.log	HG02293.final.cram	./manifest_9714256_129.csv	0	30.6MiB/s
s3_transfer_9714256_12.log	NA18565.final.cram	./manifest_9714256_12.csv	0	23.3MiB/s
s3_transfer_9714256_130.log	NA21110.final.cram	./manifest_9714256_130.csv	0	38.0MiB/s
s3_transfer_9714256_131.log	HG02615.final.cram	./manifest_9714256_131.csv	0	78.5MiB/s
s3_transfer_9714256_132.log	NA21093.final.cram	./manifest_9714256_132.csv	0	40.4MiB/s
s3_transfer_9714256_133.log	HG00544.final.cram	./manifest_9714256_133.csv	0	85.9MiB/s
s3_transfer_9714256_134.log	HG02630.final.cram	./manifest_9714256_134.csv	0	35.6MiB/s
s3_transfer_9714256_135.log	HG00738.final.cram	./manifest_9714256_135.csv	0	37.6MiB/s
s3_transfer_9714256_136.log	NA20752.final.cram	./manifest_9714256_136.csv	0	77.4MiB/s
s3_transfer_9714256_137.log	NA20870.final.cram	./manifest_9714256_137.csv	0	80.5MiB/s
s3_transfer_9714256_138.log	NA18971.final.cram	./manifest_9714256_138.csv	0	84.0MiB/s
s3_transfer_9714256_139.log	HG02391.final.cram	./manifest_9714256_139.csv	0	58.0MiB/s
s3_transfer_9714256_13.log	HG02071.final.cram	./manifest_9714256_13.csv	0	17.1MiB/s
s3_transfer_9714256_140.log	HG02572.final.cram	./manifest_9714256_140.csv	0	61.2MiB/s
s3_transfer_9714256_141.log	HG02809.final.cram	./manifest_9714256_141.csv	0	58.3MiB/s
s3_transfer_9714256_142.log	HG02015.final.cram	./manifest_9714256_142.csv	0	81.7MiB/s
s3_transfer_9714256_143.log	HG01784.final.cram	./manifest_9714256_143.csv	0	40.2MiB/s
s3_transfer_9714256_144.log	HG01940.final.cram	./manifest_9714256_144.csv	0	80.3MiB/s
s3_transfer_9714256_145.log	HG02984.final.cram	./manifest_9714256_145.csv	0	35.7MiB/s
s3_transfer_9714256_146.log	NA21144.final.cram	./manifest_9714256_146.csv	0	36.7MiB/s
s3_transfer_9714256_147.log	HG02083.final.cram	./manifest_9714256_147.csv	0	83.1MiB/s
s3_transfer_9714256_148.log	HG03688.final.cram	./manifest_9714256_148.csv	0	85.8MiB/s
s3_transfer_9714256_149.log	HG01952.final.cram	./manifest_9714256_149.csv	0	45.3MiB/s
s3_transfer_9714256_14.log	HG03804.final.cram	./manifest_9714256_14.csv	0	70.4MiB/s
s3_transfer_9714256_150.log	HG00658.final.cram	./manifest_9714256_150.csv	0	29.9MiB/s
s3_transfer_9714256_151.log	NA19909.final.cram	./manifest_9714256_151.csv	0	31.0MiB/s
s3_transfer_9714256_152.log	HG02602.final.cram	./manifest_9714256_152.csv	0	83.7MiB/s
s3_transfer_9714256_153.log	HG01192.final.cram	./manifest_9714256_153.csv	0	27.5MiB/s
s3_transfer_9714256_154.log	HG03831.final.cram	./manifest_9714256_154.csv	0	78.6MiB/s
s3_transfer_9714256_155.log	HG02129.final.cram	./manifest_9714256_155.csv	0	87.4MiB/s
s3_transfer_9714256_156.log	HG00290.final.cram	./manifest_9714256_156.csv	0	76.2MiB/s
s3_transfer_9714256_157.log	HG00329.final.cram	./manifest_9714256_157.csv	0	86.3MiB/s
s3_transfer_9714256_158.log	HG01358.final.cram	./manifest_9714256_158.csv	0	24.0MiB/s
s3_transfer_9714256_159.log	HG03704.final.cram	./manifest_9714256_159.csv	0	75.8MiB/s
s3_transfer_9714256_15.log	HG03195.final.cram	./manifest_9714256_15.csv	0	57.5MiB/s
s3_transfer_9714256_160.log	HG02040.final.cram	./manifest_9714256_160.csv	0	76.2MiB/s
s3_transfer_9714256_161.log	HG00706.final.cram	./manifest_9714256_161.csv	0	27.3MiB/s
s3_transfer_9714256_162.log	HG02841.final.cram	./manifest_9714256_162.csv	0	76.1MiB/s
s3_transfer_9714256_163.log	HG03017.final.cram	./manifest_9714256_163.csv	0	87.7MiB/s
s3_transfer_9714256_164.log	NA18976.final.cram	./manifest_9714256_164.csv	0	26.0MiB/s
s3_transfer_9714256_165.log	HG00323.final.cram	./manifest_9714256_165.csv	0	88.0MiB/s
s3_transfer_9714256_166.log	HG02922.final.cram	./manifest_9714256_166.csv	0	30.8MiB/s
s3_transfer_9714256_167.log	HG02135.final.cram	./manifest_9714256_167.csv	0	80.5MiB/s
s3_transfer_9714256_168.log	HG00350.final.cram	./manifest_9714256_168.csv	0	77.1MiB/s
s3_transfer_9714256_169.log	HG00673.final.cram	./manifest_9714256_169.csv	0	80.6MiB/s
s3_transfer_9714256_16.log	HG00735.final.cram	./manifest_9714256_16.csv	0	58.0MiB/s
s3_transfer_9714256_170.log	NA19468.final.cram	./manifest_9714256_170.csv	0	85.2MiB/s
s3_transfer_9714256_171.log	HG02976.final.cram	./manifest_9714256_171.csv	0	85.9MiB/s
s3_transfer_9714256_172.log	NA18508.final.cram	./manifest_9714256_172.csv	0	81.3MiB/s
s3_transfer_9714256_173.log	HG03050.final.cram	./manifest_9714256_173.csv	0	31.4MiB/s
s3_transfer_9714256_174.log	HG00140.final.cram	./manifest_9714256_174.csv	0	87.6MiB/s
s3_transfer_9714256_175.log	NA20282.final.cram	./manifest_9714256_175.csv	0	36.5MiB/s
s3_transfer_9714256_176.log	HG03583.final.cram	./manifest_9714256_176.csv	0	81.6MiB/s
s3_transfer_9714256_177.log	HG00741.final.cram	./manifest_9714256_177.csv	0	37.5MiB/s
