log	filename	manifest	status	throughput
s3_transfer_9704185_100.log	HG02559_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9704185_100.csv	0	43.5MiB/s
s3_transfer_9704185_101.log	HG02559_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9704185_101.csv	0	73.7MiB/s
s3_transfer_9704185_102.log	HG02559_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9704185_102.csv	0	87.7MiB/s
s3_transfer_9704185_103.log	09_14_22_R941_HG00099_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9704185_103.csv	0	82.0MiB/s
s3_transfer_9704185_104.log	09_14_22_R941_HG00099_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9704185_104.csv	0	35.5MiB/s
s3_transfer_9704185_105.log	09_14_22_R941_HG00099_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9704185_105.csv	0	80.9MiB/s
s3_transfer_9704185_106.log	11_28_23_R1041_HPRC_NA20346_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam	./manifest_9704185_106.csv	0	38.6MiB/s
s3_transfer_9704185_107.log	11_28_23_R1041_HPRC_NA20346_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam	./manifest_9704185_107.csv	0	80.5MiB/s
s3_transfer_9704185_108.log	11_28_23_R1041_HPRC_NA20346_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam	./manifest_9704185_108.csv	0	30.7MiB/s
s3_transfer_9704185_109.log	11_28_23_R1041_HPRC_NA20346_4_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam	./manifest_9704185_109.csv	0	34.7MiB/s
