log	filename	manifest	status	throughput
slurm-9721724_100.out	NA20762.lymph.m84203_240913_222952_s1-m84203_240914_002916_s2.flnc.bam	./manifest_9721724_100.csv	0	85.7MiB/s
slurm-9721724_101.out	NA21144.lymph.m84203_240913_222952_s1-m84203_240914_002916_s2.flnc.bam	./manifest_9721724_101.csv	0	85.0MiB/s
slurm-9721724_102.out	HG03516.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	./manifest_9721724_102.csv	0	67.2MiB/s
slurm-9721724_103.out	NA18974.lymph.m84081_240724_105227_s4-m84081_240724_085257_s3.flnc.bam	./manifest_9721724_103.csv	0	77.4MiB/s
slurm-9721724_104.out	NA18983.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam	./manifest_9721724_104.csv	0	74.4MiB/s
slurm-9721724_105.out	NA19036.lymph.m84081_240728_110915_s4-m84081_240728_090940_s3.flnc.bam	./manifest_9721724_105.csv	0	78.7MiB/s
slurm-9721724_106.out	NA18522.lymph.m84081_240722_210122_s1-m84081_240722_190156_s2.flnc.bam	./manifest_9721724_106.csv	1	
slurm-9721724_107.out	HG03369.lymph.m84203_241023_010712_s4-m84203_241023_030638_s1.flnc.bam	./manifest_9721724_107.csv	0	69.3MiB/s
slurm-9721724_108.out	HG00133.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam	./manifest_9721724_108.csv	0	79.1MiB/s
slurm-9721724_109.out	HG03804.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam	./manifest_9721724_109.csv	0	78.4MiB/s
slurm-9721724_10.out	NA21110.lymph.m84081_240727_011703_s4-m84081_240726_231733_s3.flnc.bam	./manifest_9721724_10.csv	1	
slurm-9721724_110.out	NA20799.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	./manifest_9721724_110.csv	1	
slurm-9721724_111.out	HG02273.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	./manifest_9721724_111.csv	1	
slurm-9721724_112.out	HG03710.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam	./manifest_9721724_112.csv	1	
slurm-9721724_113.out	HG02514.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam	./manifest_9721724_113.csv	0	77.9MiB/s
slurm-9721724_114.out	HG02280.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam	./manifest_9721724_114.csv	1	
slurm-9721724_115.out	HG01993.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam	./manifest_9721724_115.csv	0	78.4MiB/s
slurm-9721724_116.out	HG02293.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam	./manifest_9721724_116.csv	0	88.7MiB/s
slurm-9721724_117.out	HG03704.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam	./manifest_9721724_117.csv	0	83.5MiB/s
slurm-9721724_118.out	HG01361.lymph.m84081_240712_194046_s2-m84081_240717_095021_s3.flnc.bam	./manifest_9721724_118.csv	0	79.5MiB/s
slurm-9721724_119.out	NA20870.lymph.m84081_240727_011703_s4-m84081_240726_231733_s3.flnc.bam	./manifest_9721724_119.csv	0	62.5MiB/s
slurm-9721724_11.out	HG02886.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	./manifest_9721724_11.csv	1	
slurm-9721724_120.out	NA20805.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4.flnc.bam	./manifest_9721724_120.csv	0	83.6MiB/s
slurm-9721724_121.out	HG01943.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam	./manifest_9721724_121.csv	0	79.2MiB/s
slurm-9721724_122.out	HG00290.lymph.m84081_240728_110915_s4-m84081_240728_090940_s3.flnc.bam	./manifest_9721724_122.csv	0	86.3MiB/s
slurm-9721724_123.out	HG01252.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam	./manifest_9721724_123.csv	0	67.9MiB/s
slurm-9721724_124.out	HG00126.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam	./manifest_9721724_124.csv	0	84.8MiB/s
slurm-9721724_125.out	HG00408.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam	./manifest_9721724_125.csv	1	
slurm-9721724_126.out	HG03669.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam	./manifest_9721724_126.csv	0	85.7MiB/s
slurm-9721724_127.out	HG02615.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	./manifest_9721724_127.csv	0	84.0MiB/s
slurm-9721724_128.out	HG02129.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4.flnc.bam	./manifest_9721724_128.csv	0	85.5MiB/s
slurm-9721724_129.out	NA19835.lymph.m84091_241028_180302_s2-m84091_241028_160334_s1.flnc.bam	./manifest_9721724_129.csv	0	83.5MiB/s
slurm-9721724_12.out	HG03050.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam	./manifest_9721724_12.csv	0	85.5MiB/s
slurm-9721724_130.out	HG01940.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam	./manifest_9721724_130.csv	0	85.5MiB/s
slurm-9721724_131.out	HG02178.lymph.m84081_240724_105227_s4-m84081_240724_085257_s3.flnc.bam	./manifest_9721724_131.csv	0	85.4MiB/s
slurm-9721724_132.out	HG02056.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam	./manifest_9721724_132.csv	1	
slurm-9721724_133.out	HG02392.lymph.m84081_240724_105227_s4-m84081_240724_085257_s3.flnc.bam	./manifest_9721724_133.csv	1	
slurm-9721724_134.out	HG01081.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4.flnc.bam	./manifest_9721724_134.csv	1	
slurm-9721724_135.out	HG02155.lymph.m84081_240722_210122_s1-m84081_240722_190156_s2.flnc.bam	./manifest_9721724_135.csv	1	
