log	filename	manifest	status	throughput
s3_transfer_10006226_100.log	HG02514.m54306Ue_220421_052313.dc.q20.fastq.gz	./manifest_10006226_100.csv	0	42.7MiB/s
s3_transfer_10006226_101.log	HG02514.m64330e_220303_183543.dc.q20.fastq.gz	./manifest_10006226_101.csv	0	22.6MiB/s
s3_transfer_10006226_102.log	HG02514.m64330e_220417_033652.dc.q20.fastq.gz	./manifest_10006226_102.csv	0	41.6MiB/s
s3_transfer_10006226_103.log	HG00609.m64136_210622_163607.dc.q20.fastq.gz	./manifest_10006226_103.csv	0	50.4MiB/s
s3_transfer_10006226_104.log	HG00609.m64136_210624_033152.dc.q20.fastq.gz	./manifest_10006226_104.csv	0	19.8MiB/s
s3_transfer_10006226_105.log	HG00609.m64136_210620_054327.dc.q20.fastq.gz	./manifest_10006226_105.csv	0	20.5MiB/s
s3_transfer_10006226_106.log	HG00099.m54329U_220825_174247.dc.q20.fastq.gz	./manifest_10006226_106.csv	0	43.9MiB/s
s3_transfer_10006226_107.log	HG00099.m54329U_220827_143814.dc.q20.fastq.gz	./manifest_10006226_107.csv	0	18.7MiB/s
s3_transfer_10006226_108.log	HG00099.m54329U_220829_095708.dc.q20.fastq.gz	./manifest_10006226_108.csv	0	41.3MiB/s
s3_transfer_10006226_109.log	NA18983.m64457e_220902_165459.dc.q20.fastq.gz	./manifest_10006226_109.csv	0	32.6MiB/s
s3_transfer_10006226_10.log	NA19185.m64055e_220909_131447.dc.q20.fastq.gz	./manifest_10006226_10.csv	0	54.4MiB/s
s3_transfer_10006226_110.log	NA18983.m64457e_220904_135104.dc.q20.fastq.gz	./manifest_10006226_110.csv	0	18.8MiB/s
s3_transfer_10006226_111.log	NA18983.m64457e_220906_104717.dc.q20.fastq.gz	./manifest_10006226_111.csv	0	34.2MiB/s
s3_transfer_10006226_112.log	HG04204.m54329U_210507_224951.dc.q20.fastq.gz	./manifest_10006226_112.csv	0	56.8MiB/s
s3_transfer_10006226_113.log	HG04204.m54329U_210514_222517.dc.q20.fastq.gz	./manifest_10006226_113.csv	0	24.0MiB/s
s3_transfer_10006226_114.log	HG04204.m54329U_210517_210109.dc.q20.fastq.gz	./manifest_10006226_114.csv	0	51.9MiB/s
s3_transfer_10006226_115.log	HG04204.m54329U_210519_065152.dc.q20.fastq.gz	./manifest_10006226_115.csv	0	17.4MiB/s
s3_transfer_10006226_116.log	HG02809.m64043_210723_184340.dc.q20.fastq.gz	./manifest_10006226_116.csv	0	43.9MiB/s
s3_transfer_10006226_117.log	HG02809.m64043_210725_053930.dc.q20.fastq.gz	./manifest_10006226_117.csv	0	50.0MiB/s
s3_transfer_10006226_118.log	HG02809.m64043_210726_163819.dc.q20.fastq.gz	./manifest_10006226_118.csv	0	42.0MiB/s
s3_transfer_10006226_119.log	HG02809.m64043_210728_163353.dc.q20.fastq.gz	./manifest_10006226_119.csv	0	20.7MiB/s
s3_transfer_10006226_11.log	NA19468.m54306Ue_220927_182256.dc.q20.fastq.gz	./manifest_10006226_11.csv	0	59.6MiB/s
s3_transfer_10006226_120.log	HG02735.m54329U_211109_002533.dc.q20.fastq.gz	./manifest_10006226_120.csv	0	44.9MiB/s
s3_transfer_10006226_121.log	HG02735.m54329U_211204_121716.dc.q20.fastq.gz	./manifest_10006226_121.csv	0	15.8MiB/s
s3_transfer_10006226_122.log	HG02735.m54329U_211209_115915.dc.q20.fastq.gz	./manifest_10006226_122.csv	0	19.2MiB/s
s3_transfer_10006226_123.log	HG02735.m64076_211209_102926.dc.q20.fastq.gz	./manifest_10006226_123.csv	0	13.6MiB/s
s3_transfer_10006226_124.log	HG02135.m54329U_210507_224951.dc.q20.fastq.gz	./manifest_10006226_124.csv	0	52.3MiB/s
s3_transfer_10006226_125.log	HG02135.m54329U_210615_233707.dc.q20.fastq.gz	./manifest_10006226_125.csv	0	41.0MiB/s
