__index__filename	accession	path	manifest_checksum	manifest_gs_path	index_sheet	in_working
11_28_23_R1041_HPRC_NA18974_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam	SRR29497611	s3://human-pangenomics/working/HPRC/NA18974/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_28_23_R1041_HPRC_NA18974_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam	da67d886c14d7d55d54171725c44159c	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/NA18974/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_28_23_R1041_HPRC_NA18974_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam	ont	true
04_19_22_R941_HG02080_1_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	SRR33820675	s3://human-pangenomics/working/HPRC_PLUS/HG02080/raw_data/nanopore/guppy_6/04_19_22_R941_HG02080_1_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	fdfe705a5558ac637194d42bbb9f212a	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC_PLUS/HG02080/raw_data/nanopore/guppy_6/04_19_22_R941_HG02080_1_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ont	true
HG02165-2_S10_L003_R2_001.fastq.gz	SRR30242474	s3://human-pangenomics/working/HPRC/HG02165/raw_data/hic/HG02165-2_S10_L003_R2_001.fastq.gz	bacbf374006cbefcbef3e6df7c92b493	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02165/raw_data/hic/HG02165-2_S10_L003_R2_001.fastq.gz	hic	true
NWM223c-1_S5_L001_R2_001.fastq.gz		s3://human-pangenomics/working/HPRC/HG00741/raw_data/hic/NWM223c-1_S5_L001_R2_001.fastq.gz	0db9b1858e5fcb1c59e08f22d5cb6941	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG00741/raw_data/hic/NWM223c-1_S5_L001_R2_001.fastq.gz	hic	true
m64076_210612_093800.hifi_reads.bam	SRR18158601	s3://human-pangenomics/working/HPRC/HG03942/raw_data/PacBio_HiFi/m64076_210612_093800.hifi_reads.bam	ee888da9f5f9ca7fd440f8352741d01c	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG03942/raw_data/PacBio_HiFi/m64076_210612_093800.hifi_reads.bam	hifi	true
m84081_230714_205519_s2.hifi_reads.bc2020.bam	SRR29396850	s3://human-pangenomics/working/HPRC/NA18565/raw_data/PacBio_HiFi/m84081_230714_205519_s2.hifi_reads.bc2020.bam	9d1d727e825d9812a0e2216ba0c2d678	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/NA18565/raw_data/PacBio_HiFi/m84081_230714_205519_s2.hifi_reads.bc2020.bam	hifi	true
HG02178-2_FC1_S10_L001_R2_001.fastq.gz	SRR30310887	s3://human-pangenomics/working/HPRC/HG02178/raw_data/hic/HG02178-2_FC1_S10_L001_R2_001.fastq.gz	3a1be05aea70535c119a4b7ced311bf1	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02178/raw_data/hic/HG02178-2_FC1_S10_L001_R2_001.fastq.gz	hic	true
HG02056-2_S5_L003_R1_001.fastq.gz	SRR30310892	s3://human-pangenomics/working/HPRC/HG02056/raw_data/hic/HG02056-2_S5_L003_R1_001.fastq.gz	f991aa03c4ef6ef0dc58d6562bc45d38	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02056/raw_data/hic/HG02056-2_S5_L003_R1_001.fastq.gz	hic	true
NA19834-1_FC2_S3_L001_R1_001.fastq.gz	SRR34899857					
m84081_231207_210341_s3.hifi_reads.bc2003.bam	SRR29396888					
HG02027.final.cram		s3://human-pangenomics/working/HPRC/HG02027/raw_data/Illumina/child/HG02027.final.cram	65e16cad7ec1bbea5da0151f177d1811	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02027/raw_data/Illumina/child/HG02027.final.cram	ill	true
HG00621.m64136_200713_062514.dc.q20.fastq.gz	SRR30717211	s3://human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00621.m64136_200713_062514.dc.q20.fastq.gz	b2e0556fd98894cf55c5c843979b6f21	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00621.m64136_200713_062514.dc.q20.fastq.gz	dc	true
NA20805-1_S18_L004_R1_001.fastq.gz	SRR30242420	s3://human-pangenomics/working/HPRC/NA20805/raw_data/hic/NA20805-1_S18_L004_R1_001.fastq.gz	24aba65c476f5c2dbc8dc05ece46bcfd	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/NA20805/raw_data/hic/NA20805-1_S18_L004_R1_001.fastq.gz	hic	true
m84046_230504_202347_s2.hifi_reads.bc2094.bam	SRR29483129	s3://human-pangenomics/working/HPRC/NA21093/raw_data/PacBio_HiFi/m84046_230504_202347_s2.hifi_reads.bc2094.bam	eab6c66471ce17cc2f20d92df3b3872b	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/NA21093/raw_data/PacBio_HiFi/m84046_230504_202347_s2.hifi_reads.bc2094.bam	hifi	true
