accession	study	bioproject_accession	biosample_accession	library_id	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	shear_method	size_selection	basecaller	basecaller_version	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	__index__filename	total_reads	total_bp	total_gbp	min	max	mean	quartile_25	quartile_50	quartile_75	n25	n50	n75	sample_id	path	production	data_type	notes	coverage	ntsm_score	index_sheet	assembly	deepconsensus_coverage	deepconsensus_filename	deepconsensus_path	ccs_algorithm	mm_tag	primrose_filename	mm_review	mm_remove	lima_version	lima_float_version	cell_type	iso_filename	platform_unit_1	platform_unit_2	barcode	iso_library_id	pbtrim_version	jasmine_version	refine_version	pool	similarity	check-flnc reads	seq_kit	basecaller_model	coverage_over_100kb	coverage_over_200kb	coverage_over_300kb	coverage_over_400kb	coverage_over_500kb	coverage_over_1mb	whales	sequencing_chemistry	library_construction_protocol	read_length	family_id	paternal_id	maternal_id	gender	phenotype	relationship	siblings	second_order	third_order	other_comments	phasing	in_working	manifest_aws_file_size	manifest_download_size	manifest_checksum	manifest_s3_source	manifest_gs_path	slurm_job_id	slurm_task_id	sample_ID	collection
SRR34899857																						NA19834-1_FC2_S3_L001_R1_001.fastq.gz																																																																											NA19834	HPRC-OmniC-100124Pools_data_table__final.csv
SRR29396888																						m84081_231207_210341_s3.hifi_reads.bc2003.bam																																																																											HG03388	WUSTL_HPRC_HiFi_Year4_data_table__final.csv
SRR34899846																						HG03672-2_FC1_S12_L001_R1_001.fastq.gz																																																																											HG03672	HPRC-OmniC-100124Pools_data_table__final.csv
																						NA19190-2_FC1_S10_L001_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR34949586																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20282/raw_data/hic/NA20282-2_FC1_S61_L003_R1_001.fastq.gz																																																																											NA20282	HIC_Y3_Y4_part2_data_table__final.csv
																						HG03458-1_FC1_S52_L003_R2_001.fastq.gz																																																																												HIC_Y3_Y4_part2_data_table__final.csv
SRR31367057																						HG00735_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG00735	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR31367139																						HG01952_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01952	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR29405768																						m84091_240221_212852_s2.hifi_reads.bc1009.bam																																																																											NA19703	RU_Y4_data_table__final.csv
																						HG03492_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																					10275091877	6420190de7155b57b2ea4e52442a2157						manifest
SRR34949431																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00253/raw_data/hic/HG00253-1_FC1_S33_L002_R1_001.fastq.gz																																																																											HG00253	HIC_Y3_Y4_part2_data_table__final.csv
SRR26313854																						08_17_21_R941_HG02735_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR29497341																						09_06_23_R1041_HPRC_HG02624_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG02624	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR29483232																						m84046_230504_212559_s4.hifi_reads.bc2092.bam																																																																											NA19390	UW_HPRC_HiFi_Y4_AND_Y3_Topoff_data_table__final.csv
