filename,sample_id,accession,study,bioproject_accession,biosample_accession,library_ID,library_strategy,library_source,platform,instrument_model,design_description,generator_facility,generator_contact,assembly,data_type,filetype,library_layout,library_selection,shear_method,title,total_bp,coverage,ntsm_score,path,total_Gbp
"['HG00099-1_S20_L001_R1_001.fastq.gz', 'HG00099-1_S20_L002_R1_001.fastq.gz', 'HG00099-1_S20_L003_R1_001.fastq.gz', 'HG00099-1_S20_L004_R1_001.fastq.gz', 'HG00099-2_S28_L001_R1_001.fastq.gz', 'HG00099-2_S28_L002_R1_001.fastq.gz', 'HG00099-2_S28_L003_R1_001.fastq.gz', 'HG00099-2_S28_L004_R1_001.fastq.gz', 'HG00099-1_S20_L001_R2_001.fastq.gz', 'HG00099-1_S20_L002_R2_001.fastq.gz', 'HG00099-1_S20_L003_R2_001.fastq.gz', 'HG00099-1_S20_L004_R2_001.fastq.gz', 'HG00099-2_S28_L001_R2_001.fastq.gz', 'HG00099-2_S28_L002_R2_001.fastq.gz', 'HG00099-2_S28_L003_R2_001.fastq.gz', 'HG00099-2_S28_L004_R2_001.fastq.gz']",HG00099,"['SRR30242407', 'SRR30242406', 'SRR30242322', 'SRR30242307', 'SRR30242271', 'SRR30242256', 'SRR30242245', 'SRR30242475', 'SRR30242407', 'SRR30242406', 'SRR30242322', 'SRR30242307', 'SRR30242271', 'SRR30242256', 'SRR30242245', 'SRR30242475']",SRP305758,PRJNA701308,SAMN33758778,"['HG00099-1_S20_L001', 'HG00099-1_S20_L002', 'HG00099-1_S20_L003', 'HG00099-1_S20_L004', 'HG00099-2_S28_L001', 'HG00099-2_S28_L002', 'HG00099-2_S28_L003', 'HG00099-2_S28_L004', 'HG00099-1_S20_L001', 'HG00099-1_S20_L002', 'HG00099-1_S20_L003', 'HG00099-1_S20_L004', 'HG00099-2_S28_L001', 'HG00099-2_S28_L002', 'HG00099-2_S28_L003', 'HG00099-2_S28_L004']",Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,175085793163,56.47419354838709,0.5991005625,"['s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L001_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L002_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L001_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L002_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L001_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L002_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L001_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L002_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L004_R2_001.fastq.gz']",175.07
"['HG00126-1_FC1_S3_L004_R2_001.fastq.gz', 'HG00126-1_FC2_S3_L004_R2_001.fastq.gz', 'HG00126-2_FC1_S4_L004_R2_001.fastq.gz', 'HG00126-2_FC2_S4_L004_R2_001.fastq.gz', 'HG00126-1_FC1_S3_L004_R1_001.fastq.gz', 'HG00126-1_FC2_S3_L004_R1_001.fastq.gz', 'HG00126-2_FC1_S4_L004_R1_001.fastq.gz', 'HG00126-2_FC2_S4_L004_R1_001.fastq.gz']",HG00126,"['SRR30310981', 'SRR30310980', 'SRR30310819', 'SRR30310952', 'SRR30310981', 'SRR30310980', 'SRR30310819', 'SRR30310952']",SRP305758,PRJNA701308,SAMN41021637,"['HG00126-1_FC1_S3_L004', 'HG00126-1_FC2_S3_L004', 'HG00126-2_FC1_S4_L004', 'HG00126-2_FC2_S4_L004', 'HG00126-1_FC1_S3_L004', 'HG00126-1_FC2_S3_L004', 'HG00126-2_FC1_S4_L004', 'HG00126-2_FC2_S4_L004']",Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00126,218083419456,70.34193548387097,0.446764,"['s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-1_FC1_S3_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-1_FC2_S3_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-2_FC1_S4_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-2_FC2_S4_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-1_FC1_S3_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-1_FC2_S3_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-2_FC1_S4_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-2_FC2_S4_L004_R1_001.fastq.gz']",218.06
"['HG00128-1_FC1_S9_L004_R2_001.fastq.gz', 'HG00128-1_FC2_S9_L004_R2_001.fastq.gz', 'HG00128-2_FC1_S10_L004_R2_001.fastq.gz', 'HG00128-2_FC2_S10_L004_R2_001.fastq.gz', 'HG00128-1_FC1_S9_L004_R1_001.fastq.gz', 'HG00128-1_FC2_S9_L004_R1_001.fastq.gz', 'HG00128-2_FC1_S10_L004_R1_001.fastq.gz', 'HG00128-2_FC2_S10_L004_R1_001.fastq.gz']",HG00128,"['SRR30310941', 'SRR30310906', 'SRR30310895', 'SRR30310884', 'SRR30310941', 'SRR30310906', 'SRR30310895', 'SRR30310884']",SRP305758,PRJNA701308,SAMN41021641,"['HG00128-1_FC1_S9_L004', 'HG00128-1_FC2_S9_L004', 'HG00128-2_FC1_S10_L004', 'HG00128-2_FC2_S10_L004', 'HG00128-1_FC1_S9_L004', 'HG00128-1_FC2_S9_L004', 'HG00128-2_FC1_S10_L004', 'HG00128-2_FC2_S10_L004']",Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00128,138433644402,44.65161290322581,0.50960075,"['s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-1_FC1_S9_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-1_FC2_S9_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-2_FC1_S10_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-2_FC2_S10_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-1_FC1_S9_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-1_FC2_S9_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-2_FC1_S10_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-2_FC2_S10_L004_R1_001.fastq.gz']",138.42000000000002
"['HG00133-1_FC1_S5_L004_R2_001.fastq.gz', 'HG00133-1_FC2_S5_L004_R2_001.fastq.gz', 'HG00133-2_FC1_S6_L004_R2_001.fastq.gz', 'HG00133-2_FC2_S6_L004_R2_001.fastq.gz', 'HG00133-1_FC1_S5_L004_R1_001.fastq.gz', 'HG00133-1_FC2_S5_L004_R1_001.fastq.gz', 'HG00133-2_FC1_S6_L004_R1_001.fastq.gz', 'HG00133-2_FC2_S6_L004_R1_001.fastq.gz']",HG00133,"['SRR30310849', 'SRR30310838', 'SRR30310979', 'SRR30310968', 'SRR30310849', 'SRR30310838', 'SRR30310979', 'SRR30310968']",SRP305758,PRJNA701308,SAMN41021638,"['HG00133-1_FC1_S5_L004', 'HG00133-1_FC2_S5_L004', 'HG00133-2_FC1_S6_L004', 'HG00133-2_FC2_S6_L004', 'HG00133-1_FC1_S5_L004', 'HG00133-1_FC2_S5_L004', 'HG00133-2_FC1_S6_L004', 'HG00133-2_FC2_S6_L004']",Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00133,145261331372,46.86451612903226,0.494017,"['s3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-1_FC1_S5_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-1_FC2_S5_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-2_FC1_S6_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-2_FC2_S6_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-1_FC1_S5_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-1_FC2_S5_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-2_FC1_S6_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-2_FC2_S6_L004_R1_001.fastq.gz']",145.28
"['HG00140-1_S22_L001_R1_001.fastq.gz', 'HG00140-1_S22_L002_R1_001.fastq.gz', 'HG00140-1_S22_L003_R1_001.fastq.gz', 'HG00140-1_S22_L004_R1_001.fastq.gz', 'HG00140-2_S30_L001_R1_001.fastq.gz', 'HG00140-2_S30_L002_R1_001.fastq.gz', 'HG00140-2_S30_L003_R1_001.fastq.gz', 'HG00140-2_S30_L004_R1_001.fastq.gz', 'HG00140-1_S22_L001_R2_001.fastq.gz', 'HG00140-1_S22_L002_R2_001.fastq.gz', 'HG00140-1_S22_L003_R2_001.fastq.gz', 'HG00140-1_S22_L004_R2_001.fastq.gz', 'HG00140-2_S30_L001_R2_001.fastq.gz', 'HG00140-2_S30_L002_R2_001.fastq.gz', 'HG00140-2_S30_L003_R2_001.fastq.gz', 'HG00140-2_S30_L004_R2_001.fastq.gz']",HG00140,"['SRR30242464', 'SRR30242456', 'SRR30242405', 'SRR30242394', 'SRR30242383', 'SRR30242372', 'SRR30242364', 'SRR30242350', 'SRR30242464', 'SRR30242456', 'SRR30242405', 'SRR30242394', 'SRR30242383', 'SRR30242372', 'SRR30242364', 'SRR30242350']",SRP305758,PRJNA701308,SAMN33621941,"['HG00140-1_S22_L001', 'HG00140-1_S22_L002', 'HG00140-1_S22_L003', 'HG00140-1_S22_L004', 'HG00140-2_S30_L001', 'HG00140-2_S30_L002', 'HG00140-2_S30_L003', 'HG00140-2_S30_L004', 'HG00140-1_S22_L001', 'HG00140-1_S22_L002', 'HG00140-1_S22_L003', 'HG00140-1_S22_L004', 'HG00140-2_S30_L001', 'HG00140-2_S30_L002', 'HG00140-2_S30_L003', 'HG00140-2_S30_L004']",Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00140,390415366083,125.93548387096774,0.5402209375,"['s3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-1_S22_L001_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-1_S22_L002_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-1_S22_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-1_S22_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-2_S30_L001_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-2_S30_L002_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-2_S30_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-2_S30_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-1_S22_L001_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-1_S22_L002_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-1_S22_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-1_S22_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-2_S30_L001_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-2_S30_L002_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-2_S30_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-2_S30_L004_R2_001.fastq.gz']",390.40000000000003
"['HG00146-1_FC1_S5_L003_R2_001.fastq.gz', 'HG00146-1_FC2_S5_L003_R2_001.fastq.gz', 'HG00146-2_FC1_S6_L003_R2_001.fastq.gz', 'HG00146-2_FC2_S6_L003_R2_001.fastq.gz', 'HG00146-1_FC1_S5_L003_R1_001.fastq.gz', 'HG00146-1_FC2_S5_L003_R1_001.fastq.gz', 'HG00146-2_FC1_S6_L003_R1_001.fastq.gz', 'HG00146-2_FC2_S6_L003_R1_001.fastq.gz']",HG00146,"['SRR30310957', 'SRR30310922', 'SRR30310911', 'SRR30310876', 'SRR30310957', 'SRR30310922', 'SRR30310911', 'SRR30310876']",SRP305758,PRJNA701308,SAMN41021634,"['HG00146-1_FC1_S5_L003', 'HG00146-1_FC2_S5_L003', 'HG00146-2_FC1_S6_L003', 'HG00146-2_FC2_S6_L003', 'HG00146-1_FC1_S5_L003', 'HG00146-1_FC2_S5_L003', 'HG00146-2_FC1_S6_L003', 'HG00146-2_FC2_S6_L003']",Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00146,205295736212,66.22580645161291,0.48657275,"['s3://human-pangenomics/working/HPRC/HG00146/raw_data/hic/HG00146-1_FC1_S5_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00146/raw_data/hic/HG00146-1_FC2_S5_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00146/raw_data/hic/HG00146-2_FC1_S6_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00146/raw_data/hic/HG00146-2_FC2_S6_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00146/raw_data/hic/HG00146-1_FC1_S5_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00146/raw_data/hic/HG00146-1_FC2_S5_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00146/raw_data/hic/HG00146-2_FC1_S6_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00146/raw_data/hic/HG00146-2_FC2_S6_L003_R1_001.fastq.gz']",205.3
"['HG00232-1_FC1_S7_L003_R2_001.fastq.gz', 'HG00232-1_FC2_S7_L003_R2_001.fastq.gz', 'HG00232-2_FC1_S8_L003_R2_001.fastq.gz', 'HG00232-2_FC2_S8_L003_R2_001.fastq.gz', 'HG00232-1_FC1_S7_L003_R1_001.fastq.gz', 'HG00232-1_FC2_S7_L003_R1_001.fastq.gz', 'HG00232-2_FC1_S8_L003_R1_001.fastq.gz', 'HG00232-2_FC2_S8_L003_R1_001.fastq.gz']",HG00232,"['SRR30310865', 'SRR30310830', 'SRR30310821', 'SRR30310820', 'SRR30310865', 'SRR30310830', 'SRR30310821', 'SRR30310820']",SRP305758,PRJNA701308,SAMN41021635,"['HG00232-1_FC1_S7_L003', 'HG00232-1_FC2_S7_L003', 'HG00232-2_FC1_S8_L003', 'HG00232-2_FC2_S8_L003', 'HG00232-1_FC1_S7_L003', 'HG00232-1_FC2_S7_L003', 'HG00232-2_FC1_S8_L003', 'HG00232-2_FC2_S8_L003']",Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00232,176922468074,57.07096774193549,0.47441099999999997,"['s3://human-pangenomics/working/HPRC/HG00232/raw_data/hic/HG00232-1_FC1_S7_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/hic/HG00232-1_FC2_S7_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/hic/HG00232-2_FC1_S8_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/hic/HG00232-2_FC2_S8_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/hic/HG00232-1_FC1_S7_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/hic/HG00232-1_FC2_S7_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/hic/HG00232-2_FC1_S8_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/hic/HG00232-2_FC2_S8_L003_R1_001.fastq.gz']",176.92000000000002
"['HG00280-1_S21_L001_R1_001.fastq.gz', 'HG00280-1_S21_L002_R1_001.fastq.gz', 'HG00280-1_S21_L003_R1_001.fastq.gz', 'HG00280-1_S21_L004_R1_001.fastq.gz', 'HG00280-2_S29_L001_R1_001.fastq.gz', 'HG00280-2_S29_L002_R1_001.fastq.gz', 'HG00280-2_S29_L003_R1_001.fastq.gz', 'HG00280-2_S29_L004_R1_001.fastq.gz', 'HG00280-1_S21_L001_R2_001.fastq.gz', 'HG00280-1_S21_L002_R2_001.fastq.gz', 'HG00280-1_S21_L003_R2_001.fastq.gz', 'HG00280-1_S21_L004_R2_001.fastq.gz', 'HG00280-2_S29_L001_R2_001.fastq.gz', 'HG00280-2_S29_L002_R2_001.fastq.gz', 'HG00280-2_S29_L003_R2_001.fastq.gz', 'HG00280-2_S29_L004_R2_001.fastq.gz']",HG00280,"['SRR30242339', 'SRR30242235', 'SRR30242224', 'SRR30242333', 'SRR30242321', 'SRR30242314', 'SRR30242175', 'SRR30242526', 'SRR30242339', 'SRR30242235', 'SRR30242224', 'SRR30242333', 'SRR30242321', 'SRR30242314', 'SRR30242175', 'SRR30242526']",SRP305758,PRJNA701308,SAMN33758779,"['HG00280-1_S21_L001', 'HG00280-1_S21_L002', 'HG00280-1_S21_L003', 'HG00280-1_S21_L004', 'HG00280-2_S29_L001', 'HG00280-2_S29_L002', 'HG00280-2_S29_L003', 'HG00280-2_S29_L004', 'HG00280-1_S21_L001', 'HG00280-1_S21_L002', 'HG00280-1_S21_L003', 'HG00280-1_S21_L004', 'HG00280-2_S29_L001', 'HG00280-2_S29_L002', 'HG00280-2_S29_L003', 'HG00280-2_S29_L004']",Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00280,331699112111,107.0,0.552935875,"['s3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-1_S21_L001_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-1_S21_L002_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-1_S21_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-1_S21_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-2_S29_L001_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-2_S29_L002_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-2_S29_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-2_S29_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-1_S21_L001_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-1_S21_L002_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-1_S21_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-1_S21_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-2_S29_L001_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-2_S29_L002_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-2_S29_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00280/raw_data/hic/HG00280-2_S29_L004_R2_001.fastq.gz']",331.7
"['HG00290-1_FC1_S7_L004_R2_001.fastq.gz', 'HG00290-1_FC2_S7_L004_R2_001.fastq.gz', 'HG00290-2_FC1_S8_L004_R2_001.fastq.gz', 'HG00290-2_FC2_S8_L004_R2_001.fastq.gz', 'HG00290-1_FC1_S7_L004_R1_001.fastq.gz', 'HG00290-1_FC2_S7_L004_R1_001.fastq.gz', 'HG00290-2_FC1_S8_L004_R1_001.fastq.gz', 'HG00290-2_FC2_S8_L004_R1_001.fastq.gz']",HG00290,"['SRR30310818', 'SRR30310817', 'SRR30310816', 'SRR30310815', 'SRR30310818', 'SRR30310817', 'SRR30310816', 'SRR30310815']",SRP305758,PRJNA701308,SAMN41021639,"['HG00290-1_FC1_S7_L004', 'HG00290-1_FC2_S7_L004', 'HG00290-2_FC1_S8_L004', 'HG00290-2_FC2_S8_L004', 'HG00290-1_FC1_S7_L004', 'HG00290-1_FC2_S7_L004', 'HG00290-2_FC1_S8_L004', 'HG00290-2_FC2_S8_L004']",Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00290,169569401066,54.70322580645161,0.4848985,"['s3://human-pangenomics/working/HPRC/HG00290/raw_data/hic/HG00290-1_FC1_S7_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/hic/HG00290-1_FC2_S7_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/hic/HG00290-2_FC1_S8_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/hic/HG00290-2_FC2_S8_L004_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/hic/HG00290-1_FC1_S7_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/hic/HG00290-1_FC2_S7_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/hic/HG00290-2_FC1_S8_L004_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/hic/HG00290-2_FC2_S8_L004_R1_001.fastq.gz']",169.58
"['HG00320-1_FC1_S9_L003_R2_001.fastq.gz', 'HG00320-1_FC2_S9_L003_R2_001.fastq.gz', 'HG00320-2_FC1_S10_L003_R2_001.fastq.gz', 'HG00320-2_FC2_S10_L003_R2_001.fastq.gz', 'HG00320-1_FC1_S9_L003_R1_001.fastq.gz', 'HG00320-1_FC2_S9_L003_R1_001.fastq.gz', 'HG00320-2_FC1_S10_L003_R1_001.fastq.gz', 'HG00320-2_FC2_S10_L003_R1_001.fastq.gz']",HG00320,"['SRR30310814', 'SRR30310813', 'SRR30310812', 'SRR30310811', 'SRR30310814', 'SRR30310813', 'SRR30310812', 'SRR30310811']",SRP305758,PRJNA701308,SAMN41021632,"['HG00320-1_FC1_S9_L003', 'HG00320-1_FC2_S9_L003', 'HG00320-2_FC1_S10_L003', 'HG00320-2_FC2_S10_L003', 'HG00320-1_FC1_S9_L003', 'HG00320-1_FC2_S9_L003', 'HG00320-2_FC1_S10_L003', 'HG00320-2_FC2_S10_L003']",Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00320,233484355510,75.31612903225806,0.473809,"['s3://human-pangenomics/working/HPRC/HG00320/raw_data/hic/HG00320-1_FC1_S9_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00320/raw_data/hic/HG00320-1_FC2_S9_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00320/raw_data/hic/HG00320-2_FC1_S10_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00320/raw_data/hic/HG00320-2_FC2_S10_L003_R2_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00320/raw_data/hic/HG00320-1_FC1_S9_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00320/raw_data/hic/HG00320-1_FC2_S9_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00320/raw_data/hic/HG00320-2_FC1_S10_L003_R1_001.fastq.gz', 's3://human-pangenomics/working/HPRC/HG00320/raw_data/hic/HG00320-2_FC2_S10_L003_R1_001.fastq.gz']",233.48000000000002
