title	type	Description	Sample	Organism Name	Project Type	Sample Scope	LocusTagPrefix	Relevance	Target Material	Organization Name	Organization Type	Organization Role	Contact First Name	Contact Last Name	Contact Email
Assembly of HG03225 Haplotype 1	Genome sequencing and assembly	HG03225 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03225	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03225 Haplotype 2	Genome sequencing and assembly	HG03225 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03225	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02965 Haplotype 1	Genome sequencing and assembly	HG02965 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02965	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02965 Haplotype 2	Genome sequencing and assembly	HG02965 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02965	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02976 Haplotype 1	Genome sequencing and assembly	HG02976 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02976	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02976 Haplotype 2	Genome sequencing and assembly	HG02976 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02976	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03195 Haplotype 1	Genome sequencing and assembly	HG03195 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03195	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03195 Haplotype 2	Genome sequencing and assembly	HG03195 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03195	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03139 Haplotype 1	Genome sequencing and assembly	HG03139 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03139	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03139 Haplotype 2	Genome sequencing and assembly	HG03139 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03139	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
