	title	type	umbrella-bioproject	Description	Accession	Sample	Organism
0	Assembly of NA18522 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA18522 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33758796	NA18522	Homo sapiens
0	Assembly of NA19338 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19338 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797091	NA19338	Homo sapiens
0	Assembly of NA19391 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19391 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797092	NA19391	Homo sapiens
0	Assembly of NA19468 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19468 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797093	NA19468	Homo sapiens
0	Assembly of NA18971 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA18971 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33621961	NA18971	Homo sapiens
0	Assembly of NA18612 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA18612 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33621960	NA18612	Homo sapiens
0	Assembly of NA18983 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA18983 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33758798	NA18983	Homo sapiens
0	Assembly of NA18747 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA18747 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33758797	NA18747	Homo sapiens
0	Assembly of NA19159 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19159 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797089	NA19159	Homo sapiens
0	Assembly of NA19185 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19185 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797090	NA19185	Homo sapiens
0	Assembly of NA18570 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA18570 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797086	NA18570	Homo sapiens
0	Assembly of NA19087 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19087 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797087	NA19087	Homo sapiens
0	Assembly of NA20805 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA20805 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33621962	NA20805	Homo sapiens
0	Assembly of NA20858 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA20858 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797095	NA20858	Homo sapiens
0	Assembly of NA20752 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA20752 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33758800	NA20752	Homo sapiens
0	Assembly of NA20905 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA20905 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33758801	NA20905	Homo sapiens
0	Assembly of NA20799 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA20799 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797094	NA20799	Homo sapiens
0	Assembly of NA19043 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19043 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN33758799	NA19043	Homo sapiens
0	Assembly of NA19120 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19120 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN37797088	NA19120	Homo sapiens
0	Assembly of NA19909 Haplotype 2	Genome sequencing and assembly	Bioproject-Assembly-HiC-Phased	NA19909 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using hic phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	SAMN41021607	NA19909	Homo sapiens
