filename,sample_ID,path,accession,study,biosample_accession,total_reads,total_bp,total_Gbp,min,max,mean,quartile_25,quartile_50,quartile_75,N25,N50,N75,library_ID,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,data_type,shear_method,size_selection,ccs_algorithm,polymerase_version,seq_plate_chemistry_version,generator_facility,generator_contact,notes
m84046_231202_071034_s1.hifi_reads.bc2053.bam,HG01358,s3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m84046_231202_071034_s1.hifi_reads.bc2053.bam,SRR29483271,SRP305758,SAMN17861234,1096627,23725857199,23.73,63.0,65908.0,21635,17831,20701,24489,18662,21906,26034,HG01358.HFSS2_m84046_231202_071034_s1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 26kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v8.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_231202_071034_s1.hifi_reads.bc2053.bam,HG01358,s3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m84046_231202_071034_s1.hifi_reads.bc2053.bam,SRR29483271,SRP305758,SAMN17861234,1096627,23725857199,23.73,63.0,65908.0,21635,17831,20701,24489,18662,21906,26034,HG01358.HFSS2_m84046_231202_071034_s1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 26kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v8.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_231202_110908_s4.hifi_reads.bc2053.bam,HG01358,s3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m84046_231202_110908_s4.hifi_reads.bc2053.bam,SRR29483270,SRP305758,SAMN17861234,1046235,22537442552,22.54,97.0,61399.0,21541,17767,20614,24354,18580,21794,25898,HG01358.HFSS2_m84046_231202_110908_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 26kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v8.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_231202_110908_s4.hifi_reads.bc2053.bam,HG01358,s3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m84046_231202_110908_s4.hifi_reads.bc2053.bam,SRR29483270,SRP305758,SAMN17861234,1046235,22537442552,22.54,97.0,61399.0,21541,17767,20614,24354,18580,21794,25898,HG01358.HFSS2_m84046_231202_110908_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 26kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v8.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230724_203319_s4.hifi_reads.bc2055.bam,HG01123,s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m84046_230724_203319_s4.hifi_reads.bc2055.bam,SRR29483115,SRP305758,SAMN17861232,2644354,36561691313,36.56,158.0,47325.0,13826,11740,13113,15274,12065,13705,16221,HG01123.HFSS2_m84046_230724_203319_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 16kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230724_203319_s4.hifi_reads.bc2055.bam,HG01123,s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m84046_230724_203319_s4.hifi_reads.bc2055.bam,SRR29483115,SRP305758,SAMN17861232,2644354,36561691313,36.56,158.0,47325.0,13826,11740,13113,15274,12065,13705,16221,HG01123.HFSS2_m84046_230724_203319_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 16kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_231202_090949_s3.hifi_reads.bc2055.bam,HG01123,s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m84046_231202_090949_s3.hifi_reads.bc2055.bam,SRR29483114,SRP305758,SAMN17861232,2086408,45092269241,45.09,106.0,60699.0,21612,18022,20671,24294,18721,21753,25731,HG01123.HFSS3_m84046_231202_090949_s3,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 25kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v8.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_231202_090949_s3.hifi_reads.bc2055.bam,HG01123,s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m84046_231202_090949_s3.hifi_reads.bc2055.bam,SRR29483114,SRP305758,SAMN17861232,2086408,45092269241,45.09,106.0,60699.0,21612,18022,20671,24294,18721,21753,25731,HG01123.HFSS3_m84046_231202_090949_s3,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 25kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v8.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230724_203319_s4.hifi_reads.bc2056.bam,HG01361,s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi/m84046_230724_203319_s4.hifi_reads.bc2056.bam,SRR29483175,SRP305758,SAMN17861235,2931742,42045826152,42.05,195.0,55368.0,14341,12129,13541,15772,12438,14133,16723,HG01361.HFSS2_m84046_230724_203319_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 18kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230724_203319_s4.hifi_reads.bc2056.bam,HG01361,s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi/m84046_230724_203319_s4.hifi_reads.bc2056.bam,SRR29483175,SRP305758,SAMN17861235,2931742,42045826152,42.05,195.0,55368.0,14341,12129,13541,15772,12438,14133,16723,HG01361.HFSS2_m84046_230724_203319_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 18kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
