title	type	Description	Sample	Organism
Assembly of HG02109 Haplotype 1	Genome sequencing and assembly	HG02109 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02109	Homo sapiens
Assembly of HG02109 Haplotype 2	Genome sequencing and assembly	HG02109 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02109	Homo sapiens
Assembly of NA24385 Haplotype 1	Genome sequencing and assembly	NA24385 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA24385	Homo sapiens
Assembly of NA24385 Haplotype 2	Genome sequencing and assembly	NA24385 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA24385	Homo sapiens
Assembly of NA24631 Haplotype 1	Genome sequencing and assembly	NA24631 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA24631	Homo sapiens
Assembly of NA24631 Haplotype 2	Genome sequencing and assembly	NA24631 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA24631	Homo sapiens
Assembly of NA21309 Haplotype 1	Genome sequencing and assembly	NA21309 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA21309	Homo sapiens
Assembly of NA21309 Haplotype 2	Genome sequencing and assembly	NA21309 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA21309	Homo sapiens
Assembly of HG02486 Maternal Haplotype	Genome sequencing and assembly	HG02486 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02486	Homo sapiens
Assembly of HG02486 Paternal Haplotype	Genome sequencing and assembly	HG02486 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02486	Homo sapiens
Assembly of HG03540 Maternal Haplotype	Genome sequencing and assembly	HG03540 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03540	Homo sapiens
Assembly of HG03540 Paternal Haplotype	Genome sequencing and assembly	HG03540 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03540	Homo sapiens
Assembly of HG01243 Maternal Haplotype	Genome sequencing and assembly	HG01243 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01243	Homo sapiens
Assembly of HG01243 Paternal Haplotype	Genome sequencing and assembly	HG01243 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01243	Homo sapiens
Assembly of HG03486 Maternal Haplotype	Genome sequencing and assembly	HG03486 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03486	Homo sapiens
Assembly of HG03486 Paternal Haplotype	Genome sequencing and assembly	HG03486 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03486	Homo sapiens
Assembly of HG02630 Maternal Haplotype	Genome sequencing and assembly	HG02630 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02630	Homo sapiens
Assembly of HG02630 Paternal Haplotype	Genome sequencing and assembly	HG02630 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02630	Homo sapiens
Assembly of NA18906 Maternal Haplotype	Genome sequencing and assembly	NA18906 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	NA18906	Homo sapiens
Assembly of NA18906 Paternal Haplotype	Genome sequencing and assembly	NA18906 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	NA18906	Homo sapiens
Assembly of HG01258 Maternal Haplotype	Genome sequencing and assembly	HG01258 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01258	Homo sapiens
Assembly of HG01258 Paternal Haplotype	Genome sequencing and assembly	HG01258 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01258	Homo sapiens
Assembly of HG03579 Maternal Haplotype	Genome sequencing and assembly	HG03579 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03579	Homo sapiens
Assembly of HG03579 Paternal Haplotype	Genome sequencing and assembly	HG03579 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03579	Homo sapiens
Assembly of HG03453 Maternal Haplotype	Genome sequencing and assembly	HG03453 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03453	Homo sapiens
Assembly of HG03453 Paternal Haplotype	Genome sequencing and assembly	HG03453 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03453	Homo sapiens
Assembly of HG01109 Maternal Haplotype	Genome sequencing and assembly	HG01109 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01109	Homo sapiens
Assembly of HG01109 Paternal Haplotype	Genome sequencing and assembly	HG01109 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01109	Homo sapiens
Assembly of HG02717 Maternal Haplotype	Genome sequencing and assembly	HG02717 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02717	Homo sapiens
Assembly of HG02717 Paternal Haplotype	Genome sequencing and assembly	HG02717 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02717	Homo sapiens
Assembly of HG03098 Maternal Haplotype	Genome sequencing and assembly	HG03098 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03098	Homo sapiens
Assembly of HG03098 Paternal Haplotype	Genome sequencing and assembly	HG03098 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03098	Homo sapiens
Assembly of HG02257 Maternal Haplotype	Genome sequencing and assembly	HG02257 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02257	Homo sapiens
Assembly of HG02257 Paternal Haplotype	Genome sequencing and assembly	HG02257 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02257	Homo sapiens
Assembly of HG02886 Maternal Haplotype	Genome sequencing and assembly	HG02886 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02886	Homo sapiens
Assembly of HG02886 Paternal Haplotype	Genome sequencing and assembly	HG02886 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02886	Homo sapiens
Assembly of HG00673 Maternal Haplotype	Genome sequencing and assembly	HG00673 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00673	Homo sapiens
Assembly of HG00673 Paternal Haplotype	Genome sequencing and assembly	HG00673 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00673	Homo sapiens
Assembly of HG00741 Maternal Haplotype	Genome sequencing and assembly	HG00741 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00741	Homo sapiens
Assembly of HG00741 Paternal Haplotype	Genome sequencing and assembly	HG00741 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00741	Homo sapiens
Assembly of HG03516 Maternal Haplotype	Genome sequencing and assembly	HG03516 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03516	Homo sapiens
Assembly of HG03516 Paternal Haplotype	Genome sequencing and assembly	HG03516 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03516	Homo sapiens
Assembly of HG00735 Maternal Haplotype	Genome sequencing and assembly	HG00735 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00735	Homo sapiens
Assembly of HG00735 Paternal Haplotype	Genome sequencing and assembly	HG00735 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00735	Homo sapiens
Assembly of HG01358 Maternal Haplotype	Genome sequencing and assembly	HG01358 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01358	Homo sapiens
Assembly of HG01358 Paternal Haplotype	Genome sequencing and assembly	HG01358 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01358	Homo sapiens
Assembly of HG02622 Maternal Haplotype	Genome sequencing and assembly	HG02622 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02622	Homo sapiens
Assembly of HG02622 Paternal Haplotype	Genome sequencing and assembly	HG02622 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02622	Homo sapiens
Assembly of HG02572 Maternal Haplotype	Genome sequencing and assembly	HG02572 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02572	Homo sapiens
Assembly of HG02572 Paternal Haplotype	Genome sequencing and assembly	HG02572 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02572	Homo sapiens
Assembly of HG00621 Maternal Haplotype	Genome sequencing and assembly	HG00621 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00621	Homo sapiens
Assembly of HG00621 Paternal Haplotype	Genome sequencing and assembly	HG00621 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00621	Homo sapiens
Assembly of HG02145 Maternal Haplotype	Genome sequencing and assembly	HG02145 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02145	Homo sapiens
Assembly of HG02145 Paternal Haplotype	Genome sequencing and assembly	HG02145 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02145	Homo sapiens
Assembly of HG00733 Maternal Haplotype	Genome sequencing and assembly	HG00733 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00733	Homo sapiens
Assembly of HG00733 Paternal Haplotype	Genome sequencing and assembly	HG00733 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00733	Homo sapiens
Assembly of HG01106 Maternal Haplotype	Genome sequencing and assembly	HG01106 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01106	Homo sapiens
Assembly of HG01106 Paternal Haplotype	Genome sequencing and assembly	HG01106 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01106	Homo sapiens
